time,realtime,posX,posY,posZ,rotX,rotY,rotZ,headPosX,headPosY,headPosZ,LhandPosX,LhandPosY,LhandPosZ,LhandRotX,LhandRotY,LhandRotZ,RhandPosX,RhandPosY,RhandPosZ,RhandRotX,RhandRotY,RhandRotZ
0,6.383422E+13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,6.383422E+13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04,6.383422E+13,-0.006930124,0.1759353,0.2275541,313.433,13.78918,350.3752,-0.006930124,0.1759353,0.2275541,0,0,0,0,0,0,0,0,0,0,0,0
0.06,6.383422E+13,-0.006930124,0.1759353,0.2275541,313.433,13.78918,350.3752,-0.006930124,0.1759353,0.2275541,0,0,0,0,0,0,0,0,0,0,0,0
0.08,6.383422E+13,-0.006930124,0.1759353,0.2275541,313.433,13.78918,350.3752,-0.006930124,0.1759353,0.2275541,0,0,0,0,0,0,0,0,0,0,0,0
0.09999999,6.383422E+13,-0.006930124,0.1759353,0.2275541,313.433,13.78918,350.3752,-0.006930124,0.1759353,0.2275541,0,0,0,0,0,0,0,0,0,0,0,0
0.12,6.383422E+13,-0.006930124,0.1759353,0.2275541,313.433,13.78918,350.3752,-0.006930124,0.1759353,0.2275541,0,0,0,0,0,0,0,0,0,0,0,0
0.14,6.383422E+13,-0.006930124,0.1759353,0.2275541,313.433,13.78918,350.3752,-0.006930124,0.1759353,0.2275541,0,0,0,0,0,0,0,0,0,0,0,0
0.16,6.383422E+13,-0.006930124,0.1759353,0.2275541,313.433,13.78918,350.3752,-0.006930124,0.1759353,0.2275541,0,0,0,0,0,0,0,0,0,0,0,0
0.18,6.383422E+13,-0.006930124,0.1759353,0.2275541,313.433,13.78918,350.3752,-0.006930124,0.1759353,0.2275541,0,0,0,0,0,0,0,0,0,0,0,0
0.2,6.383422E+13,-0.006930124,0.1759353,0.2275541,313.433,13.78918,350.3752,-0.006930124,0.1759353,0.2275541,0,0,0,0,0,0,0,0,0,0,0,0
