InteractionNumber,touched
0,1
1,1
2,0
3,1
4,0
5,0
6,1
7,1
8,1
9,1
10,1
11,0
12,1
13,0
14,0
15,0
16,0
17,1
18,0
19,1
20,0
21,0
22,1
23,0
24,0
25,1
26,1
27,1
28,1
29,0
30,1
31,1
32,1
33,0
34,0
35,0
36,0
37,1
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0

time,posX,posY,posZ,rotX,rotY,rotZ,headPosX,headPosY,headPosZ,LhandPosX,LhandPosY,LhandPosZ,RhandPosX,RhandPosY,RhandPosZ
0.1020927,-0.02908376,0.007027905,-0.03352884,354.3507,358.4591,3.067499,0.02908376,1.507028,9.883529,0.1420736,1.118194,9.709708,-0.07716558,1.08691,9.712348
0.2133369,-0.0292503,0.00693675,-0.03298245,354.306,358.3497,3.275636,0.0292503,1.506937,9.882982,0.1435916,1.117802,9.708688,-0.07773338,1.086115,9.711972
0.3246994,-0.03116743,0.006444206,-0.03202252,354.5382,357.7113,3.343665,0.03116743,1.506444,9.882023,0.1450384,1.116662,9.708491,-0.07697568,1.085316,9.711802
0.4247437,-0.0344913,0.006027636,-0.03073237,354.8332,356.379,3.402617,0.0344913,1.506028,9.880733,0.1462795,1.114433,9.708944,-0.07603002,1.084134,9.711089
0.5378494,-0.04001135,0.005891894,-0.02911423,354.9804,354.2619,3.478741,0.04001135,1.505892,9.879114,0.1506138,1.111134,9.709238,-0.07355551,1.081116,9.70978
0.6504593,-0.04655939,0.005938321,-0.02751236,355.1716,351.9072,3.466503,0.04655939,1.505938,9.877512,0.1620196,1.108398,9.709681,-0.07395185,1.078947,9.705441
0.7575264,-0.05138572,0.005265781,-0.02568055,355.7382,350.3025,3.096717,0.05138572,1.505266,9.875681,0.1731611,1.105241,9.711888,-0.09982493,1.085676,9.690392
0.8632164,-0.05223192,0.00443051,-0.02260644,356.5609,350.8371,2.376321,0.05223192,1.504431,9.872606,0.1789814,1.102092,9.716698,-0.2024129,1.131444,9.651002
0.9753113,-0.05018045,0.002871907,-0.02013583,357.8605,352.2015,1.884426,0.05018045,1.502872,9.870136,0.1781073,1.097155,9.715707,-0.3175736,1.223797,9.608897
1.087471,-0.05099281,0.002927596,-0.01752645,357.8549,351.7113,2.282378,0.05099281,1.502928,9.867526,0.1756375,1.098555,9.714023,-0.3815378,1.307703,9.581865
1.20092,-0.0501729,0.002193152,-0.01519095,358.3086,351.3627,1.923907,0.0501729,1.502193,9.865191,0.1735055,1.09996,9.71576,-0.4204423,1.359734,9.561277
1.313396,-0.04897092,0.0009740883,-0.01292228,358.6902,350.8608,1.700617,0.04897092,1.500974,9.862923,0.1744493,1.095472,9.721598,-0.4355862,1.378812,9.550335
1.424961,-0.05024674,-0.0002659196,-0.01239427,359.2658,349.5919,1.443079,0.05024674,1.499734,9.862394,0.1815535,1.093345,9.726096,-0.4330626,1.381353,9.54633
1.537888,-0.05758984,-0.001103763,-0.0138919,359.5123,346.8183,1.405506,0.05758984,1.498896,9.863892,0.1892235,1.096888,9.732882,-0.4212444,1.388236,9.538473
1.650242,-0.06028583,-0.003473523,-0.01441473,0.4256947,344.9532,1.916443,0.06028583,1.496526,9.864415,0.1932208,1.093064,9.741332,-0.4011312,1.397058,9.526893
1.761982,-0.05208645,-0.0036007,-0.01150194,0.3666672,347.4723,2.019869,0.05208645,1.496399,9.861502,0.1963163,1.090702,9.746492,-0.4542052,1.405973,9.533326
1.875072,-0.03857631,-0.003079638,-0.006734575,0.1106956,352.5056,1.231353,0.03857631,1.49692,9.856734,0.1950887,1.090247,9.746745,-0.5323573,1.397705,9.565302
1.975422,-0.02143673,-0.002682678,-0.002643761,359.4675,359.8413,359.3556,0.02143673,1.497317,9.852644,0.1840943,1.086683,9.738848,-0.5819672,1.386801,9.60861
2.087086,0.003955588,-0.003132647,-0.001184759,359.1822,12.28517,358.8567,-0.003955588,1.496867,9.851185,0.1660127,1.086872,9.728906,-0.6288348,1.36533,9.652869
2.188618,0.01964599,-0.004104315,0.001261028,358.8975,18.7182,359.2443,-0.01964599,1.495896,9.848739,0.1468409,1.08671,9.7213,-0.6529912,1.351575,9.683661
2.299984,0.03033148,-0.007365912,0.003891584,359.8338,20.79154,0.7449852,-0.03033148,1.492634,9.846108,0.1268963,1.086649,9.715369,-0.654936,1.343933,9.69935
2.41275,0.03399836,-0.006762681,0.004719611,359.0979,19.93743,0.6059861,-0.03399836,1.493237,9.845281,0.1084933,1.089927,9.712034,-0.631714,1.340091,9.694571
2.524956,0.03087863,-0.005977076,0.004736704,358.2939,17.1362,1.513512,-0.03087863,1.494023,9.845263,0.09271342,1.09509,9.709643,-0.5580061,1.325915,9.679596
2.632088,0.02502082,-0.005537695,0.003784072,358.0263,14.22377,1.088142,-0.02502082,1.494462,9.846216,0.09573491,1.118235,9.708085,-0.510474,1.311923,9.671517
2.738075,0.01482314,-0.003879854,0.0005417448,357.3647,10.57338,0.7069748,-0.01482314,1.49612,9.849459,0.1311194,1.167456,9.695522,-0.4365583,1.337265,9.664788
2.850243,0.008363552,-0.001843372,-0.005508549,357.5615,11.07881,0.80682,-0.008363552,1.498157,9.855509,0.163513,1.173375,9.696816,-0.4556708,1.462873,9.717226
2.95063,0.01887079,-0.002298169,-0.009110281,357.6205,17.21827,359.1718,-0.01887079,1.497702,9.85911,0.1638259,1.153101,9.701164,-0.4867511,1.501104,9.772696
3.062641,0.05058118,-0.01112599,-0.01627286,359.0393,25.13778,358.6588,-0.05058118,1.488874,9.866273,0.1319815,1.128974,9.696878,-0.5390187,1.484639,9.810767
3.1754,0.09598763,-0.01838887,-0.02272898,359.1298,31.16547,358.2472,-0.09598763,1.481611,9.872729,0.08939077,1.128656,9.693073,-0.6393096,1.459103,9.841611
3.287277,0.1344295,-0.0209631,-0.02147048,358.7245,31.15101,359.2448,-0.1344295,1.479037,9.87147,0.03955786,1.121714,9.688066,-0.7006502,1.416833,9.839002
3.400063,0.1548291,-0.01896318,-0.02338437,358.4448,30.97067,1.227262,-0.1548291,1.481037,9.873384,-0.005235501,1.11845,9.686652,-0.6813902,1.357903,9.802254
3.512505,0.1565866,-0.01460559,-0.02979621,357.1463,30.27723,2.926901,-0.1565866,1.485394,9.879796,-0.0267979,1.126339,9.69263,-0.6470059,1.289339,9.78672
3.613823,0.1430667,-0.01488296,-0.03749114,356.2045,29.81722,2.473125,-0.1430667,1.485117,9.887491,-0.03073253,1.122482,9.694694,-0.5884264,1.222816,9.775771
3.724758,0.1202201,-0.01472018,-0.04291193,354.7558,29.81345,3.599868,-0.1202201,1.48528,9.892912,-0.02101274,1.118035,9.699492,-0.520918,1.156728,9.769637
3.837402,0.08864425,-0.0166223,-0.04469041,355.9739,25.8598,6.595757,-0.08864425,1.483378,9.894691,-0.004066305,1.113458,9.705779,-0.4429043,1.105434,9.768345
3.937656,0.05583771,-0.01954455,-0.04403853,357.3193,17.68825,6.822032,-0.05583771,1.480455,9.894038,0.01351665,1.111755,9.709874,-0.3733917,1.069817,9.769259
4.049717,0.02379162,-0.02184938,-0.04419858,358.4736,8.374465,6.615089,-0.02379162,1.478151,9.894198,0.05293186,1.126992,9.704188,-0.3205125,1.042364,9.769817
4.150314,0.003374036,-0.022835,-0.04517983,358.731,3.125752,6.128149,-0.003374036,1.477165,9.89518,0.1129437,1.148801,9.691811,-0.2899644,1.025955,9.767804
4.261883,-0.005230657,-0.02249336,-0.04542625,358.5041,3.618824,6.184478,0.005230657,1.477507,9.895426,0.1606439,1.161564,9.694801,-0.269905,1.017876,9.763385
4.361942,-0.006811067,-0.02141791,-0.04472007,358.1224,4.944997,5.729687,0.006811067,1.478582,9.89472,0.1706162,1.153584,9.696665,-0.2745163,1.042588,9.752734
4.461941,-0.0103968,-0.02180364,-0.04313875,358.2721,3.840905,4.744961,0.0103968,1.478196,9.893139,0.191465,1.156989,9.689198,-0.2846748,1.070631,9.745571
4.563408,-0.01669622,-0.02290048,-0.03970574,358.5728,0.4925471,4.780742,0.01669622,1.4771,9.889706,0.2123521,1.180121,9.681827,-0.2771896,1.079396,9.741619
