InteractionNumber,touched
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,0
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,0
29,0

time,posX,posY,posZ,rotX,rotY,rotZ,headPosX,headPosY,headPosZ,LhandPosX,LhandPosY,LhandPosZ,RhandPosX,RhandPosY,RhandPosZ
0.1173477,-0.001132976,-0.00963788,0.04006396,2.267175,2.125959,0.2226222,0.001132976,1.490362,9.809936,0.1196297,1.07183,9.653077,-0.06665014,1.04439,9.67254
0.2261009,-0.001123939,-0.009560402,0.03984418,2.261713,2.113297,0.2116895,0.001123939,1.49044,9.810156,0.1193741,1.070889,9.653756,-0.06763395,1.043354,9.671685
0.3376007,-0.0009882823,-0.009732279,0.04016289,2.41482,2.129078,0.2010891,0.0009882823,1.490268,9.809837,0.1190748,1.070238,9.654641,-0.06810785,1.043543,9.672279
0.4493752,-0.0004627667,-0.009925552,0.04090722,2.582171,2.582735,359.9081,0.0004627667,1.490074,9.809093,0.1187675,1.069798,9.65506,-0.06914526,1.042158,9.672374
0.5498199,0.002767176,-0.009893119,0.04168427,2.715916,4.705653,0.3060225,-0.002767176,1.490107,9.808315,0.1184605,1.068928,9.65539,-0.07027081,1.04101,9.672107
0.6498528,0.006385927,-0.009979966,0.04237674,2.844658,7.356258,0.461404,-0.006385927,1.49002,9.807623,0.1172135,1.06754,9.655314,-0.07211696,1.040214,9.671941
0.7515373,0.01026384,-0.00964855,0.043258,2.795862,10.32475,0.7989541,-0.01026384,1.490351,9.806742,0.1148699,1.065465,9.654891,-0.07477212,1.039311,9.672568
0.86269,0.01299246,-0.008678647,0.0447722,2.180153,12.26982,1.279972,-0.01299246,1.491321,9.805228,0.1115855,1.063019,9.654099,-0.07892378,1.037393,9.673634
0.9629478,0.01262931,-0.00777041,0.04684869,1.592677,11.96218,1.014354,-0.01262931,1.49223,9.803151,0.107847,1.06114,9.65222,-0.08426683,1.034737,9.673812
1.063904,0.011736,-0.006979418,0.04888326,1.133513,11.59518,0.8752645,-0.011736,1.493021,9.801117,0.1058825,1.061703,9.649915,-0.08950215,1.032318,9.673067
1.174683,0.011062,-0.006080792,0.0508521,0.7928158,11.43012,0.8251103,-0.011062,1.493919,9.799148,0.10484,1.062867,9.646625,-0.09729252,1.031135,9.669897
1.275082,0.01067823,-0.006119058,0.05212995,0.8161645,11.3406,0.8589351,-0.01067823,1.493881,9.79787,0.1045755,1.063215,9.644588,-0.1077628,1.031695,9.663864
1.377121,0.01024498,-0.006504686,0.05291396,1.099592,11.10982,0.749518,-0.01024498,1.493495,9.797086,0.1055393,1.063804,9.643972,-0.1287185,1.03809,9.652181
1.488091,0.009782661,-0.008467911,0.05387968,1.938026,10.43227,0.6997549,-0.009782661,1.491532,9.796121,0.1081587,1.062697,9.643839,-0.1634467,1.053075,9.634846
