InteractionNumber,touched
0,1
1,1
2,1
3,0
4,1
5,1
6,0
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1

time,posX,posY,posZ,rotX,rotY,rotZ,headPosX,headPosY,headPosZ,LhandPosX,LhandPosY,LhandPosZ,RhandPosX,RhandPosY,RhandPosZ
0.1009445,-0.02203834,-0.009147025,0.01364532,1.451785,0.2261046,1.472274,0.02203834,1.490853,9.836354,0.1349928,1.101014,9.69837,-0.05076786,1.091457,9.698717
0.206809,-0.01950284,-0.009811598,0.01580787,1.689767,1.012771,1.328432,0.01950284,1.490188,9.834192,0.1411399,1.102426,9.698193,-0.05459168,1.090382,9.694683
0.3128347,-0.01623858,-0.01103491,0.01815086,2.290497,2.3943,1.232132,0.01623858,1.488965,9.831849,0.1437063,1.102008,9.695323,-0.05972674,1.08951,9.690178
0.4237289,-0.009315773,-0.0127224,0.01966001,3.139208,6.182676,0.6255478,0.009315773,1.487278,9.83034,0.1436135,1.102008,9.693733,-0.070444,1.090961,9.683765
0.5243979,-0.0009662025,-0.01392797,0.01983239,3.756754,10.88358,0.231288,0.0009662025,1.486072,9.830168,0.1418875,1.102624,9.691487,-0.07871711,1.092929,9.679819
0.6367779,0.004721324,-0.01436188,0.02008843,3.87604,12.80168,0.03635162,-0.004721324,1.485638,9.829911,0.1354873,1.103244,9.688454,-0.0920588,1.095771,9.67568
0.7493496,0.00888687,-0.01397243,0.02118011,3.623089,11.8969,359.3176,-0.00888687,1.486028,9.82882,0.1275283,1.10702,9.684184,-0.1191517,1.104713,9.670725
0.8497114,0.01544568,-0.01368149,0.0222002,3.335158,11.1198,359.4431,-0.01544568,1.486318,9.8278,0.1183245,1.111708,9.679201,-0.1480944,1.115345,9.666938
0.9622355,0.02701962,-0.01358477,0.02347541,3.041772,11.03438,359.3864,-0.02701962,1.486415,9.826525,0.1059317,1.114925,9.673996,-0.1805379,1.125744,9.66329
1.062391,0.03921115,-0.01412091,0.02471525,3.187688,10.63968,359.2887,-0.03921115,1.485879,9.825285,0.0951396,1.114845,9.672666,-0.202022,1.132784,9.660376
1.173867,0.05358047,-0.01477234,0.02572242,3.134276,9.138384,359.9295,-0.05358047,1.485228,9.824278,0.07805651,1.112572,9.674187,-0.2151973,1.138012,9.654394
1.274405,0.0674701,-0.01580313,0.02596386,3.224828,7.502521,0.2786226,-0.0674701,1.484197,9.824037,0.06590848,1.1119,9.677766,-0.2210213,1.142973,9.643892
1.375573,0.08324797,-0.01682376,0.02513322,3.498369,6.818185,0.617036,-0.08324797,1.483176,9.824867,0.05437307,1.1111,9.681072,-0.2401626,1.169935,9.627316
1.48718,0.1009143,-0.01744818,0.02309806,3.965755,6.394269,1.35425,-0.1009143,1.482552,9.826902,0.04033174,1.105715,9.684413,-0.267284,1.226069,9.611166
