InteractionNumber,touched
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,0
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,0
20,1
21,1
22,1
23,1
24,1
25,1
26,0
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,0
40,0
41,1
42,1
43,1
44,0
45,1
46,1
47,0
48,1
49,0
50,0
51,1

time,posX,posY,posZ,rotX,rotY,rotZ,headPosX,headPosY,headPosZ,LhandPosX,LhandPosY,LhandPosZ,RhandPosX,RhandPosY,RhandPosZ
0.1129093,0.04245549,0.004919638,0.04999864,358.4269,2.852707,0.0211735,-0.04245549,1.50492,9.800001,0.390396,1.28274,9.779065,-0.1749164,1.15734,9.626374
0.2257423,0.0430151,0.003593518,0.04582668,358.7625,4.051772,0.1322875,-0.0430151,1.503594,9.804173,0.36365,1.275781,9.77466,-0.1561363,1.154503,9.625395
0.3269749,0.04494059,0.004076675,0.0416637,358.3587,6.50641,0.4480149,-0.04494059,1.504077,9.808336,0.3243848,1.248533,9.725517,-0.1475164,1.146016,9.630618
0.4369707,0.04484311,0.005303938,0.03783184,357.8479,7.447183,0.5208185,-0.04484311,1.505304,9.812168,0.2908099,1.235953,9.685363,-0.1582943,1.141093,9.635295
0.5381651,0.04542036,0.006480866,0.03536413,357.3733,8.24473,0.2095081,-0.04542036,1.506481,9.814636,0.2688461,1.237834,9.666619,-0.1860083,1.137804,9.633
0.6501656,0.04796484,0.006860787,0.0327058,356.9929,10.07102,359.9884,-0.04796484,1.506861,9.817294,0.2536224,1.235381,9.654917,-0.2236776,1.132931,9.62744
0.7629099,0.05039589,0.006530785,0.03047479,356.9945,11.40437,359.6052,-0.05039589,1.506531,9.819525,0.2494211,1.2299,9.650506,-0.2598914,1.12806,9.624865
0.8631172,0.05249424,0.005121871,0.02936656,357.3475,12.08422,359.0933,-0.05249424,1.505122,9.820634,0.2493982,1.229445,9.649018,-0.2847893,1.115209,9.620196
0.9649134,0.0547035,0.004171477,0.0288849,357.656,12.59176,358.6498,-0.0547035,1.504171,9.821115,0.2546862,1.234953,9.649784,-0.3056968,1.112281,9.617256
1.075327,0.05699568,0.003452672,0.02896088,357.6253,12.72675,358.4163,-0.05699568,1.503453,9.821039,0.2624478,1.241179,9.651849,-0.3352947,1.11986,9.617953
1.188466,0.06085237,0.002859169,0.02963072,357.3058,13.41756,357.853,-0.06085237,1.502859,9.82037,0.2658772,1.241084,9.650702,-0.3755226,1.122406,9.625715
1.298848,0.06859831,0.000553368,0.03082463,357.8154,15.63181,357.1353,-0.06859831,1.500553,9.819176,0.2649962,1.238816,9.644604,-0.4189453,1.121498,9.637478
1.399202,0.07763985,-0.001794797,0.03257187,358.5811,18.28235,356.311,-0.07763985,1.498205,9.817429,0.2584979,1.238646,9.633924,-0.452292,1.125344,9.652081
1.499214,0.08922455,-0.005911561,0.03523438,359.7529,20.66194,356.544,-0.08922455,1.494088,9.814766,0.2452058,1.241443,9.625546,-0.4797479,1.134882,9.661919
1.601514,0.1046543,-0.009488304,0.03756561,1.087153,22.87323,355.7069,-0.1046543,1.490512,9.812434,0.2337226,1.24642,9.621215,-0.5218446,1.161126,9.674205
1.711888,0.1258005,-0.0125787,0.042765,1.836453,24.43757,354.7875,-0.1258005,1.487421,9.807235,0.2270042,1.253385,9.617699,-0.5896757,1.204646,9.710431
