time,realtime,posX,posY,posZ,rotX,rotY,rotZ,headPosX,headPosY,headPosZ,LhandPosX,LhandPosY,LhandPosZ,LhandRotX,LhandRotY,LhandRotZ,RhandPosX,RhandPosY,RhandPosZ,RhandRotX,RhandRotY,RhandRotZ
0.001340866,6.383482E+13,-0.2383747,-0.003791469,-0.0304198,-1.761871,-175.7693,-0.2069092,-0.8394881,1.596209,2.049142,-1.313046,1.266058,2.566256,14.76914,91.84846,-6.659454,-0.4034787,1.240011,1.488516,10.17224,-84.91571,354.1744
0.02133942,6.383482E+13,-0.2383747,-0.003791469,-0.0304198,-1.761871,-175.7693,-0.2069092,-0.8394881,1.596209,2.049142,-1.313046,1.266058,2.566256,14.76914,91.84846,-6.659454,-0.4034787,1.240011,1.488516,10.17224,-84.91571,354.1744
0.04133987,6.383482E+13,-0.2379045,-0.003433584,-0.03038744,-1.884003,-175.65,-0.1129761,-0.8398514,1.596566,2.049443,-1.312587,1.265746,2.566586,14.96236,92.08864,-6.509674,-0.4047549,1.241818,1.48695,10.27484,-84.78918,352.5587
0.06134033,6.383482E+13,-0.2374388,-0.003059234,-0.0302589,-1.95636,-175.5767,-0.005366407,-0.8402776,1.596941,2.04967,-1.312459,1.265307,2.566883,14.95759,92.05245,-7.061249,-0.404887,1.243104,1.486032,10.54163,-84.62048,353.3659
0.08134079,6.383482E+13,-0.2374388,-0.003059234,-0.0302589,-1.95636,-175.5767,-0.005366407,-0.8402776,1.596941,2.04967,-1.312459,1.265307,2.566883,14.95759,92.05245,-7.061249,-0.404887,1.243104,1.486032,10.54163,-84.62048,353.3659
0.1013412,6.383482E+13,-0.2368714,-0.002939781,-0.0300259,-1.99408,-175.5599,0.08679193,-0.8408495,1.59706,2.049892,-1.310971,1.265298,2.56719,14.72509,92.09897,-7.61145,-0.4040884,1.244252,1.485157,10.99098,-84.13776,355.5745
0.1213398,6.383482E+13,-0.2363925,-0.002274272,-0.0299665,-2.117859,-175.6018,0.1808226,-0.8412377,1.597726,2.050179,-1.309719,1.265242,2.567222,14.68972,92.36192,-8.101685,-0.4038312,1.246595,1.484131,11.47093,-84.60498,355.0807
0.1413403,6.383482E+13,-0.2358862,-0.001911615,-0.03002938,-2.34314,-175.7083,0.3630048,-0.8415614,1.598088,2.050573,-1.310389,1.264778,2.567566,14.67671,92.42528,-7.918732,-0.4032664,1.249229,1.483389,12.25439,-85.88046,353.5972
0.1613407,6.383482E+13,-0.2358862,-0.001911615,-0.03002938,-2.34314,-175.7083,0.3630048,-0.8415614,1.598088,2.050573,-1.310389,1.264778,2.567566,14.67671,92.42528,-7.918732,-0.4032664,1.249229,1.483389,12.25439,-85.88046,353.5972
0.1813412,6.383482E+13,-0.2354712,-0.001891647,-0.03000759,-2.509644,-175.8743,0.5455015,-0.8418774,1.598108,2.050843,-1.311042,1.264181,2.56775,14.74567,92.46409,-7.758728,-0.4030434,1.252436,1.483596,11.50238,-86.49118,353.4439
0.2013397,6.383482E+13,-0.2349702,-0.001684739,-0.03000331,-2.608978,-176.0978,0.7439199,-0.8422437,1.598315,2.051185,-1.311501,1.263557,2.567338,14.76183,92.47346,-7.901306,-0.402441,1.254962,1.483481,10.98076,-86.12317,354.2813
0.2213402,6.383482E+13,-0.2349702,-0.001684739,-0.03000331,-2.608978,-176.0978,0.7439199,-0.8422437,1.598315,2.051185,-1.311501,1.263557,2.567338,14.76183,92.47346,-7.901306,-0.402441,1.254962,1.483481,10.98076,-86.12317,354.2813
0.2413406,6.383482E+13,-0.2346961,-0.00180202,-0.03005188,-2.631622,-176.3202,0.8636085,-0.842409,1.598198,2.051409,-1.312314,1.262732,2.565963,14.75427,92.11676,-8.283966,-0.4023378,1.256839,1.48334,10.66348,-86.29065,353.3818
0.2613411,6.383482E+13,-0.2345523,-0.002010849,-0.0300932,-2.617188,-176.4957,0.8368759,-0.8424848,1.597989,2.051538,-1.312994,1.262331,2.565565,14.83515,92.15166,-8.146851,-0.4022456,1.257681,1.483267,10.6523,-86.14661,352.736
0.2813396,6.383482E+13,-0.2345317,-0.002240853,-0.0301309,-2.542664,-176.6074,0.7178612,-0.8424737,1.597759,2.051579,-1.314687,1.261431,2.564029,15.00633,91.95186,-8.105896,-0.4020329,1.256862,1.483953,10.81327,-86.11615,352.7523
0.3013401,6.383482E+13,-0.2345317,-0.002240853,-0.0301309,-2.542664,-176.6074,0.7178612,-0.8424737,1.597759,2.051579,-1.314687,1.261431,2.564029,15.00633,91.95186,-8.105896,-0.4020329,1.256862,1.483953,10.81327,-86.11615,352.7523
0.3213406,6.383482E+13,-0.2347039,-0.002354603,-0.03015868,-2.459839,-176.6275,0.5590008,-0.8423297,1.597645,2.051481,-1.317307,1.260504,2.562275,15.20825,91.17325,-8.054291,-0.4017302,1.255912,1.48482,10.98801,-86.3248,352.6572
0.341341,6.383482E+13,-0.2349328,-0.002670763,-0.03013315,-2.402466,-176.5366,0.3998889,-0.8421814,1.597329,2.051305,-1.318815,1.259885,2.561395,15.5657,90.9164,-7.340942,-0.4013444,1.254384,1.486354,11.1139,-86.6629,352.7393
0.3613396,6.383482E+13,-0.2352085,-0.00291198,-0.03019819,-2.401672,-176.4425,0.2991999,-0.8419366,1.597088,2.051162,-1.319607,1.259243,2.560871,15.8586,90.74095,-6.920013,-0.400675,1.251256,1.489129,11.40466,-87.0528,353.5901
0.38134,6.383482E+13,-0.2352085,-0.00291198,-0.03019819,-2.401672,-176.4425,0.2991999,-0.8419366,1.597088,2.051162,-1.319607,1.259243,2.560871,15.8586,90.74095,-6.920013,-0.400675,1.251256,1.489129,11.40466,-87.0528,353.5901
0.4013405,6.383482E+13,-0.2353918,-0.003002035,-0.03026866,-2.381683,-176.3179,0.1947134,-0.8417552,1.596998,2.051087,-1.319643,1.258428,2.560791,15.90414,90.72785,-6.804626,-0.4002801,1.248797,1.490885,11.75256,-87.25119,354.4911
0.4213409,6.383482E+13,-0.23554,-0.002910434,-0.03019443,-2.339417,-176.1858,0.1823069,-0.8416989,1.59709,2.050931,-1.319713,1.257597,2.561881,15.89447,90.95512,-7.008575,-0.3999615,1.24675,1.491899,12.27976,-87.28641,354.9897
0.4413395,6.383482E+13,-0.23554,-0.002910434,-0.03019443,-2.339417,-176.1858,0.1823069,-0.8416989,1.59709,2.050931,-1.319713,1.257597,2.561881,15.89447,90.95512,-7.008575,-0.3999615,1.24675,1.491899,12.27976,-87.28641,354.9897
0.46134,6.383482E+13,-0.2357067,-0.002489357,-0.03004978,-2.352509,-176.09,0.3264234,-0.8416775,1.597511,2.050711,-1.319177,1.25639,2.561591,15.82313,90.74245,-7.474487,-0.4000565,1.24587,1.492085,12.37718,-87.23734,355.043
0.4813404,6.383482E+13,-0.2358335,-0.001903956,-0.03007309,-2.507263,-176.0732,0.5123294,-0.8415695,1.598096,2.050641,-1.318585,1.255627,2.561479,15.87792,90.82442,-7.425354,-0.40016,1.245654,1.491625,12.43003,-86.90515,355.1719
0.5013409,6.383482E+13,-0.235917,-0.001522104,-0.03009716,-2.612671,-176.1003,0.5945846,-0.8414925,1.598478,2.050601,-1.316264,1.25333,2.560521,16.22427,91.36044,-7.191376,-0.3999035,1.245836,1.490912,12.72629,-86.87506,354.7814
