time,realtime,posX,posY,posZ,rotX,rotY,rotZ,headPosX,headPosY,headPosZ,LhandPosX,LhandPosY,LhandPosZ,LhandRotX,LhandRotY,LhandRotZ,RhandPosX,RhandPosY,RhandPosZ,RhandRotX,RhandRotY,RhandRotZ
0.0147171,6.38E+13,-0.7077572,0.3885037,-0.3074836,-0.1533508,99.5293,0.06263889,-0.7077572,1.888504,20.35219,-0.5192941,1.557494,21.01731,9.320675,13.88311,-40.91345,-0.8545164,1.578513,19.64889,10.41336,-178.6893,23.85122
0.03471756,6.38E+13,-0.7072911,0.3884905,-0.3079166,-0.1842651,99.55068,0.09857859,-0.7072911,1.88849,20.35176,-0.5194514,1.557518,21.01777,9.475187,13.87196,-40.63684,-0.8546584,1.578859,19.64833,10.28063,-178.3379,23.77395
0.05471802,6.38E+13,-0.7068102,0.3885946,-0.308362,-0.2061157,99.55112,0.1393356,-0.7068102,1.888595,20.35132,-0.5192931,1.557616,21.01754,9.516901,13.86119,-40.55878,-0.8546083,1.579128,19.6477,10.37337,-178.1451,23.64951
0.07471848,6.38E+13,-0.7058418,0.3887954,-0.3092947,-0.2205505,99.49697,0.1586459,-0.7058418,1.888795,20.35038,-0.5183511,1.558402,21.01629,9.354534,13.69345,-40.42255,-0.8539025,1.580733,19.64704,10.12349,-178.5043,22.73989
0.09471893,6.38E+13,-0.7053773,0.3888295,-0.3096487,-0.2307739,99.48597,0.0967963,-0.7053773,1.888829,20.35003,-0.5180112,1.558799,21.01586,9.299283,13.60754,-40.32742,-0.8534777,1.5817,19.64684,9.769303,-178.7545,22.07254
0.1147156,6.38E+13,-0.7046071,0.3886858,-0.3101946,-0.1279907,99.44877,-0.1000061,-0.7046071,1.888686,20.34948,-0.5175357,1.559078,21.01558,9.390164,13.57065,-40.29657,-0.8526754,1.58294,19.64621,9.685638,-178.933,20.99935
0.134716,6.38E+13,-0.7043179,0.3887085,-0.3104931,-0.01629639,99.4111,-0.1201782,-0.7043179,1.888708,20.34918,-0.5173298,1.559074,21.01562,9.394369,13.60249,-40.366,-0.852194,1.583092,19.64581,9.761253,-178.9267,20.90481
0.1547165,6.38E+13,-0.7037861,0.388707,-0.3111661,0.1587482,99.35029,-0.07214355,-0.7037861,1.888707,20.34851,-0.5160207,1.559947,21.01482,9.205336,13.57701,-40.42523,-0.8507828,1.582428,19.64531,10.28773,-179.2064,21.4094
0.1747169,6.38E+13,-0.7034883,0.3888247,-0.3115107,0.1728762,99.32922,-0.03250122,-0.7034883,1.888825,20.34817,-0.5155033,1.560298,21.01453,9.202358,13.65179,-40.32471,-0.8497263,1.581563,19.64517,11.10769,-179.4067,21.9327
0.1947174,6.38E+13,-0.7030826,0.3891075,-0.3117739,0.1246867,99.34346,-0.004501185,-0.7030826,1.889107,20.3479,-0.5147966,1.560991,21.01381,9.195662,13.76183,-40.19128,-0.8490189,1.580871,19.64552,11.12198,179.9486,21.91364
0.2147179,6.38E+13,-0.7022659,0.3894817,-0.3124783,-0.06195068,99.3923,0.05497381,-0.7022659,1.889482,20.3472,-0.5140032,1.561532,21.01309,9.004858,13.59702,-40.30951,-0.8476472,1.579684,19.64548,11.25481,179.5412,22.83801
0.2347183,6.38E+13,-0.7019196,0.3894846,-0.3128342,-0.1288452,99.41801,0.084187,-0.7019196,1.889485,20.34684,-0.5135971,1.561642,21.01268,8.959546,13.52943,-40.36581,-0.8471951,1.579073,19.64523,11.24546,179.5894,23.35392
0.2547188,6.38E+13,-0.7014227,0.3894359,-0.3135981,-0.1014709,99.43233,0.1371461,-0.7014227,1.889436,20.34608,-0.5127589,1.56147,21.01194,9.043518,13.70118,-40.32056,-0.8468039,1.578356,19.64436,10.79511,-179.8691,23.92423
0.2747154,6.38E+13,-0.7011143,0.3894161,-0.3139817,-0.07217407,99.42982,0.1423434,-0.7011143,1.889416,20.3457,-0.5120955,1.561394,21.01134,9.073007,13.7931,-40.367,-0.8466269,1.578165,19.64409,10.74114,-179.7651,23.6038
0.2947159,6.38E+13,-0.7004685,0.3893588,-0.3147041,-0.04025269,99.41918,0.1347928,-0.7004685,1.889359,20.34497,-0.5113094,1.561298,21.01043,9.017504,13.75867,-40.54456,-0.8460374,1.577388,19.64386,11.07552,179.952,22.50097
0.3147163,6.38E+13,-0.7002379,0.3892879,-0.3150302,-0.02774048,99.38985,0.09054601,-0.7002379,1.889288,20.34465,-0.5109487,1.561197,21.01005,9.026393,13.78543,-40.5647,-0.845553,1.576792,19.6439,11.13492,179.8532,22.26328
0.3347168,6.38E+13,-0.6996229,0.389163,-0.3156897,-0.02920532,99.3471,-0.08413696,-0.6996229,1.889163,20.34399,-0.5099695,1.560993,21.00894,9.128162,13.95113,-40.66061,-0.8448544,1.575973,19.64427,11.09772,179.9408,22.48923
0.3547173,6.38E+13,-0.699319,0.3891401,-0.3159293,-0.01983643,99.34511,-0.1759033,-0.699319,1.88914,20.34375,-0.509398,1.560987,21.00838,8.993022,13.94294,-40.92761,-0.8445297,1.575513,19.64444,11.11207,179.9413,22.57479
0.3747177,6.38E+13,-0.6990814,0.3890972,-0.3161257,-0.01193237,99.32697,-0.2557068,-0.6990814,1.889097,20.34355,-0.5090131,1.561047,21.00814,8.877553,13.86557,-41.16113,-0.8430294,1.572948,19.64456,11.43282,179.8135,22.86843
0.3947182,6.38E+13,-0.6985668,0.3889328,-0.3164583,-0.006439209,99.27605,-0.3945007,-0.6985668,1.888933,20.34322,-0.5089889,1.561118,21.00854,8.967518,13.81802,-40.99506,-0.8415273,1.570469,19.64504,11.68917,179.5003,23.5809
0.4147186,6.38E+13,-0.6982996,0.3888332,-0.3165508,-0.002527223,99.27979,-0.4622192,-0.6982996,1.888833,20.34313,-0.5086362,1.561309,21.0083,9.015116,13.80058,-40.94476,-0.8409059,1.569224,19.64531,11.81835,179.4492,24.00003
0.4347153,6.38E+13,-0.6977752,0.388695,-0.3167349,0.02459903,99.30425,-0.5230408,-0.6977752,1.888695,20.34294,-0.508211,1.561664,21.00801,9.024169,13.81396,-40.92874,-0.8400077,1.566954,19.6457,11.99863,179.3537,24.60885
0.4547157,6.38E+13,-0.6975524,0.3887304,-0.3167894,0.02383146,99.31514,-0.5014343,-0.6975524,1.88873,20.34289,-0.5071976,1.562275,21.00765,8.850786,13.76715,-41.00171,-0.8398334,1.565978,19.64577,12.02276,179.3583,24.68853
0.4747162,6.38E+13,-0.6970332,0.3887413,-0.3169464,0.03212457,99.33893,-0.4533997,-0.6970332,1.888741,20.34273,-0.5061049,1.562478,21.00731,8.855765,13.91366,-40.9726,-0.8399373,1.564182,19.64585,12.36446,179.6231,24.28789
0.4947166,6.38E+13,-0.6967847,0.3888138,-0.3169197,0.05376266,99.35918,-0.4347229,-0.6967847,1.888814,20.34276,-0.505126,1.562637,21.00672,8.949168,14.14374,-40.8992,-0.8399034,1.563283,19.64601,12.54222,179.6749,24.13547
0.5147171,6.38E+13,-0.6965469,0.3888454,-0.3169049,0.09698836,99.36726,-0.4195251,-0.6965469,1.888845,20.34277,-0.5046052,1.562627,21.0064,8.972092,14.26444,-40.92456,-0.839767,1.562303,19.64612,12.70969,179.6131,24.14253
0.5347176,6.38E+13,-0.6961132,0.3888468,-0.3167969,0.1155229,99.37021,-0.4185181,-0.6961132,1.888847,20.34288,-0.503603,1.562507,21.00588,8.870019,14.3517,-41.289,-0.839537,1.560594,19.64637,12.80554,179.5567,24.71343
0.554718,6.38E+13,-0.6958762,0.388831,-0.3167458,0.0843278,99.36667,-0.4052124,-0.6958762,1.888831,20.34293,-0.5031371,1.562416,21.00565,8.797214,14.34384,-41.56989,-0.8394894,1.55992,19.64655,12.84926,179.5796,24.97323
0.5747185,6.38E+13,-0.6954997,0.3886888,-0.3166322,0.06576732,99.34839,-0.3694458,-0.6954997,1.888689,20.34305,-0.5024474,1.562267,21.00557,8.75802,14.34731,-42.06873,-0.8395798,1.558936,19.64686,12.94467,179.7486,25.5647
0.5947189,6.38E+13,-0.69537,0.3885994,-0.3165305,0.09754097,99.35451,-0.4144897,-0.69537,1.888599,20.34315,-0.5021008,1.562416,21.00555,8.596871,14.29959,-42.25543,-0.839661,1.558611,19.64706,13.02024,179.8311,25.84524
0.6147156,6.38E+13,-0.695288,0.3885069,-0.3164076,0.1331534,99.38251,-0.4952087,-0.695288,1.888507,20.34327,-0.5017224,1.562744,21.00551,8.442698,14.29976,-42.27505,-0.8397779,1.558646,19.6474,13.10602,179.7744,25.91038
0.634716,6.38E+13,-0.6951813,0.3883768,-0.3160878,0.1466186,99.40031,-0.5011597,-0.6951813,1.888377,20.34359,-0.501256,1.563239,21.00534,8.465733,14.54125,-41.81561,-0.8399956,1.559444,19.64757,12.98706,179.737,25.59837
0.6547165,6.38E+13,-0.6951973,0.3883192,-0.3159123,0.1694687,99.38702,-0.475708,-0.6951973,1.888319,20.34377,-0.5007967,1.563573,21.00518,8.59794,14.71833,-41.59109,-0.8402289,1.55947,19.6476,12.99521,179.7746,25.56463
0.6747169,6.38E+13,-0.6952644,0.388167,-0.3155609,0.1416543,99.46243,-0.5498047,-0.6952644,1.888167,20.34412,-0.5008822,1.563547,21.00552,8.590695,14.65272,-41.74402,-0.8408441,1.559718,19.64775,12.94283,179.8233,25.64391
0.6947174,6.38E+13,-0.6953164,0.3880989,-0.3153944,0.0844033,99.53907,-0.5787659,-0.6953164,1.888099,20.34428,-0.5004885,1.56409,21.00554,8.377094,14.57442,-41.99957,-0.8414156,1.560142,19.64794,12.84831,179.8057,25.84489
0.7147179,6.38E+13,-0.6953308,0.3882798,-0.315192,-0.01104736,99.66843,-0.5284729,-0.6953308,1.88828,20.34449,-0.5003298,1.564342,21.00567,8.211047,14.4722,-42.04263,-0.8420187,1.560817,19.64824,12.82084,179.8544,25.93555
0.7347183,6.38E+13,-0.6953463,0.3884516,-0.3150527,-0.04992676,99.72672,-0.4759521,-0.6953463,1.888452,20.34463,-0.5003062,1.564243,21.0056,8.304196,14.49699,-41.93137,-0.8424399,1.561233,19.64842,12.77579,179.912,25.87637
0.7547188,6.38E+13,-0.6954658,0.3885255,-0.3147057,-0.03585815,99.85249,-0.4034729,-0.6954658,1.888525,20.34497,-0.4997723,1.563836,21.0051,8.53586,14.64364,-41.68073,-0.8430808,1.561775,19.64869,12.82691,179.9062,25.82998
0.7747154,6.38E+13,-0.6955724,0.3884951,-0.31453,-0.000353729,99.89282,-0.3744812,-0.6955724,1.888495,20.34515,-0.4995829,1.563449,21.00486,8.517263,14.7462,-41.76624,-0.8437659,1.56227,19.64885,12.84022,179.8965,25.91446
0.7947159,6.38E+13,-0.6958251,0.3885297,-0.3141146,0.01516449,99.96283,-0.3257141,-0.6958251,1.88853,20.34556,-0.4990267,1.561685,21.0038,8.528712,14.92031,-42.24734,-0.8454548,1.563372,19.64909,12.7965,-179.9417,26.21187
0.8147163,6.38E+13,-0.6959827,0.3885874,-0.313887,0.02236502,99.98608,-0.2786255,-0.6959827,1.888587,20.34579,-0.498931,1.560686,21.00334,8.624413,14.99263,-42.50671,-0.8460125,1.563837,19.64921,12.78238,-179.8405,26.18959
0.8347168,6.38E+13,-0.6961591,0.3886468,-0.3136564,0.03124337,99.99416,-0.2614746,-0.6961591,1.888647,20.34602,-0.498929,1.559832,21.00295,8.725769,15.07864,-42.65182,-0.8466781,1.564379,19.64931,12.78359,-179.8148,26.01983
0.8547173,6.38E+13,-0.6965509,0.3887679,-0.3132585,-0.004575606,99.98452,-0.2069397,-0.6965509,1.888768,20.34642,-0.499172,1.559111,21.00257,8.693651,15.05621,-42.5647,-0.848675,1.565687,19.64922,12.93631,-179.7278,25.48832
0.8747177,6.38E+13,-0.6968499,0.3888379,-0.3129961,-0.06420898,99.98389,-0.2280273,-0.6968499,1.888838,20.34668,-0.4993254,1.558673,21.00234,8.786009,15.07386,-42.46674,-0.8492345,1.566008,19.64919,12.97208,-179.6705,25.41927
0.8947182,6.38E+13,-0.697367,0.3889193,-0.3125133,-0.2307434,100.0197,-0.1725159,-0.697367,1.888919,20.34716,-0.5001839,1.556091,21.00153,9.352223,15.09742,-42.24268,-0.8493907,1.566087,19.64933,12.88436,-179.5905,25.75122
0.9147186,6.38E+13,-0.6977137,0.388954,-0.3123026,-0.2901306,100.0128,-0.1147156,-0.6977137,1.888954,20.34738,-0.5006908,1.555363,21.00147,9.469774,14.91918,-42.31348,-0.8502527,1.56643,19.64926,12.7962,-179.4953,26.08052
0.9347153,6.38E+13,-0.6984318,0.3889715,-0.3118619,-0.3687439,100.0571,-0.04733276,-0.6984318,1.888972,20.34782,-0.5016626,1.554299,21.0013,9.612648,14.54422,-42.41953,-0.8508326,1.56661,19.64952,12.9154,-179.5245,26.32209
0.9547157,6.38E+13,-0.6987601,0.3891024,-0.3116578,-0.4010315,100.0941,-0.0161438,-0.6987601,1.889102,20.34802,-0.5019483,1.553969,21.00118,9.676356,14.4969,-42.40396,-0.850834,1.566699,19.64971,12.94581,-179.5535,26.20696
0.9747162,6.38E+13,-0.699389,0.389388,-0.3113343,-0.4586182,100.147,0.04894744,-0.699389,1.889388,20.34834,-0.5023354,1.553604,21.00073,9.831423,14.53003,-42.2131,-0.8515053,1.567061,19.65,12.9024,-179.5014,26.0954
0.9947166,6.38E+13,-0.6997343,0.3894927,-0.3112029,-0.4602661,100.1645,0.08899985,-0.6997343,1.889493,20.34847,-0.5024527,1.553552,21.00043,9.829681,14.54643,-42.15125,-0.8520072,1.567201,19.65011,12.89962,-179.448,26.03972
