time,realtime,posX,posY,posZ,rotX,rotY,rotZ,headPosX,headPosY,headPosZ,LhandPosX,LhandPosY,LhandPosZ,LhandRotX,LhandRotY,LhandRotZ,RhandPosX,RhandPosY,RhandPosZ,RhandRotX,RhandRotY,RhandRotZ
0.01822662,6.38E+13,0.107361,-0.000154608,-0.0158042,-5.071411,1.764624,-0.9084778,-1.100806,1.555346,2.281025,-0.6278144,1.284729,1.718887,12.00535,-96.58545,-23.56238,-1.556518,1.225379,2.873917,12.56139,96.26542,2.518126
0.03822327,6.38E+13,0.107659,-0.000251216,-0.01575634,-4.996216,1.776623,-0.9812317,-1.101051,1.555249,2.281202,-0.62683,1.284967,1.719713,11.71233,-96.66467,-24.02286,-1.555768,1.226309,2.873873,11.67401,96.13934,1.768372
0.05822754,6.38E+13,0.1079474,-0.0004211,-0.01579335,-4.846497,1.748992,-1.00531,-1.101229,1.555079,2.281432,-0.6265855,1.284716,1.720337,11.53558,-96.52649,-24.4765,-1.55537,1.226205,2.874313,12.43129,96.05289,0.5746421
0.07822418,6.38E+13,0.1079474,-0.0004211,-0.01579335,-4.846497,1.748992,-1.00531,-1.101229,1.555079,2.281432,-0.6265855,1.284716,1.720337,11.53558,-96.52649,-24.4765,-1.55537,1.226205,2.874313,12.43129,96.05289,0.5746421
0.09822083,6.38E+13,0.1082201,-0.000656786,-0.01584253,-4.752045,1.708827,-1.019043,-1.101387,1.554844,2.281659,-0.6260054,1.284592,1.720898,11.51614,-96.60144,-24.79196,-1.555267,1.225916,2.874263,12.63235,96.22917,0.6359068
0.1182251,6.38E+13,0.1085199,-0.000742102,-0.01593938,-4.699646,1.712223,-1.089111,-1.10153,1.554758,2.28194,-0.6248717,1.285021,1.721777,11.00403,-97.12262,-25.19058,-1.555366,1.225164,2.874339,12.90387,96.49709,0.9287289
0.1382217,6.38E+13,0.1085199,-0.000742102,-0.01593938,-4.699646,1.712223,-1.089111,-1.10153,1.554758,2.28194,-0.6248717,1.285021,1.721777,11.00403,-97.12262,-25.19058,-1.555366,1.225164,2.874339,12.90387,96.49709,0.9287289
0.158226,6.38E+13,0.1087503,-0.000749276,-0.01603612,-4.648438,1.718898,-1.145111,-1.101625,1.554751,2.282171,-0.6241732,1.285695,1.722488,10.88648,-97.42661,-24.85538,-1.556466,1.223113,2.874351,14.20194,96.37195,1.450619
0.1782227,6.38E+13,0.1089987,-0.00091027,-0.0161548,-4.609985,1.683104,-1.070282,-1.101717,1.55459,2.282431,-0.6239235,1.286114,1.722918,11.08649,-97.44449,-24.60629,-1.557269,1.221643,2.872742,14.64369,94.79304,0.9353788
0.1982269,6.38E+13,0.109345,-0.001007568,-0.01623465,-4.645905,1.636902,-0.9990845,-1.101905,1.554493,2.282732,-0.6239257,1.286512,1.723167,11.06547,-97.43243,-24.59387,-1.557887,1.220366,2.871531,14.67365,94.40032,1.542848
0.2182236,6.38E+13,0.109345,-0.001007568,-0.01623465,-4.645905,1.636902,-0.9990845,-1.101905,1.554493,2.282732,-0.6239257,1.286512,1.723167,11.06547,-97.43243,-24.59387,-1.557887,1.220366,2.871531,14.67365,94.40032,1.542848
0.2382278,6.38E+13,0.1097304,-0.001060682,-0.01619702,-4.726624,1.60916,-1.021576,-1.102204,1.55444,2.282978,-0.6238637,1.28723,1.723559,10.93254,-97.40509,-24.61594,-1.558096,1.218953,2.870281,14.34112,94.70872,2.408055
0.2582245,6.38E+13,0.1100365,-0.001244248,-0.01615263,-4.692871,1.55482,-1.126038,-1.102452,1.554256,2.283163,-0.6237957,1.287772,1.723958,10.90183,-97.46024,-24.58359,-1.558362,1.217118,2.868992,14.56979,94.69264,2.468709
0.2782211,6.38E+13,0.1100365,-0.001244248,-0.01615263,-4.692871,1.55482,-1.126038,-1.102452,1.554256,2.283163,-0.6237957,1.287772,1.723958,10.90183,-97.46024,-24.58359,-1.558362,1.217118,2.868992,14.56979,94.69264,2.468709
0.2982254,6.38E+13,0.1103463,-0.001421156,-0.01614537,-4.617584,1.496185,-1.182404,-1.102676,1.554079,2.283377,-0.6239109,1.288316,1.72431,10.86228,-97.42828,-24.58221,-1.55849,1.215521,2.868135,14.86821,94.89317,2.500726
0.318222,6.38E+13,0.1107356,-0.001385569,-0.01605343,-4.531342,1.481956,-1.239227,-1.103016,1.554115,2.283587,-0.6240851,1.288927,1.724731,10.71812,-97.4368,-24.6925,-1.558708,1.213421,2.866919,15.20192,95.00544,2.839688
0.3382263,6.38E+13,0.1110713,-0.001325864,-0.01584778,-4.483734,1.477652,-1.330933,-1.103399,1.554175,2.283679,-0.6243423,1.289397,1.725042,10.60688,-97.52731,-24.78845,-1.558709,1.212031,2.866067,15.1456,95.19472,3.26578
0.358223,6.38E+13,0.1110713,-0.001325864,-0.01584778,-4.483734,1.477652,-1.330933,-1.103399,1.554175,2.283679,-0.6243423,1.289397,1.725042,10.60688,-97.52731,-24.78845,-1.558709,1.212031,2.866067,15.1456,95.19472,3.26578
0.3782272,6.38E+13,0.1113923,-0.001167346,-0.0155806,-4.511871,1.448098,-1.349243,-1.103815,1.554333,2.283717,-0.624674,1.289784,1.725338,10.56843,-97.47455,-24.83511,-1.558646,1.211385,2.865606,15.3126,95.38094,3.269944
0.3982239,6.38E+13,0.111708,-0.000886954,-0.01523628,-4.567505,1.427478,-1.3638,-1.104282,1.554613,2.283697,-0.6250844,1.290553,1.725811,10.2206,-97.69446,-25.20749,-1.558781,1.210923,2.86476,15.42048,95.19583,3.317312
0.4182281,6.38E+13,0.1119906,-0.000735372,-0.01483102,-4.628326,1.417256,-1.389618,-1.104768,1.554765,2.28361,-0.6252944,1.290981,1.726083,10.06948,-97.72736,-25.28238,-1.559112,1.210334,2.863875,15.41454,95.42961,3.849299
0.4382248,6.38E+13,0.1119906,-0.000735372,-0.01483102,-4.628326,1.417256,-1.389618,-1.104768,1.554765,2.28361,-0.6252944,1.290981,1.726083,10.06948,-97.72736,-25.28238,-1.559112,1.210334,2.863875,15.41454,95.42961,3.849299
0.4582214,6.38E+13,0.112278,-0.000833418,-0.01442969,-4.607117,1.404511,-1.3974,-1.105255,1.554667,2.28353,-0.6254221,1.291164,1.726256,10.17733,-97.71014,-25.26593,-1.559336,1.210679,2.863234,15.28815,95.51572,4.060918
0.4782257,6.38E+13,0.112278,-0.000833418,-0.01442969,-4.607117,1.404511,-1.3974,-1.105255,1.554667,2.28353,-0.6254221,1.291164,1.726256,10.17733,-97.71014,-25.26593,-1.559336,1.210679,2.863234,15.28815,95.51572,4.060918
0.4982224,6.38E+13,0.1125652,-0.001062612,-0.01394451,-4.520264,1.400679,-1.346863,-1.105801,1.554438,2.28339,-0.6256458,1.291716,1.726714,10.04488,-97.88452,-25.25983,-1.559601,1.211115,2.862673,15.30696,95.21934,3.888236
0.5182266,6.38E+13,0.1129463,-0.001162024,-0.01351736,-4.446289,1.407424,-1.300629,-1.106373,1.554338,2.283357,-0.6259227,1.291873,1.727003,10.01132,-97.88138,-25.27698,-1.559949,1.211558,2.86209,15.31,95.10899,3.87872
0.5382233,6.38E+13,0.1133197,-0.001426333,-0.01323901,-4.282928,1.430649,-1.334564,-1.106834,1.554074,2.283424,-0.6264832,1.292008,1.727469,9.917033,-97.94839,-25.46072,-1.560744,1.212633,2.861056,15.08453,95.00325,4.300913
0.5582275,6.38E+13,0.1138888,-0.001455354,-0.01295884,-4.178833,1.450268,-1.293274,-1.107434,1.554045,2.283629,-0.6271419,1.292142,1.727866,9.83147,-98.03711,-25.5647,-1.561059,1.213642,2.860701,15.01123,95.00384,4.398106
0.5782242,6.38E+13,0.1138888,-0.001455354,-0.01295884,-4.178833,1.450268,-1.293274,-1.107434,1.554045,2.283629,-0.6271419,1.292142,1.727866,9.83147,-98.03711,-25.5647,-1.561059,1.213642,2.860701,15.01123,95.00384,4.398106
0.5982208,6.38E+13,0.1144784,-0.001257828,-0.01257059,-4.220093,1.470308,-1.230896,-1.108126,1.554243,2.283771,-0.6279188,1.292183,1.728297,9.809031,-98.0108,-25.65561,-1.561094,1.214296,2.860543,15.00293,95.03205,4.205156
0.6182251,6.38E+13,0.1149716,-0.001221393,-0.01219016,-4.238586,1.491475,-1.265259,-1.108743,1.554279,2.283851,-0.6289069,1.292198,1.72878,9.733838,-98.03043,-25.88474,-1.561855,1.215546,2.860083,14.82377,94.82835,4.296671
0.6382217,6.38E+13,0.1149716,-0.001221393,-0.01219016,-4.238586,1.491475,-1.265259,-1.108743,1.554279,2.283851,-0.6289069,1.292198,1.72878,9.733838,-98.03043,-25.88474,-1.561855,1.215546,2.860083,14.82377,94.82835,4.296671
0.658226,6.38E+13,0.1154702,-0.000945669,-0.01190219,-4.207489,1.496397,-1.352295,-1.1093,1.554555,2.284,-0.6294653,1.292241,1.729083,9.721574,-98.06689,-25.86267,-1.562512,1.216408,2.859439,14.70582,94.82765,4.784622
0.6782227,6.38E+13,0.115871,-0.000801561,-0.0117871,-4.169159,1.470719,-1.386871,-1.109664,1.554699,2.284202,-0.6303385,1.292168,1.729381,9.757051,-98.07697,-25.89362,-1.562448,1.216574,2.859105,14.69115,94.88709,4.808012
0.6982269,6.38E+13,0.1163191,-0.000800687,-0.01152751,-4.161713,1.466125,-1.405701,-1.110165,1.5547,2.284335,-0.6315398,1.292181,1.729634,9.698338,-98.00449,-26.02264,-1.562537,1.216778,2.858598,14.63642,94.77549,4.897443
0.7182236,6.38E+13,0.1163191,-0.000800687,-0.01152751,-4.161713,1.466125,-1.405701,-1.110165,1.5547,2.284335,-0.6315398,1.292181,1.729634,9.698338,-98.00449,-26.02264,-1.562537,1.216778,2.858598,14.63642,94.77549,4.897443
0.7382278,6.38E+13,0.1167134,-0.000867973,-0.01139777,-4.188629,1.476433,-1.412872,-1.110535,1.554632,2.284522,-0.6324943,1.292417,1.72983,9.60529,-98.03589,-26.09277,-1.562559,1.216773,2.858254,14.66782,94.804,5.003178
0.7582245,6.38E+13,0.1171166,-0.001004134,-0.01123933,-4.225616,1.508645,-1.398407,-1.110933,1.554496,2.284695,-0.6332901,1.292651,1.729933,9.560459,-98.09018,-26.13123,-1.562582,1.216623,2.857922,14.64007,94.81866,5.091938
0.7782211,6.38E+13,0.1171166,-0.001004134,-0.01123933,-4.225616,1.508645,-1.398407,-1.110933,1.554496,2.284695,-0.6332901,1.292651,1.729933,9.560459,-98.09018,-26.13123,-1.562582,1.216623,2.857922,14.64007,94.81866,5.091938
0.7982254,6.38E+13,0.1174541,-0.00120584,-0.01107696,-4.1698,1.52007,-1.339508,-1.111286,1.554295,2.284819,-0.6345649,1.29299,1.730041,9.51571,-98.00995,-26.03372,-1.562578,1.216246,2.857666,14.651,94.80991,5.176112
0.818222,6.38E+13,0.1177187,-0.001344648,-0.01091065,-4.061157,1.489694,-1.346436,-1.111591,1.554156,2.284889,-0.6357869,1.293215,1.73012,9.524923,-97.89258,-25.96158,-1.562532,1.215798,2.857595,14.69104,94.8257,5.19009
0.8382263,6.38E+13,0.1179865,-0.001366209,-0.01067073,-3.976776,1.45621,-1.377167,-1.11195,1.554134,2.284908,-0.6383313,1.294074,1.731118,9.476768,-97.64618,-26.0575,-1.562433,1.214707,2.857483,14.77404,94.7999,5.139107
0.858223,6.38E+13,0.1179865,-0.001366209,-0.01067073,-3.976776,1.45621,-1.377167,-1.11195,1.554134,2.284908,-0.6383313,1.294074,1.731118,9.476768,-97.64618,-26.0575,-1.562433,1.214707,2.857483,14.77404,94.7999,5.139107
0.8782272,6.38E+13,0.118255,-0.001264741,-0.01031692,-3.947754,1.435886,-1.401611,-1.11239,1.554236,2.284848,-0.6399521,1.294689,1.731877,9.43904,-97.49512,-26.10315,-1.562266,1.213092,2.857262,14.96303,94.89512,5.318168
0.8982239,6.38E+13,0.1184584,-0.001117139,-0.009860964,-3.960663,1.445276,-1.433624,-1.112856,1.554383,2.284669,-0.6401783,1.29477,1.731934,9.454477,-97.50964,-26.09286,-1.562117,1.21064,2.856547,15.18938,95.02957,6.095031
0.9182281,6.38E+13,0.1184584,-0.001117139,-0.009860964,-3.960663,1.445276,-1.433624,-1.112856,1.554383,2.284669,-0.6401783,1.29477,1.731934,9.454477,-97.50964,-26.09286,-1.562117,1.21064,2.856547,15.18938,95.02957,6.095031
0.9382248,6.38E+13,0.1186195,-0.001073774,-0.009387638,-3.894928,1.44346,-1.381226,-1.113305,1.554427,2.284449,-0.6409168,1.29499,1.732129,9.482331,-97.62045,-26.07813,-1.562142,1.209155,2.855834,15.27011,94.92917,6.730985
0.9582214,6.38E+13,0.1187691,-0.00109697,-0.008848692,-3.849915,1.407706,-1.257355,-1.113791,1.554403,2.284173,-0.6414399,1.295094,1.732313,9.444963,-97.64624,-26.06036,-1.562033,1.208408,2.855997,15.29206,95.18149,6.948919
0.9782257,6.38E+13,0.1187691,-0.00109697,-0.008848692,-3.849915,1.407706,-1.257355,-1.113791,1.554403,2.284173,-0.6414399,1.295094,1.732313,9.444963,-97.64624,-26.06036,-1.562033,1.208408,2.855997,15.29206,95.18149,6.948919
0.9982224,6.38E+13,0.1189082,-0.001104869,-0.008211253,-3.912994,1.351685,-1.206299,-1.114341,1.554396,2.283821,-0.6405463,1.294034,1.73073,9.529685,-97.50177,-26.0412,-1.561913,1.208442,2.856213,15.289,95.11337,6.825363
1.018227,6.38E+13,0.1190444,-0.001545239,-0.007449542,-3.929352,1.284297,-1.212799,-1.114975,1.553955,2.283379,-0.6405018,1.293091,1.730054,9.570032,-97.53583,-26.2825,-1.561782,1.208067,2.856427,15.32092,95.11072,6.909637
1.038223,6.38E+13,0.1192185,-0.001658584,-0.006951835,-3.858612,1.277078,-1.211731,-1.115451,1.553842,2.28315,-0.6408595,1.292696,1.730104,9.431205,-97.54105,-26.58163,-1.561507,1.207652,2.856819,15.33879,95.4016,7.054338
1.058228,6.38E+13,0.1192185,-0.001658584,-0.006951835,-3.858612,1.277078,-1.211731,-1.115451,1.553842,2.28315,-0.6408595,1.292696,1.730104,9.431205,-97.54105,-26.58163,-1.561507,1.207652,2.856819,15.33879,95.4016,7.054338
1.078224,6.38E+13,0.1194746,-0.001663537,-0.006571062,-3.772614,1.248824,-1.164581,-1.115901,1.553837,2.283062,-0.6408839,1.292658,1.730141,9.450787,-97.56833,-26.53864,-1.561362,1.207655,2.856916,15.33786,95.42709,6.993627
1.098221,6.38E+13,0.1197238,-0.001785378,-0.006120859,-3.752258,1.221793,-1.146362,-1.116395,1.553715,2.282919,-0.6410353,1.292527,1.730224,9.504007,-97.62393,-26.43744,-1.561302,1.207531,2.857161,15.34025,95.45139,7.084912
1.118225,6.38E+13,0.1200313,-0.001862216,-0.005783605,-3.756378,1.214929,-1.160095,-1.116851,1.553638,2.282898,-0.6410897,1.292473,1.730274,9.519335,-97.63968,-26.40707,-1.561193,1.207587,2.857458,15.32209,95.61404,7.259423
1.138222,6.38E+13,0.1200313,-0.001862216,-0.005783605,-3.756378,1.214929,-1.160095,-1.116851,1.553638,2.282898,-0.6410897,1.292473,1.730274,9.519335,-97.63968,-26.40707,-1.561193,1.207587,2.857458,15.32209,95.61404,7.259423
1.158226,6.38E+13,0.1203228,-0.001798286,-0.005472855,-3.778229,1.201511,-1.212769,-1.117277,1.553702,2.282885,-0.6411954,1.292356,1.730322,9.445453,-97.74319,-26.62222,-1.561142,1.207799,2.857519,15.28683,95.62457,7.155923
1.178223,6.38E+13,0.1206192,-0.001670337,-0.005099585,-3.802979,1.21422,-1.275391,-1.117751,1.55383,2.28283,-0.6412253,1.292498,1.730297,9.409658,-97.73987,-26.58203,-1.561012,1.208058,2.857378,15.28185,95.65802,6.97503
1.198227,6.38E+13,0.1208771,-0.001693904,-0.00473695,-3.749054,1.216633,-1.342957,-1.11819,1.553806,2.282757,-0.6405631,1.292302,1.729374,9.478769,-97.74127,-26.32635,-1.561103,1.207949,2.856924,15.35389,95.5832,6.882551
1.218224,6.38E+13,0.1208771,-0.001693904,-0.00473695,-3.749054,1.216633,-1.342957,-1.11819,1.553806,2.282757,-0.6405631,1.292302,1.729374,9.478769,-97.74127,-26.32635,-1.561103,1.207949,2.856924,15.35389,95.5832,6.882551
1.238228,6.38E+13,0.1210961,-0.001768136,-0.004370657,-3.687958,1.224276,-1.337402,-1.118603,1.553732,2.282652,-0.63957,1.291638,1.728032,9.520932,-97.68677,-26.327,-1.561639,1.207246,2.855912,15.47434,95.45197,7.073768
1.258224,6.38E+13,0.1210961,-0.001768136,-0.004370657,-3.687958,1.224276,-1.337402,-1.118603,1.553732,2.282652,-0.63957,1.291638,1.728032,9.520932,-97.68677,-26.327,-1.561639,1.207246,2.855912,15.47434,95.45197,7.073768
1.278221,6.38E+13,0.1212579,-0.001717223,-0.004012112,-3.690948,1.251099,-1.345215,-1.118971,1.553783,2.282513,-0.6396824,1.291319,1.727576,9.414165,-97.72598,-26.59558,-1.562543,1.206108,2.854169,15.74464,95.15726,7.443655
1.298225,6.38E+13,0.1214012,-0.001788869,-0.003632046,-3.691284,1.345289,-1.348877,-1.119341,1.553712,2.282346,-0.6399042,1.291117,1.727242,9.262205,-97.74429,-26.85144,-1.562875,1.205831,2.853604,15.67412,95.06892,7.374179
1.318222,6.38E+13,0.1216231,-0.001778529,-0.003253081,-3.619141,1.431327,-1.233307,-1.119766,1.553722,2.282235,-0.6401001,1.291139,1.727101,9.156069,-97.77722,-26.96982,-1.5633,1.205282,2.852618,15.67559,94.936,7.379229
1.338226,6.38E+13,0.121995,-0.001730425,-0.002937208,-3.564362,1.462248,-1.001343,-1.120253,1.55377,2.282274,-0.6402345,1.29125,1.727055,9.158842,-97.6839,-26.90555,-1.564508,1.204075,2.851207,15.76946,94.83408,8.059589
1.358223,6.38E+13,0.121995,-0.001730425,-0.002937208,-3.564362,1.462248,-1.001343,-1.120253,1.55377,2.282274,-0.6402345,1.29125,1.727055,9.158842,-97.6839,-26.90555,-1.564508,1.204075,2.851207,15.76946,94.83408,8.059589
1.378227,6.38E+13,0.1222981,-0.001730727,-0.002612443,-3.583252,1.501004,-0.9447021,-1.120697,1.55377,2.282259,-0.6402697,1.291383,1.726971,9.161363,-97.64951,-26.86432,-1.564904,1.203874,2.851188,15.73422,95.18301,8.294566
1.398224,6.38E+13,0.1225952,-0.001735662,-0.002331825,-3.627991,1.536014,-0.9052429,-1.121105,1.553765,2.282271,-0.6405209,1.291894,1.727311,9.122163,-97.68341,-26.92545,-1.564857,1.204163,2.851401,15.7863,95.05401,7.97712
