time,realtime,posX,posY,posZ,rotX,rotY,rotZ,headPosX,headPosY,headPosZ,LhandPosX,LhandPosY,LhandPosZ,LhandRotX,LhandRotY,LhandRotZ,RhandPosX,RhandPosY,RhandPosZ,RhandRotX,RhandRotY,RhandRotZ
0.01663971,6.383482E+13,-0.2086547,-0.007862297,-0.1719611,0.09720214,164.9165,-0.07382202,-0.7635736,1.592138,2.172245,-1.387191,1.305917,2.535647,10.10489,75.84018,-22.49249,-0.2190161,1.253242,1.696874,13.14427,-92.0484,9.616803
0.03664017,6.383482E+13,-0.2100791,-0.0075478,-0.1724687,0.02185314,164.8674,-0.1672974,-0.7621913,1.592452,2.171632,-1.386879,1.306524,2.534151,9.876388,75.13773,-22.57233,-0.2188005,1.253166,1.697575,12.90616,-92.56281,8.638893
0.05664063,6.383482E+13,-0.2113943,-0.007417226,-0.1728658,0.01584988,164.8302,-0.2337036,-0.7609642,1.592583,2.171014,-1.386672,1.307486,2.533077,10.07274,74.93311,-22.20889,-0.2180631,1.252101,1.698108,13.11158,-92.21414,7.609794
0.07664108,6.383482E+13,-0.2113943,-0.007417226,-0.1728658,0.01584988,164.8302,-0.2337036,-0.7609642,1.592583,2.171014,-1.386672,1.307486,2.533077,10.07274,74.93311,-22.20889,-0.2180631,1.252101,1.698108,13.11158,-92.21414,7.609794
0.09663773,6.383482E+13,-0.2126442,-0.006907908,-0.1733415,-0.05096436,164.8217,-0.2709656,-0.7597302,1.593092,2.170499,-1.386412,1.308665,2.532212,10.12714,74.54639,-21.63306,-0.2175313,1.250452,1.69813,13.66626,-91.63647,7.440902
0.1166382,6.383482E+13,-0.2139588,-0.00671063,-0.1738633,-0.1811523,164.8127,-0.247345,-0.7584177,1.593289,2.169972,-1.385929,1.309783,2.531458,10.14272,74.35022,-20.90616,-0.2127339,1.245862,1.694306,14.24072,-90.77496,8.785566
0.1366386,6.383482E+13,-0.2139588,-0.00671063,-0.1738633,-0.1811523,164.8127,-0.247345,-0.7584177,1.593289,2.169972,-1.385929,1.309783,2.531458,10.14272,74.35022,-20.90616,-0.2127339,1.245862,1.694306,14.24072,-90.77496,8.785566
0.1566391,6.383482E+13,-0.2151865,-0.006127339,-0.1744742,-0.3479614,164.8297,-0.2954407,-0.7571067,1.593873,2.169569,-1.385394,1.310722,2.531141,10.34912,74.15326,-20.60568,-0.1995995,1.235661,1.681341,13.9845,-90.94412,8.832082
0.1766396,6.383482E+13,-0.216193,-0.005799496,-0.175167,-0.5583801,164.8562,-0.387207,-0.7558998,1.5942,2.169379,-1.384464,1.311661,2.530956,10.20063,73.85133,-20.57587,-0.1996681,1.23541,1.681502,14.04068,-91.3331,8.315218
0.19664,6.383482E+13,-0.2172512,-0.005788424,-0.1758344,-0.6746826,164.823,-0.3786316,-0.7546729,1.594212,2.169134,-1.38342,1.312037,2.530969,10.21189,73.93051,-20.35394,-0.1986488,1.233299,1.681175,14.17035,-91.25592,8.269587
0.2166405,6.383482E+13,-0.2172512,-0.005788424,-0.1758344,-0.6746826,164.823,-0.3786316,-0.7546729,1.594212,2.169134,-1.38342,1.312037,2.530969,10.21189,73.93051,-20.35394,-0.1986488,1.233299,1.681175,14.17035,-91.25592,8.269587
0.2366409,6.383482E+13,-0.2182844,-0.005625279,-0.1764864,-0.6765137,164.6995,-0.4152222,-0.7534747,1.594375,2.168895,-1.382641,1.312193,2.531089,10.0076,74.0546,-20.45142,-0.1969034,1.22969,1.680833,14.49274,-90.91376,8.464531
0.2566376,6.383482E+13,-0.219421,-0.005340407,-0.1771887,-0.586853,164.6015,-0.4994507,-0.7521669,1.59466,2.168622,-1.380935,1.313116,2.530994,9.581148,74.22632,-20.30045,-0.1959187,1.227218,1.681427,14.64522,-91.07709,8.666759
0.276638,6.383482E+13,-0.219421,-0.005340407,-0.1771887,-0.586853,164.6015,-0.4994507,-0.7521669,1.59466,2.168622,-1.380935,1.313116,2.530994,9.581148,74.22632,-20.30045,-0.1959187,1.227218,1.681427,14.64522,-91.07709,8.666759
0.2966385,6.383482E+13,-0.2203479,-0.00494845,-0.1779867,-0.5562134,164.5608,-0.6028137,-0.7509452,1.595052,2.168562,-1.379469,1.314594,2.530744,8.973611,74.32101,-20.0011,-0.1945373,1.223516,1.682264,15.01062,-91.15607,9.209641
0.3166389,6.383482E+13,-0.2213452,-0.004556331,-0.178797,-0.5723572,164.4761,-0.6742249,-0.7496641,1.595444,2.168463,-1.379372,1.315901,2.530307,8.909478,73.996,-19.47842,-0.1936272,1.220574,1.682766,15.10222,-90.99814,9.947523
0.3366394,6.383482E+13,-0.222217,-0.004160142,-0.179684,-0.5455933,164.4305,-0.7255554,-0.7484211,1.59584,2.168506,-1.379357,1.317018,2.529571,9.248449,73.58123,-18.7529,-0.1928282,1.217527,1.683237,15.28418,-91.10199,10.50039
0.3566399,6.383482E+13,-0.222217,-0.004160142,-0.179684,-0.5455933,164.4305,-0.7255554,-0.7484211,1.59584,2.168506,-1.379357,1.317018,2.529571,9.248449,73.58123,-18.7529,-0.1928282,1.217527,1.683237,15.28418,-91.10199,10.50039
0.3766403,6.383482E+13,-0.2230259,-0.003644563,-0.1804852,-0.5166931,164.388,-0.8019104,-0.7472829,1.596355,2.16853,-1.379336,1.317896,2.529027,9.539531,73.49596,-18.60513,-0.1924924,1.214602,1.683148,15.62796,-91.03809,10.55133
0.3966408,6.383482E+13,-0.2237587,-0.003441596,-0.1813953,-0.5773621,164.3418,-0.8394165,-0.7461248,1.596558,2.168685,-1.37929,1.318717,2.528676,9.328639,73.04716,-19.12515,-0.1923529,1.211891,1.682842,15.76087,-91.14063,10.61257
0.4166374,6.383482E+13,-0.2237587,-0.003441596,-0.1813953,-0.5773621,164.3418,-0.8394165,-0.7461248,1.596558,2.168685,-1.37929,1.318717,2.528676,9.328639,73.04716,-19.12515,-0.1923529,1.211891,1.682842,15.76087,-91.14063,10.61257
0.4366379,6.383482E+13,-0.2244206,-0.003410265,-0.1821689,-0.572876,164.2998,-0.8533325,-0.7451121,1.59659,2.168791,-1.37886,1.319492,2.52839,9.33845,73.01529,-19.05856,-0.1920409,1.209315,1.681855,16.10935,-90.8031,11.05863
0.4566383,6.383482E+13,-0.2250802,-0.003534407,-0.1827822,-0.4603882,164.2279,-0.9031982,-0.7442114,1.596466,2.168781,-1.378334,1.319877,2.52836,9.387439,73.18555,-19.16165,-0.1917909,1.207514,1.680773,16.20811,-90.3985,11.50946
0.4766388,6.383482E+13,-0.2255348,-0.003710782,-0.1833849,-0.3655396,164.1311,-0.9798889,-0.7434669,1.596289,2.168905,-1.377049,1.322207,2.528064,9.072585,73.32178,-19.65982,-0.1919041,1.207352,1.680107,16.05144,-90.31326,11.17107
0.4966393,6.383482E+13,-0.2255348,-0.003710782,-0.1833849,-0.3655396,164.1311,-0.9798889,-0.7434669,1.596289,2.168905,-1.377049,1.322207,2.528064,9.072585,73.32178,-19.65982,-0.1919041,1.207352,1.680107,16.05144,-90.31326,11.17107
