time,realtime,posX,posY,posZ,rotX,rotY,rotZ,headPosX,headPosY,headPosZ,LhandPosX,LhandPosY,LhandPosZ,LhandRotX,LhandRotY,LhandRotZ,RhandPosX,RhandPosY,RhandPosZ,RhandRotX,RhandRotY,RhandRotZ,,,,
0.005373001,6.38E+13,0.09157516,-0.007014729,0.01775176,-0.8973999,2.917444,-2.109497,-0.7466282,1.548485,2.353865,-1.228375,1.207345,2.882228,16.39942,-95.50229,-5.899323,-0.2720273,1.255523,1.838313,7.714665,87.78806,5.378335,,0,0,0
0.02537251,6.38E+13,0.09157516,-0.007014729,0.01775176,-0.8973999,2.917444,-2.109497,-0.7466282,1.548485,2.353865,-1.228375,1.207345,2.882228,16.39942,-95.50229,-5.899323,-0.2720273,1.255523,1.838313,7.714665,87.78806,5.378335,,9.71E-06,0.00007215,0.00025164
0.04537296,6.38E+13,0.09156545,-0.007086879,0.01750012,-0.9328003,2.877074,-2.190369,-0.7468129,1.548413,2.353694,-1.229118,1.207999,2.882538,16.14797,-95.51184,-6.210236,-0.2725763,1.253923,1.837135,7.637963,88.34245,5.810446,,-6.511E-05,-0.000011161,0.00039494
0.06537247,6.38E+13,0.09163056,-0.007075718,0.01710518,-0.9459229,2.863143,-2.221741,-0.7470462,1.548424,2.353369,-1.229684,1.208423,2.882652,16.10163,-95.62286,-6.194366,-0.2730578,1.252987,1.835887,7.662887,88.57133,5.034862,,-0.00021432,-0.000121763,0.00040923
0.08537292,6.38E+13,0.09184488,-0.006953955,0.01669595,-0.9857483,2.946737,-2.205109,-0.747184,1.548546,2.352928,-1.23043,1.20899,2.88276,16.18768,-95.6496,-5.990845,-0.2735261,1.251623,1.834474,8.102227,88.67381,4.356207,,0,0,0
0.1053734,6.38E+13,0.09184488,-0.006953955,0.01669595,-0.9857483,2.946737,-2.205109,-0.747184,1.548546,2.352928,-1.23043,1.20899,2.88276,16.18768,-95.6496,-5.990845,-0.2735261,1.251623,1.834474,8.102227,88.67381,4.356207,,-0.00038797,-0.000283858,0.00036494
0.1253729,6.38E+13,0.09223285,-0.006670097,0.01633101,-1.101776,3.051551,-2.194092,-0.7471677,1.54883,2.352395,-1.231278,1.209744,2.882872,16.19358,-95.65585,-5.670502,-0.2736424,1.251157,1.833898,8.085144,88.65853,4.630682,,-0.0002583,-0.000409558,0.0003311
0.1453733,6.38E+13,0.09249115,-0.006260539,0.01599991,-1.236084,3.157969,-2.376007,-0.7472192,1.54924,2.351979,-1.231372,1.209893,2.883,16.18237,-95.67242,-5.70166,-0.2739051,1.250718,1.833283,8.153204,88.58411,4.627482,,0,0,0
0.1653728,6.38E+13,0.09249115,-0.006260539,0.01599991,-1.236084,3.157969,-2.376007,-0.7472192,1.54924,2.351979,-1.231372,1.209893,2.883,16.18237,-95.67242,-5.70166,-0.2739051,1.250718,1.833283,8.153204,88.58411,4.627482,,-0.00028233,-0.000360747,0.00036658
0.1853733,6.38E+13,0.09277348,-0.005899792,0.01563333,-1.364105,3.25616,-2.408936,-0.7472788,1.5496,2.35152,-1.231535,1.210199,2.883191,16.13103,-95.66901,-5.743195,-0.2743053,1.248465,1.830916,9.077701,88.6148,4.833886,,-0.00034423,-3.8918E-05,0.00048122
0.2053728,6.38E+13,0.09311771,-0.005860874,0.01515211,-1.405304,3.340481,-2.343811,-0.7473757,1.549639,2.350936,-1.231704,1.210768,2.883579,15.96098,-95.55383,-5.845886,-0.2745264,1.24897,1.830767,8.833847,88.58658,4.835377,,-0.00051055,-0.000101156,0.00044417
0.2253733,6.38E+13,0.09362826,-0.005759718,0.01470794,-1.513214,3.442873,-2.318848,-0.7473288,1.54974,2.350261,-1.231618,1.211183,2.883675,15.87123,-95.52252,-5.895142,-0.2747723,1.249221,1.82993,8.755323,88.61545,5.040326,,0,0,0
0.2453728,6.38E+13,0.09362826,-0.005759718,0.01470794,-1.513214,3.442873,-2.318848,-0.7473288,1.54974,2.350261,-1.231618,1.211183,2.883675,15.87123,-95.52252,-5.895142,-0.2747723,1.249221,1.82993,8.755323,88.61545,5.040326,,-0.00051667,0.000162395,0.00049004
0.2653732,6.38E+13,0.09414493,-0.005922113,0.0142179,-1.592224,3.517559,-2.283264,-0.7473099,1.549578,2.349549,-1.231556,1.211528,2.883656,15.8141,-95.40884,-5.823334,-0.275078,1.24964,1.829161,8.606489,88.56677,5.039857,,-0.00058784,8.8866E-05,0.00047338
0.2853727,6.38E+13,0.09473277,-0.006010979,0.01374452,-1.589905,3.546332,-2.266205,-0.747229,1.549489,2.348799,-1.231634,1.211721,2.883642,15.77838,-95.47766,-5.873352,-0.2754124,1.250102,1.828031,8.490328,88.40475,4.91979,,0,0,0
0.3053732,6.38E+13,0.09473277,-0.006010979,0.01374452,-1.589905,3.546332,-2.266205,-0.747229,1.549489,2.348799,-1.231634,1.211721,2.883642,15.77838,-95.47766,-5.873352,-0.2754124,1.250102,1.828031,8.490328,88.40475,4.91979,,-0.00069251,-9.2294E-05,0.00039572
0.3253727,6.38E+13,0.09542528,-0.005918685,0.0133488,-1.627228,3.56286,-2.315979,-0.7470191,1.549581,2.348029,-1.231609,1.211946,2.883507,15.77841,-95.47217,-5.831024,-0.2757278,1.250474,1.827083,8.366352,88.48547,4.873561,,-0.00054783,0.000115204,0.00053555
