time,realtime,posX,posY,posZ,rotX,rotY,rotZ,headPosX,headPosY,headPosZ,LhandPosX,LhandPosY,LhandPosZ,LhandRotX,LhandRotY,LhandRotZ,RhandPosX,RhandPosY,RhandPosZ,RhandRotX,RhandRotY,RhandRotZ
0.003799438,6.383482E+13,0.07722163,-0.01071792,0.0009783389,-0.9337769,-0.8354492,-0.7965698,0.07722163,1.489282,0.1509783,-0.6355997,1.250758,0.2228491,11.96302,-89.97903,-21.6048,0.8011106,1.170069,0.02612598,18.78482,93.7007,1.056123
0.0237999,6.383482E+13,0.07736745,-0.01068061,0.001389205,-0.918396,-0.8098145,-0.7743835,0.07736745,1.489319,0.1513892,-0.6355097,1.250221,0.2226949,12.03634,-90.09091,-21.69733,0.8011309,1.169165,0.02771308,19.4971,92.98009,1.228188
0.04380035,6.383482E+13,0.07756573,-0.01072445,0.002272552,-0.9635315,-0.7701416,-0.7389832,0.07756573,1.489276,0.1522726,-0.6352286,1.249352,0.2225167,12.25127,-90.2569,-21.67206,0.8006373,1.167838,0.03131779,19.47598,91.61558,2.504965
0.06380081,6.383482E+13,0.07761707,-0.01075617,0.002695682,-1.000031,-0.7689819,-0.7601624,0.07761707,1.489244,0.1526957,-0.6351406,1.249106,0.222594,12.31949,-90.1572,-21.63361,0.8005417,1.167634,0.03250968,19.16092,91.46555,2.940307
0.08380127,6.383482E+13,0.07778754,-0.01092484,0.003518144,-1.021484,-0.6931152,-0.8956299,0.07778754,1.489075,0.1535182,-0.6349846,1.248064,0.2226923,12.46545,-90.16144,-22.02884,0.8003879,1.167515,0.03386077,18.92384,91.33111,2.390781
0.1038017,6.383482E+13,0.07784472,-0.01089979,0.003880481,-0.9779358,-0.6533508,-0.9621582,0.07784472,1.4891,0.1538805,-0.634871,1.247723,0.2226824,12.39513,-90.41177,-22.41183,0.8004435,1.167177,0.03445274,19.18006,90.99493,1.643787
0.1238022,6.383482E+13,0.07791682,-0.01092494,0.004184559,-0.9343567,-0.6472473,-1.006348,0.07791682,1.489075,0.1541846,-0.6347829,1.247636,0.2226879,12.2887,-90.66968,-22.60913,0.8006229,1.166659,0.03492223,19.44836,90.87445,1.278936
0.1437988,6.383482E+13,0.07802059,-0.01101393,0.004814957,-0.896698,-0.6325073,-1.066833,0.07802059,1.488986,0.154815,-0.6347768,1.24786,0.2228445,12.325,-90.56238,-22.31876,0.8012164,1.165867,0.0350174,19.16674,92.09837,2.197334
0.1637993,6.383482E+13,0.07804685,-0.01106317,0.005118553,-0.881134,-0.6081543,-1.103912,0.07804685,1.488937,0.1551186,-0.6347853,1.247776,0.2229463,12.37765,-90.48309,-22.2652,0.8014392,1.165616,0.03480788,18.92899,92.70415,2.232031
0.1837997,6.383482E+13,0.07813466,-0.0111214,0.005657263,-0.8554993,-0.5292053,-1.164673,0.07813466,1.488879,0.1556573,-0.6347274,1.247538,0.2232289,12.38075,-90.52512,-22.33145,0.8014134,1.164718,0.03488435,19.24781,92.52456,0.8583567
0.2038002,6.383482E+13,0.07811645,-0.01106041,0.005983013,-0.8451843,-0.4973145,-1.164948,0.07811645,1.48894,0.155983,-0.6346582,1.247411,0.2234407,12.35167,-90.64606,-22.39188,0.8013634,1.164184,0.03533624,19.43001,91.99339,0.3247793
0.2238007,6.383482E+13,0.07811251,-0.01113388,0.006514104,-0.8874817,-0.509491,-1.17984,0.07811251,1.488866,0.1565141,-0.6346202,1.247213,0.2237862,12.40708,-90.65439,-22.38416,0.8017247,1.163386,0.03620817,19.60023,92.04129,1.408967
