time,realtime,posX,posY,posZ,rotX,rotY,rotZ,headPosX,headPosY,headPosZ,LhandPosX,LhandPosY,LhandPosZ,LhandRotX,LhandRotY,LhandRotZ,RhandPosX,RhandPosY,RhandPosZ,RhandRotX,RhandRotY,RhandRotZ
0.01369667,6.383481E+13,-0.6122809,0.3383597,-0.3454373,-2.856689,91.62238,0.3046347,-0.6122809,1.83836,20.31424,-0.5587764,1.588199,21.06361,14.19415,1.684535,-14.30441,-0.7214854,1.557352,19.59204,11.98652,-177.6282,9.633064
0.03369522,6.383481E+13,-0.6116691,0.3383931,-0.3448511,-2.99234,91.63721,0.487996,-0.6116691,1.838393,20.31483,-0.5596493,1.586782,21.06472,14.15012,0.969675,-14.89557,-0.7228288,1.558249,19.5916,11.92303,-177.5566,9.407173
0.05369568,6.383481E+13,-0.6113349,0.3383022,-0.3445329,-3.046783,91.65975,0.6011733,-0.6113349,1.838302,20.31515,-0.5600922,1.586138,21.06526,14.20183,0.5413585,-15.14035,-0.7235612,1.558856,19.5913,11.87304,-177.4689,9.273761
0.07369614,6.383481E+13,-0.6107758,0.3384557,-0.3440424,-3.033966,91.65779,0.8528755,-0.6107758,1.838456,20.31564,-0.5609063,1.585105,21.06602,14.24888,-0.1538391,-15.23068,-0.7251768,1.56015,19.59067,11.71475,-177.1057,8.562188
0.09369659,6.383481E+13,-0.6104881,0.3386828,-0.343843,-3.04187,91.62543,0.9982601,-0.6104881,1.838683,20.31583,-0.5609781,1.58471,21.06594,14.31309,-0.1097412,-14.97833,-0.7257597,1.560522,19.59044,11.90323,-177.0822,8.022169
0.1136951,6.383481E+13,-0.6098513,0.3390091,-0.3433737,-3.079254,91.58572,1.242547,-0.6098513,1.839009,20.3163,-0.560639,1.584292,21.06581,14.29966,0.2733053,-14.74985,-0.7260254,1.560331,19.5902,12.66812,-177.4896,7.272138
0.1336956,6.383481E+13,-0.6095934,0.3392397,-0.3432608,-3.035583,91.55065,1.301478,-0.6095934,1.83924,20.31642,-0.5605801,1.584201,21.0656,14.26348,0.2738247,-14.84149,-0.7258101,1.560033,19.59057,12.51716,-177.8039,7.311566
0.1536961,6.383481E+13,-0.6091587,0.3395571,-0.3429167,-2.961884,91.50719,1.30931,-0.6091587,1.839557,20.31676,-0.5612095,1.581985,21.06663,14.36934,-0.4136658,-14.99921,-0.7253442,1.559317,19.59063,12.13427,-177.3334,9.044088
0.1736965,6.383481E+13,-0.608977,0.3396565,-0.3427371,-2.938019,91.48967,1.258036,-0.608977,1.839656,20.31694,-0.5612898,1.581375,21.0668,14.58001,-0.4263306,-15.02631,-0.7252373,1.559028,19.59065,11.70175,-176.8537,10.02688
0.1936951,6.383481E+13,-0.6087149,0.339661,-0.3425458,-2.933899,91.47703,1.188993,-0.6087149,1.839661,20.31713,-0.5612876,1.580798,21.067,14.78459,-0.2754822,-15.3197,-0.7251291,1.558736,19.5907,11.2552,-176.3599,10.77687
