time,realtime,posX,posY,posZ,rotX,rotY,rotZ,headPosX,headPosY,headPosZ,LhandPosX,LhandPosY,LhandPosZ,LhandRotX,LhandRotY,LhandRotZ,RhandPosX,RhandPosY,RhandPosZ,RhandRotX,RhandRotY,RhandRotZ
0.01217651,6.38E+13,0.1266874,-0.00296953,-0.01532533,-1.883301,-1.349335,-0.5932312,-1.114811,1.552531,2.294352,-0.6515799,1.245243,1.750859,14.55423,-87.69531,-11.09277,-1.524812,1.155996,2.883404,17.96436,94.84772,6.159428
0.03217697,6.38E+13,0.1266619,-0.002971268,-0.01491225,-2.004578,-1.424225,-0.6170959,-1.115085,1.552529,2.294042,-0.6530088,1.245148,1.750286,14.34678,-87.62021,-11.63913,-1.525226,1.156616,2.882813,17.51734,94.61577,5.365175
0.05217743,6.38E+13,0.1266619,-0.002971268,-0.01491225,-2.004578,-1.424225,-0.6170959,-1.115085,1.552529,2.294042,-0.6530088,1.245148,1.750286,14.34678,-87.62021,-11.63913,-1.525226,1.156616,2.882813,17.51734,94.61577,5.365175
0.07217789,6.38E+13,0.1266815,-0.002800122,-0.01460687,-2.04068,-1.485199,-0.5386353,-1.115315,1.5527,2.29384,-0.6533672,1.245436,1.750382,14.19308,-87.6709,-11.53421,-1.526486,1.156883,2.882994,17.72889,94.68565,4.353991
0.09217644,6.38E+13,0.1267919,-0.00281196,-0.01436424,-2.115234,-1.537598,-0.4560852,-1.115564,1.552688,2.293746,-0.654162,1.245543,1.750315,14.20914,-87.42795,-11.20139,-1.527937,1.156972,2.883372,17.99269,94.97691,3.599573
0.1121769,6.38E+13,0.1267919,-0.00281196,-0.01436424,-2.115234,-1.537598,-0.4560852,-1.115564,1.552688,2.293746,-0.654162,1.245543,1.750315,14.20914,-87.42795,-11.20139,-1.527937,1.156972,2.883372,17.99269,94.97691,3.599573
0.1321774,6.38E+13,0.1269859,-0.00278984,-0.01424816,-2.162598,-1.575348,-0.4614868,-1.115784,1.552711,2.293802,-0.6545575,1.245477,1.750342,14.26862,-87.35294,-11.10873,-1.528372,1.156503,2.883172,17.88426,95.42831,4.112856
0.1521778,6.38E+13,0.1272305,-0.002676364,-0.01431279,-2.198578,-1.596375,-0.4988098,-1.115911,1.552824,2.29402,-0.6547491,1.245391,1.750306,14.22699,-87.3631,-11.06491,-1.529181,1.156216,2.882486,17.88834,95.20576,3.700412
0.1721764,6.38E+13,0.1275506,-0.00248769,-0.01453813,-2.328674,-1.606262,-0.5210876,-1.115978,1.553013,2.294406,-0.655128,1.245508,1.750346,14.0042,-87.12451,-10.51633,-1.521899,1.164839,2.869676,18.14757,94.97019,3.651194
0.1921768,6.38E+13,0.1275506,-0.00248769,-0.01453813,-2.328674,-1.606262,-0.5210876,-1.115978,1.553013,2.294406,-0.655128,1.245508,1.750346,14.0042,-87.12451,-10.51633,-1.521899,1.164839,2.869676,18.14757,94.97019,3.651194
0.2121773,6.38E+13,0.1279075,-0.002089184,-0.01474476,-2.525909,-1.59079,-0.5786438,-1.116084,1.553411,2.294804,-0.6553187,1.246447,1.750657,13.68235,-86.68875,-9.374634,-1.520643,1.167872,2.863728,17.84043,94.81541,4.11049
0.2321777,6.38E+13,0.1282392,-0.001734585,-0.01490827,-2.776154,-1.579254,-0.6500549,-1.116203,1.553766,2.295154,-0.6554008,1.24703,1.750974,13.72736,-86.33127,-8.800842,-1.521371,1.16779,2.862519,17.87346,94.62658,4.038713
0.2521782,6.38E+13,0.1285443,-0.001606227,-0.01497591,-2.980408,-1.575958,-0.6936035,-1.116371,1.553894,2.295418,-0.6554745,1.247031,1.751132,13.73191,-86.63562,-9.413574,-1.521685,1.167588,2.862054,17.95754,94.69032,3.989331
0.2721767,6.38E+13,0.1285443,-0.001606227,-0.01497591,-2.980408,-1.575958,-0.6936035,-1.116371,1.553894,2.295418,-0.6554745,1.247031,1.751132,13.73191,-86.63562,-9.413574,-1.521685,1.167588,2.862054,17.95754,94.69032,3.989331
0.2921772,6.38E+13,0.1288442,-0.001560076,-0.01503038,-3.014374,-1.613617,-0.6726379,-1.116544,1.55394,2.295669,-0.6555014,1.2474,1.751415,13.58271,-86.7807,-9.574768,-1.522617,1.167102,2.860489,18.1174,94.7346,4.077733
0.3121777,6.38E+13,0.1291347,-0.001447206,-0.01515213,-2.979187,-1.676941,-0.6778564,-1.116664,1.554053,2.29596,-0.6555562,1.247618,1.75165,13.54246,-86.79321,-9.592712,-1.523202,1.166746,2.859245,18.25068,94.78751,4.194296
0.3321781,6.38E+13,0.1291347,-0.001447206,-0.01515213,-2.979187,-1.676941,-0.6778564,-1.116664,1.554053,2.29596,-0.6555562,1.247618,1.75165,13.54246,-86.79321,-9.592712,-1.523202,1.166746,2.859245,18.25068,94.78751,4.194296
0.3521767,6.38E+13,0.1294094,-0.001453884,-0.0153256,-2.938751,-1.805084,-0.6521301,-1.116735,1.554047,2.296277,-0.6558246,1.24809,1.752259,13.49584,-86.75632,-9.569031,-1.523546,1.166601,2.858216,18.27847,94.63699,4.062183
0.3721771,6.38E+13,0.1296955,-0.00132407,-0.01548534,-3.013763,-1.941833,-0.6719666,-1.116825,1.554176,2.296592,-0.6558954,1.248546,1.752968,13.46101,-86.79138,-9.654694,-1.523854,1.166373,2.857154,18.30247,94.58608,4.107774
0.3921776,6.38E+13,0.1301161,-0.001057123,-0.01564603,-3.138275,-2.038483,-0.6867065,-1.117009,1.554443,2.297003,-0.6556458,1.24904,1.753798,13.48022,-86.99451,-10.01337,-1.522128,1.167818,2.85328,18.40297,94.72691,4.418198
0.412178,6.38E+13,0.1301161,-0.001057123,-0.01564603,-3.138275,-2.038483,-0.6867065,-1.117009,1.554443,2.297003,-0.6556458,1.24904,1.753798,13.48022,-86.99451,-10.01337,-1.522128,1.167818,2.85328,18.40297,94.72691,4.418198
0.4321766,6.38E+13,0.1305653,-0.00089048,-0.01589427,-3.189178,-2.131592,-0.7246094,-1.117151,1.55461,2.297497,-0.6554753,1.249426,1.754364,13.47505,-87.07358,-10.00925,-1.520318,1.169271,2.850224,18.6011,94.73907,4.407097
0.452177,6.38E+13,0.1311008,-0.000798487,-0.01619211,-3.309113,-2.208893,-0.7736511,-1.117319,1.554702,2.298086,-0.6552085,1.250063,1.755321,13.52328,-87.14682,-9.829315,-1.520757,1.168707,2.849521,18.68493,94.58028,4.468678
0.4721775,6.38E+13,0.1311008,-0.000798487,-0.01619211,-3.309113,-2.208893,-0.7736511,-1.117319,1.554702,2.298086,-0.6552085,1.250063,1.755321,13.52328,-87.14682,-9.829315,-1.520757,1.168707,2.849521,18.68493,94.58028,4.468678
0.492178,6.38E+13,0.1316888,-0.000776489,-0.0164602,-3.425079,-2.257141,-0.81604,-1.117545,1.554724,2.298691,-0.6552048,1.250505,1.75583,13.50774,-87.12634,-9.812561,-1.520907,1.168491,2.849034,18.6925,94.70251,4.694905
0.5121765,6.38E+13,0.1323869,-0.000714838,-0.01676632,-3.505341,-2.280426,-0.7853088,-1.117822,1.554786,2.299401,-0.6545385,1.251462,1.757084,13.30433,-87.57428,-10.15698,-1.520878,1.168293,2.848452,18.75948,94.59577,4.620676
0.532177,6.38E+13,0.1331005,-0.000672198,-0.01719798,-3.470642,-2.34079,-0.7754822,-1.118021,1.554828,2.300211,-0.6547842,1.25131,1.757288,13.4184,-87.43945,-9.927948,-1.520863,1.167891,2.847773,18.83227,94.57171,4.893407
0.5521774,6.38E+13,0.1331005,-0.000672198,-0.01719798,-3.470642,-2.34079,-0.7754822,-1.118021,1.554828,2.300211,-0.6547842,1.25131,1.757288,13.4184,-87.43945,-9.927948,-1.520863,1.167891,2.847773,18.83227,94.57171,4.893407
0.5721779,6.38E+13,0.1337004,-0.000345615,-0.01758772,-3.486023,-2.365601,-0.9136963,-1.11817,1.555155,2.300911,-0.6548617,1.251027,1.758213,13.76141,-87.242,-9.822754,-1.520832,1.167486,2.847988,18.89443,94.75375,4.989849
0.5921764,6.38E+13,0.1343504,0.000114266,-0.017917,-3.49469,-2.381866,-0.9495544,-1.118397,1.555615,2.301603,-0.6548758,1.250548,1.759237,13.66596,-87.73163,-10.67471,-1.520639,1.166841,2.848132,19.02068,94.67476,4.872229
0.6121769,6.38E+13,0.1343504,0.000114266,-0.017917,-3.49469,-2.381866,-0.9495544,-1.118397,1.555615,2.301603,-0.6548758,1.250548,1.759237,13.66596,-87.73163,-10.67471,-1.520639,1.166841,2.848132,19.02068,94.67476,4.872229
0.6321774,6.38E+13,0.134903,0.000376511,-0.01831129,-3.484894,-2.373627,-0.9739075,-1.118509,1.555877,2.302273,-0.6550576,1.250606,1.759337,13.62288,-87.68201,-10.44305,-1.520093,1.165631,2.848192,19.36312,94.86745,5.377962
0.6521778,6.38E+13,0.13549,0.000738765,-0.01887766,-3.45755,-2.350372,-1.065308,-1.118523,1.556239,2.303088,-0.655425,1.250433,1.760179,13.83842,-87.52197,-10.25464,-1.519824,1.165408,2.848559,19.38292,95.03193,5.646022
