time,realtime,posX,posY,posZ,rotX,rotY,rotZ,headPosX,headPosY,headPosZ,LhandPosX,LhandPosY,LhandPosZ,LhandRotX,LhandRotY,LhandRotZ,RhandPosX,RhandPosY,RhandPosZ,RhandRotX,RhandRotY,RhandRotZ,,,,
0.01324844,6.38E+13,0.1065879,1.50E-05,-0.003532488,-2.757446,1.907892,-2.271454,-0.7510628,1.555515,2.328199,-1.208509,1.215169,2.889702,21.06245,-98.50418,-20.56854,-0.3905946,1.154479,1.799872,16.65765,91.72047,0.1779379,,-8.8E-06,-0.000316003,-0.000286631
0.0332489,6.38E+13,0.1065967,0.000331009,-0.003245857,-2.806732,1.867826,-2.232269,-0.7508539,1.555831,2.328396,-1.209621,1.214122,2.890274,21.52214,-100.3083,-21.43713,-0.3900459,1.155072,1.801093,16.61226,91.07822,359.8501,,0,0,0
0.05324936,6.38E+13,0.1065967,0.000331009,-0.003245857,-2.806732,1.867826,-2.232269,-0.7508539,1.555831,2.328396,-1.209621,1.214122,2.890274,21.52214,-100.3083,-21.43713,-0.3900459,1.155072,1.801093,16.61226,91.07822,359.8501,,2.96E-05,-0.000152236,-0.000326501
0.07324982,6.38E+13,0.1065671,0.000483246,-0.002919356,-2.82959,1.856626,-2.166412,-0.750644,1.555983,2.328647,-1.21043,1.212982,2.890486,22.60641,-100.5262,-21.38504,-0.389265,1.15545,1.802422,17.18603,90.03269,358.9862,,5.77E-05,2.71449E-05,-0.000355414
0.09324646,6.38E+13,0.1065094,0.000456101,-0.002563942,-2.885895,1.917199,-2.101318,-0.7504334,1.555956,2.328939,-1.211436,1.212741,2.890065,22.97725,-100.309,-20.17743,-0.3886313,1.155807,1.803077,16.96895,89.98864,359.541,,-1.62E-05,8.19499E-05,-0.000386157
0.1132469,6.38E+13,0.1065256,0.000374151,-0.002177785,-2.944336,1.967337,-2.06778,-0.7501489,1.555874,2.329201,-1.21282,1.213308,2.889366,22.86127,-99.16983,-17.29651,-0.3881142,1.154981,1.802145,17.40486,90.52467,359.7498,,0,0,0
0.1332474,6.38E+13,0.1065256,0.000374151,-0.002177785,-2.944336,1.967337,-2.06778,-0.7501489,1.555874,2.329201,-1.21282,1.213308,2.889366,22.86127,-99.16983,-17.29651,-0.3881142,1.154981,1.802145,17.40486,90.52467,359.7498,,5.28E-05,0.000117753,-0.000349065
0.1532478,6.38E+13,0.1064728,0.000256398,-0.00182872,-2.97052,2.078215,-2.118591,-0.7499394,1.555757,2.329485,-1.213374,1.21408,2.88931,22.6216,-98.936,-15.668,-0.3884392,1.155075,1.802161,18.26503,90.51694,358.4954,,0.0001323,0.000248909,-0.000307694
0.1732483,6.38E+13,0.1063405,7.49E-06,-0.001521026,-2.927673,2.15757,-2.126221,-0.7498154,1.555508,2.329796,-1.212754,1.215698,2.888927,22.3032,-98.21085,-14.12659,-0.3889629,1.155383,1.8024,18.65799,90.40883,357.7626,,0,0,0
0.1932487,6.38E+13,0.1063405,7.49E-06,-0.001521026,-2.927673,2.15757,-2.126221,-0.7498154,1.555508,2.329796,-1.212754,1.215698,2.888927,22.3032,-98.21085,-14.12659,-0.3889629,1.155383,1.8024,18.65799,90.40883,357.7626,,0.0001833,0.000278658,-0.000360484
