time,realtime,posX,posY,posZ,rotX,rotY,rotZ,headPosX,headPosY,headPosZ,LhandPosX,LhandPosY,LhandPosZ,LhandRotX,LhandRotY,LhandRotZ,RhandPosX,RhandPosY,RhandPosZ,RhandRotX,RhandRotY,RhandRotZ
0.005958557,6.383482E+13,0.1252805,-0.005161552,-0.0266146,-3.667999,-0.6463013,-0.2118225,0.1252805,1.494838,0.1233854,-0.6123473,1.250868,0.1520299,18.29804,-95.73956,-19.27994,0.8645567,1.175839,0.02833821,21.43725,93.12952,3.654301
0.02595901,6.383482E+13,0.1249838,-0.005210649,-0.02633733,-3.712006,-0.6356812,-0.199585,0.1249838,1.494789,0.1236627,-0.6125866,1.250538,0.1526132,18.28073,-95.71649,-19.3374,0.8641773,1.17573,0.02782801,21.61911,93.19685,2.982661
0.04595947,6.383482E+13,0.1244792,-0.005183216,-0.02584187,-3.771942,-0.6054688,-0.1983948,0.1244792,1.494817,0.1241581,-0.6130928,1.249889,0.1537874,18.30652,-95.80115,-19.54129,0.8628843,1.175759,0.02864647,22.08377,91.97677,2.088136
0.06595993,6.383482E+13,0.1242169,-0.005195131,-0.02559063,-3.796967,-0.595459,-0.1880798,0.1242169,1.494805,0.1244094,-0.6131549,1.249833,0.1540028,18.29502,-95.79425,-19.50928,0.8621861,1.17607,0.02946547,21.88214,91.49777,2.27149
0.08596039,6.383482E+13,0.1237499,-0.005107762,-0.02495548,-3.88623,-0.5644836,-0.1355286,0.1237499,1.494892,0.1250445,-0.6135072,1.249331,0.1553306,18.28939,-95.66037,-19.47256,0.8611885,1.177667,0.03039484,20.84831,90.99862,2.001776
0.1059608,6.383482E+13,0.1235093,-0.004978917,-0.0245999,-3.935303,-0.5504761,-0.1006775,0.1235093,1.495021,0.1254001,-0.6136475,1.248961,0.1561816,18.26624,-95.5719,-19.54401,0.8609729,1.178316,0.0303968,20.75938,91.04374,1.636241
0.1259613,6.383482E+13,0.1230579,-0.004763416,-0.02394633,-4.02655,-0.5461426,-0.004599622,0.1230579,1.495237,0.1260537,-0.6138073,1.247816,0.1581833,18.15308,-95.45401,-20.01208,0.860747,1.178662,0.03056381,21.18024,91.18367,1.14679
0.1459579,6.383482E+13,0.1228308,-0.00467689,-0.02372027,-4.061523,-0.5613708,0.02490867,0.1228308,1.495323,0.1262797,-0.6137891,1.247279,0.1587764,18.1454,-95.46024,-20.24203,0.8606786,1.178148,0.03087896,21.80559,91.32029,1.328433
0.1659584,6.383482E+13,0.1226313,-0.004638307,-0.02349474,-4.074066,-0.5606384,0.03780551,0.1226313,1.495362,0.1265053,-0.61379,1.246691,0.1593535,18.18705,-95.44449,-20.46042,0.8606334,1.178041,0.03138689,21.80346,91.16791,1.63406
0.1859589,6.383482E+13,0.1222475,-0.00466823,-0.02287935,-4.070099,-0.5597839,0.07926257,0.1222475,1.495332,0.1271206,-0.6137501,1.245655,0.1603764,18.27058,-95.50171,-20.76572,0.8602337,1.177412,0.03212114,21.84213,91.46263,2.39994
0.2059593,6.383482E+13,0.1221726,-0.004674343,-0.02261322,-4.065308,-0.5681458,0.1265784,0.1221726,1.495326,0.1273868,-0.6137863,1.245505,0.1605254,18.32703,-95.45825,-20.63248,0.8601578,1.176892,0.03256537,22.20202,91.78789,3.061059
0.2259598,6.383482E+13,0.1218942,-0.004384844,-0.02211138,-4.134033,-0.552124,0.09018692,0.1218942,1.495615,0.1278886,-0.6138511,1.244949,0.1610188,18.44053,-95.50027,-20.53903,0.8596205,1.176664,0.03352967,22.21138,91.96938,4.018418
