time,realtime,posX,posY,posZ,rotX,rotY,rotZ,headPosX,headPosY,headPosZ,LhandPosX,LhandPosY,LhandPosZ,LhandRotX,LhandRotY,LhandRotZ,RhandPosX,RhandPosY,RhandPosZ,RhandRotX,RhandRotY,RhandRotZ
0.005012512,6.38E+13,0.04482602,-0.008437818,0.01749224,-3.023285,-4.832947,-0.8004761,-1.080132,1.547063,2.213262,-0.5845566,1.278353,1.696595,11.8198,-97.59784,-28.82782,-1.54262,1.230585,2.764291,13.08018,97.35043,7.215917
0.02501678,6.38E+13,0.04482602,-0.008437818,0.01749224,-3.023285,-4.832947,-0.8004761,-1.080132,1.547063,2.213262,-0.5845566,1.278353,1.696595,11.8198,-97.59784,-28.82782,-1.54262,1.230585,2.764291,13.08018,97.35043,7.215917
0.04501343,6.38E+13,0.04506976,-0.008137038,0.01849754,-3.142578,-4.869049,-0.7422791,-1.081015,1.547363,2.212723,-0.5849759,1.279458,1.696622,11.38769,-98.00464,-28.86298,-1.544589,1.23203,2.76415,12.62666,97.05434,6.860918
0.0650177,6.38E+13,0.04534359,-0.007863346,0.01930344,-3.246918,-4.919952,-0.7631836,-1.081778,1.547637,2.212347,-0.5854659,1.279964,1.696668,11.61445,-98.53998,-28.19769,-1.546365,1.233041,2.764033,12.46833,97.07623,6.521438
0.08501434,6.38E+13,0.0455603,-0.00782686,0.01995705,-3.278564,-4.954468,-0.7913818,-1.082394,1.547674,2.212038,-0.5866722,1.279422,1.696602,12.43808,-98.4534,-27.03467,-1.548065,1.233237,2.763814,12.35293,97.5348,7.1333
0.1050186,6.38E+13,0.0455603,-0.00782686,0.01995705,-3.278564,-4.954468,-0.7913818,-1.082394,1.547674,2.212038,-0.5866722,1.279422,1.696602,12.43808,-98.4534,-27.03467,-1.548065,1.233237,2.763814,12.35293,97.5348,7.1333
0.1250153,6.38E+13,0.04592947,-0.007776782,0.02057659,-3.249664,-5.001465,-0.7442017,-1.083093,1.547724,2.211861,-0.5883799,1.278279,1.696392,13.02406,-98.41644,-26.96402,-1.550083,1.232395,2.763757,12.76644,97.955,7.76866
0.1450119,6.38E+13,0.04640524,-0.007734133,0.02119653,-3.28064,-5.01004,-0.7173462,-1.083868,1.547766,2.211759,-0.5820068,1.273218,1.689355,12.57894,-98.47565,-27.75891,-1.551574,1.231405,2.76314,13.33452,97.07156,7.050788
0.1650162,6.38E+13,0.04640524,-0.007734133,0.02119653,-3.28064,-5.01004,-0.7173462,-1.083868,1.547766,2.211759,-0.5820068,1.273218,1.689355,12.57894,-98.47565,-27.75891,-1.551574,1.231405,2.76314,13.33452,97.07156,7.050788
0.1850128,6.38E+13,0.04689314,-0.007673087,0.02167311,-3.299622,-4.969147,-0.6976929,-1.08455,1.547827,2.211767,-0.580347,1.268829,1.685046,12.60243,-98.4353,-28.24695,-1.552658,1.230817,2.762361,13.52424,96.95154,6.989655
0.2050171,6.38E+13,0.04749395,-0.007539259,0.02208093,-3.303741,-4.896057,-0.5914307,-1.085263,1.547961,2.211904,-0.5832553,1.266267,1.684627,13.2563,-98.15109,-28.21524,-1.553966,1.230251,2.761381,13.26378,96.55858,6.827395
0.2250137,6.38E+13,0.04827826,-0.007161133,0.02226937,-3.265472,-4.85257,-0.5154419,-1.085951,1.548339,2.212325,-0.5855992,1.264243,1.68408,13.45497,-97.67953,-28.1622,-1.555801,1.228553,2.76078,13.54504,96.13401,6.73315
0.245018,6.38E+13,0.04827826,-0.007161133,0.02226937,-3.265472,-4.85257,-0.5154419,-1.085951,1.548339,2.212325,-0.5855992,1.264243,1.68408,13.45497,-97.67953,-28.1622,-1.555801,1.228553,2.76078,13.54504,96.13401,6.73315
0.2650146,6.38E+13,0.04901845,-0.006826465,0.02253913,-3.26474,-4.803558,-0.5096436,-1.086665,1.548674,2.212658,-0.5879019,1.26165,1.683865,14.0687,-97.36908,-28.3064,-1.557231,1.226323,2.760657,13.74398,95.74696,7.093819
0.2850189,6.38E+13,0.04982401,-0.006499258,0.02277295,-3.263092,-4.788452,-0.5570374,-1.0874,1.549001,2.213062,-0.5903949,1.258686,1.683539,14.87994,-96.73398,-28.56949,-1.558026,1.223875,2.760915,13.9596,95.84821,7.747989
0.3050156,6.38E+13,0.04982401,-0.006499258,0.02277295,-3.263092,-4.788452,-0.5570374,-1.0874,1.549001,2.213062,-0.5903949,1.258686,1.683539,14.87994,-96.73398,-28.56949,-1.558026,1.223875,2.760915,13.9596,95.84821,7.747989
0.3250122,6.38E+13,0.05066308,-0.006218939,0.02291925,-3.327057,-4.730774,-0.6988525,-1.088097,1.549281,2.213552,-0.5927538,1.255642,1.683122,15.50146,-96.28314,-29.68539,-1.558757,1.220946,2.761469,14.22606,96.01215,8.993116
0.3450165,6.38E+13,0.05141238,-0.005734204,0.02299128,-3.418671,-4.610077,-0.8894958,-1.088677,1.549766,2.214031,-0.5943294,1.253914,1.682648,14.84149,-96.67154,-31.91681,-1.558933,1.218634,2.762074,14.3753,95.75895,9.415751
0.3650131,6.38E+13,0.05216351,-0.005526393,0.02309903,-3.497894,-4.50766,-0.9075928,-1.089285,1.549974,2.214486,-0.5950471,1.253676,1.68234,14.34961,-97.2627,-32.37344,-1.558668,1.216635,2.762959,14.74881,95.63982,9.473527
0.3850174,6.38E+13,0.05216351,-0.005526393,0.02309903,-3.497894,-4.50766,-0.9075928,-1.089285,1.549974,2.214486,-0.5950471,1.253676,1.68234,14.34961,-97.2627,-32.37344,-1.558668,1.216635,2.762959,14.74881,95.63982,9.473527
0.405014,6.38E+13,0.05282418,-0.005927303,0.02323117,-3.575714,-4.380493,-0.9110107,-1.089845,1.549573,2.214859,-0.5949613,1.25473,1.68229,14.82988,-97.0744,-31.08975,-1.558371,1.214895,2.764323,14.84228,95.43176,9.975317
0.4250183,6.38E+13,0.05335159,-0.005699843,0.02349892,-3.696655,-4.276489,-0.9044189,-1.090408,1.549801,2.215043,-0.5973455,1.25514,1.681569,15.22904,-96.74268,-30.19202,-1.557848,1.213333,2.766682,14.78933,96.13088,10.54992
0.445015,6.38E+13,0.05335159,-0.005699843,0.02349892,-3.696655,-4.276489,-0.9044189,-1.090408,1.549801,2.215043,-0.5973455,1.25514,1.681569,15.22904,-96.74268,-30.19202,-1.557848,1.213333,2.766682,14.78933,96.13088,10.54992
0.4650116,6.38E+13,0.0537153,-0.005536869,0.023763,-3.752808,-4.218903,-0.8444214,-1.090851,1.549963,2.215113,-0.5990256,1.256588,1.682706,14.78117,-96.86664,-30.3652,-1.556684,1.21223,2.768456,14.82222,96.74977,10.39871
0.4850159,6.38E+13,0.05406658,-0.005333585,0.02388121,-3.684418,-4.245697,-0.8399658,-1.091183,1.550167,2.215278,-0.6006089,1.256891,1.682663,14.62661,-96.85791,-30.46484,-1.556568,1.2114,2.769331,14.88641,96.58447,10.257
0.5050125,6.38E+13,0.05418085,-0.005226495,0.02395012,-3.524017,-4.308044,-0.9271545,-1.091313,1.550274,2.21531,-0.6045814,1.256326,1.681871,14.91333,-96.19647,-31.05533,-1.555598,1.208491,2.770894,14.97359,97.11101,11.1554
0.5250168,6.38E+13,0.05418085,-0.005226495,0.02395012,-3.524017,-4.308044,-0.9271545,-1.091313,1.550274,2.21531,-0.6045814,1.256326,1.681871,14.91333,-96.19647,-31.05533,-1.555598,1.208491,2.770894,14.97359,97.11101,11.1554
0.5450134,6.38E+13,0.0542415,-0.005254992,0.02383331,-3.422913,-4.303162,-1.000732,-1.091273,1.550245,2.215436,-0.6063778,1.25564,1.680825,14.8364,-95.67548,-32.35812,-1.554953,1.20621,2.771264,14.78477,97.73285,12.09822
0.5650177,6.38E+13,0.0543301,-0.005216074,0.02367102,-3.439392,-4.268951,-0.9376526,-1.091221,1.550284,2.215613,-0.6075924,1.255388,1.679814,14.60472,-95.30774,-33.07608,-1.554448,1.203993,2.771388,15.23356,97.69745,12.45666
0.5850143,6.38E+13,0.0543301,-0.005216074,0.02367102,-3.439392,-4.268951,-0.9376526,-1.091221,1.550284,2.215613,-0.6075924,1.255388,1.679814,14.60472,-95.30774,-33.07608,-1.554448,1.203993,2.771388,15.23356,97.69745,12.45666
0.6050186,6.38E+13,0.05433407,-0.004970055,0.02348345,-3.498077,-4.252106,-0.8736877,-1.091091,1.55053,2.215749,-0.6087968,1.255769,1.679589,14.46816,-94.96829,-32.81152,-1.554286,1.20225,2.77152,15.3845,97.57843,12.67392
0.6250153,6.38E+13,0.05432676,-0.004645641,0.0232455,-3.558929,-4.199615,-0.8351746,-1.090918,1.550855,2.215912,-0.6083462,1.256043,1.679798,14.6576,-95.21854,-32.02081,-1.55391,1.20088,2.771481,15.36225,97.57581,12.97885
0.6450119,6.38E+13,0.05433294,-0.004563797,0.02288622,-3.544373,-4.188629,-0.8457336,-1.090668,1.550937,2.21617,-0.6092774,1.255962,1.679784,15.1011,-95.2207,-31.24338,-1.553849,1.200352,2.771839,15.43664,97.66557,12.81861
0.6650162,6.38E+13,0.05433294,-0.004563797,0.02288622,-3.544373,-4.188629,-0.8457336,-1.090668,1.550937,2.21617,-0.6092774,1.255962,1.679784,15.1011,-95.2207,-31.24338,-1.553849,1.200352,2.771839,15.43664,97.66557,12.81861
0.6850128,6.38E+13,0.05434263,-0.004628287,0.02248789,-3.522247,-4.14917,-0.8952637,-1.090393,1.550872,2.216459,-0.6085119,1.25601,1.680158,14.93162,-95.29486,-31.78992,-1.553647,1.199536,2.771862,15.4701,97.6004,12.77113
0.7050171,6.38E+13,0.05434233,-0.004570329,0.02199613,-3.556366,-4.112732,-0.8677368,-1.090045,1.55093,2.216806,-0.6092877,1.255772,1.680378,14.71663,-95.37976,-32.32706,-1.55283,1.196866,2.771133,15.66464,97.30477,13.28212
0.7250137,6.38E+13,0.05428373,-0.00449444,0.02140111,-3.584045,-4.078003,-0.8757324,-1.089583,1.551006,2.217185,-0.6096151,1.25558,1.680413,14.78514,-95.24902,-32.20078,-1.552312,1.195417,2.771277,15.69948,97.47598,13.73986
0.745018,6.38E+13,0.05428373,-0.00449444,0.02140111,-3.584045,-4.078003,-0.8757324,-1.089583,1.551006,2.217185,-0.6096151,1.25558,1.680413,14.78514,-95.24902,-32.20078,-1.552312,1.195417,2.771277,15.69948,97.47598,13.73986
0.7650146,6.38E+13,0.05408874,-0.004826336,0.02042577,-3.547607,-4.055389,-0.8992004,-1.088756,1.550674,2.217737,-0.6104629,1.254996,1.680725,14.9305,-95.00867,-32.27866,-1.551718,1.194857,2.771266,15.73129,97.46066,13.82043
0.7850189,6.38E+13,0.05391329,-0.004805621,0.01973532,-3.549286,-4.072296,-0.8857422,-1.088143,1.550695,2.218101,-0.6110492,1.254443,1.681137,14.90111,-94.79819,-32.75717,-1.55116,1.19387,2.771699,15.77716,97.36865,14.07245
0.8050156,6.38E+13,0.05391329,-0.004805621,0.01973532,-3.549286,-4.072296,-0.8857422,-1.088143,1.550695,2.218101,-0.6110492,1.254443,1.681137,14.90111,-94.79819,-32.75717,-1.55116,1.19387,2.771699,15.77716,97.36865,14.07245
0.8250122,6.38E+13,0.05383692,-0.004564581,0.01928284,-3.718872,-4.184296,-0.690094,-1.08777,1.550936,2.218367,-0.610899,1.254256,1.681691,14.88864,-94.70337,-33.17908,-1.550797,1.193527,2.772363,15.69198,97.50977,14.16459
0.8450165,6.38E+13,0.05371874,-0.00469722,0.01858871,-3.849426,-4.264771,-0.5039673,-1.087195,1.550803,2.218775,-0.6111449,1.253961,1.682516,15.13695,-94.37457,-33.59647,-1.5504,1.193043,2.772811,15.69361,97.46713,14.15874
0.8650131,6.38E+13,0.05365745,-0.004717316,0.01793839,-3.896637,-4.334106,-0.3770142,-1.086692,1.550783,2.219191,-0.6113732,1.253866,1.683162,15.25157,-93.92783,-34.22504,-1.549134,1.191429,2.773291,15.70704,97.36085,14.80825
0.8850174,6.38E+13,0.05365745,-0.004717316,0.01793839,-3.896637,-4.334106,-0.3770142,-1.086692,1.550783,2.219191,-0.6113732,1.253866,1.683162,15.25157,-93.92783,-34.22504,-1.549134,1.191429,2.773291,15.70704,97.36085,14.80825
0.905014,6.38E+13,0.05359545,-0.004468583,0.01745504,-3.977417,-4.362915,-0.3549805,-1.086306,1.551032,2.219489,-0.6110827,1.254433,1.683766,14.81272,-94.05249,-34.97968,-1.548381,1.190182,2.774048,15.58756,97.69341,15.77873
0.9250183,6.38E+13,0.05350657,-0.004434059,0.01695852,-3.990387,-4.413452,-0.3869019,-1.085892,1.551066,2.219777,-0.6103114,1.255558,1.684469,14.3301,-94.31876,-34.88391,-1.547407,1.189349,2.774532,15.38764,97.66875,15.99864
0.945015,6.38E+13,0.05350657,-0.004434059,0.01695852,-3.990387,-4.413452,-0.3869019,-1.085892,1.551066,2.219777,-0.6103114,1.255558,1.684469,14.3301,-94.31876,-34.88391,-1.547407,1.189349,2.774532,15.38764,97.66875,15.99864
0.9650116,6.38E+13,0.05351065,-0.00446735,0.01660053,-3.999268,-4.487396,-0.3939514,-1.085642,1.551033,2.220033,-0.6103352,1.255541,1.684256,14.69005,-94.36798,-34.39825,-1.547308,1.189,2.774898,15.72894,97.62093,15.64775
0.9850159,6.38E+13,0.05351094,-0.004674419,0.01628945,-3.992859,-4.562469,-0.4305115,-1.085422,1.550826,2.220253,-0.6098945,1.256155,1.684913,14.72882,-94.35165,-34.3425,-1.546395,1.187881,2.776001,15.76331,97.99303,15.88613
1.005013,6.38E+13,0.05360236,-0.004666315,0.01599178,-3.972717,-4.624603,-0.4876404,-1.085276,1.550834,2.220529,-0.6086721,1.257677,1.686681,14.29822,-94.64658,-34.5751,-1.546263,1.187475,2.776453,15.75006,97.97388,15.78887
1.025017,6.38E+13,0.05360236,-0.004666315,0.01599178,-3.972717,-4.624603,-0.4876404,-1.085276,1.550834,2.220529,-0.6086721,1.257677,1.686681,14.29822,-94.64658,-34.5751,-1.546263,1.187475,2.776453,15.75006,97.97388,15.78887
1.045013,6.38E+13,0.05370944,-0.004800977,0.01570301,-3.809479,-4.719543,-0.5903931,-1.085148,1.550699,2.220809,-0.6088706,1.257511,1.686959,14.41618,-94.53192,-34.56543,-1.545723,1.186621,2.776819,15.85204,97.95678,15.83732
1.065018,6.38E+13,0.05384931,-0.005089514,0.01535926,-3.648682,-4.76709,-0.7008972,-1.085004,1.550411,2.22115,-0.6084101,1.257847,1.688357,14.59135,-94.3855,-34.80716,-1.545151,1.185678,2.776995,15.88677,97.9988,16.02351
1.085014,6.38E+13,0.05384931,-0.005089514,0.01535926,-3.648682,-4.76709,-0.7008972,-1.085004,1.550411,2.22115,-0.6084101,1.257847,1.688357,14.59135,-94.3855,-34.80716,-1.545151,1.185678,2.776995,15.88677,97.9988,16.02351
1.105019,6.38E+13,0.05407518,-0.005322427,0.01509679,-3.557007,-4.768707,-0.7927246,-1.084978,1.550178,2.221496,-0.6077775,1.258408,1.689448,14.29587,-94.51996,-35.13864,-1.544912,1.184909,2.777134,15.94519,97.91728,15.94364
1.125015,6.38E+13,0.05438413,-0.005410808,0.01486879,-3.51001,-4.718414,-0.8934631,-1.085035,1.55009,2.221875,-0.6077185,1.258415,1.689613,14.35372,-94.51581,-34.93768,-1.544419,1.183631,2.776959,16.11087,97.93711,15.93228
1.145012,6.38E+13,0.05463693,-0.005501206,0.0145435,-3.413635,-4.637238,-0.9674072,-1.084984,1.549999,2.222284,-0.6069063,1.258779,1.690891,14.44897,-94.6366,-34.96368,-1.54407,1.182145,2.776111,16.23578,97.86849,16.23558
1.165016,6.38E+13,0.05463693,-0.005501206,0.0145435,-3.413635,-4.637238,-0.9674072,-1.084984,1.549999,2.222284,-0.6069063,1.258779,1.690891,14.44897,-94.6366,-34.96368,-1.54407,1.182145,2.776111,16.23578,97.86849,16.23558
1.185013,6.38E+13,0.05484083,-0.005393079,0.01427946,-3.430634,-4.610748,-0.9593201,-1.084942,1.550107,2.222615,-0.6062918,1.25926,1.691983,14.30604,-94.80588,-35.01349,-1.544102,1.180405,2.775058,16.37572,97.63406,16.61566
