time,realtime,posX,posY,posZ,rotX,rotY,rotZ,headPosX,headPosY,headPosZ,LhandPosX,LhandPosY,LhandPosZ,LhandRotX,LhandRotY,LhandRotZ,RhandPosX,RhandPosY,RhandPosZ,RhandRotX,RhandRotY,RhandRotZ
0.006641388,6.383482E+13,0.02403941,-0.0039569,0.08378085,-1.645294,100.885,-0.1505432,-1.127014,1.596043,2.171872,-1.737329,1.183562,1.90966,15.88332,11.14654,-1.890045,-0.4800601,1.148968,2.38687,11.93381,-163.2335,13.59944
0.02664185,6.383482E+13,0.02403941,-0.0039569,0.08378085,-1.645294,100.885,-0.1505432,-1.127014,1.596043,2.171872,-1.737329,1.183562,1.90966,15.88332,11.14654,-1.890045,-0.4800601,1.148968,2.38687,11.93381,-163.2335,13.59944
0.0466423,6.383482E+13,0.02437933,-0.003782607,0.08353357,-1.773621,100.9461,-0.1080017,-1.127035,1.596217,2.172292,-1.737595,1.183223,1.910473,15.93114,11.23018,-1.912781,-0.4787666,1.152269,2.386613,11.10507,-163.3891,11.86987
0.06664276,6.383482E+13,0.02480141,-0.003723387,0.0831788,-1.870178,100.9718,-0.03250122,-1.127024,1.596277,2.172843,-1.737942,1.182974,1.911731,15.9317,11.16082,-2.077667,-0.4760962,1.153862,2.386302,11.93092,-162.8388,10.46338
0.0866394,6.383482E+13,0.02518908,-0.003781649,0.08279134,-1.976715,101.0022,-0.06234741,-1.126966,1.596218,2.173388,-1.738276,1.182737,1.913419,15.86943,11.4214,-1.853119,-0.4740053,1.154824,2.386669,12.29107,-162.4578,10.73614
0.1066399,6.383482E+13,0.02518908,-0.003781649,0.08279134,-1.976715,101.0022,-0.06234741,-1.126966,1.596218,2.173388,-1.738276,1.182737,1.913419,15.86943,11.4214,-1.853119,-0.4740053,1.154824,2.386669,12.29107,-162.4578,10.73614
0.1266403,6.383482E+13,0.02563989,-0.003875924,0.08238544,-1.994629,101.077,-0.1178589,-1.126933,1.596124,2.173994,-1.738951,1.182624,1.91501,15.8756,11.51882,-2.09668,-0.4724482,1.155401,2.386837,12.81384,-162.0983,10.94951
0.1466408,6.383482E+13,0.02608788,-0.003793393,0.08200331,-1.998627,101.1654,-0.1720276,-1.126917,1.596207,2.174582,-1.739737,1.182829,1.91732,15.75044,11.43977,-2.556641,-0.4714856,1.156432,2.386641,12.77668,-161.8735,10.80464
0.1666412,6.383482E+13,0.02608788,-0.003793393,0.08200331,-1.998627,101.1654,-0.1720276,-1.126917,1.596207,2.174582,-1.739737,1.182829,1.91732,15.75044,11.43977,-2.556641,-0.4714856,1.156432,2.386641,12.77668,-161.8735,10.80464
0.1866417,6.383482E+13,0.02647183,-0.004017851,0.0816655,-2.029755,101.2517,-0.1728821,-1.126896,1.595982,2.175093,-1.739924,1.183022,1.91884,15.6428,11.73861,-2.473297,-0.470908,1.157015,2.386699,12.67982,-161.6767,11.3136
0.2066422,6.383482E+13,0.02679187,-0.003947042,0.08136351,-2.099609,101.2999,-0.1893616,-1.126862,1.596053,2.175532,-1.740684,1.183245,1.921632,15.43115,11.93411,-2.982391,-0.4701123,1.158056,2.386536,11.76873,-160.7051,12.62268
0.2266426,6.383482E+13,0.02679187,-0.003947042,0.08136351,-2.099609,101.2999,-0.1893616,-1.126862,1.596053,2.175532,-1.740684,1.183245,1.921632,15.43115,11.93411,-2.982391,-0.4701123,1.158056,2.386536,11.76873,-160.7051,12.62268
0.2466393,6.383482E+13,0.02728518,-0.003935399,0.08108919,-2.194824,101.3489,-0.1824341,-1.126958,1.596065,2.176088,-1.741289,1.183189,1.923412,15.36843,11.91192,-3.521545,-0.4700364,1.158038,2.386553,12.07928,-160.8397,12.15407
0.2666397,6.383482E+13,0.02770038,-0.004003465,0.0809309,-2.181396,101.4187,-0.1271667,-1.127096,1.595997,2.17651,-1.74159,1.18285,1.925287,15.31974,12.18259,-3.875488,-0.4687063,1.1566,2.387065,12.18658,-161.1207,11.75716
0.2866402,6.383482E+13,0.02804971,-0.003937739,0.08076154,-2.145294,101.4844,0.01552544,-1.127183,1.596062,2.176888,-1.741594,1.182688,1.927025,15.1859,12.17543,-4.305969,-0.465528,1.154295,2.388271,12.21856,-161.2979,11.93547
0.3066406,6.383482E+13,0.02833679,-0.003924759,0.08059718,-2.106964,101.5258,0.08049657,-1.127236,1.596075,2.177215,-1.74132,1.182634,1.927676,15.11239,12.27881,-4.019165,-0.4657146,1.153259,2.389155,12.30423,-161.6219,12.54774
0.3266411,6.383482E+13,0.02833679,-0.003924759,0.08059718,-2.106964,101.5258,0.08049657,-1.127236,1.596075,2.177215,-1.74132,1.182634,1.927676,15.11239,12.27881,-4.019165,-0.4657146,1.153259,2.389155,12.30423,-161.6219,12.54774
0.3466415,6.383482E+13,0.02858555,-0.003887991,0.08047837,-2.117554,101.5138,0.1321441,-1.1273,1.596112,2.177483,-1.741,1.182194,1.929496,15.10773,12.75271,-3.703064,-0.4659716,1.152269,2.389296,12.31166,-161.4638,12.78358
0.366642,6.383482E+13,0.02879459,-0.003727072,0.08025255,-2.128021,101.481,0.1592186,-1.127255,1.596273,2.177788,-1.740842,1.181593,1.930587,15.04266,12.6982,-4.035431,-0.4664674,1.15056,2.389712,12.71442,-161.6068,12.93633
0.3866425,6.383482E+13,0.02879459,-0.003727072,0.08025255,-2.128021,101.481,0.1592186,-1.127255,1.596273,2.177788,-1.740842,1.181593,1.930587,15.04266,12.6982,-4.035431,-0.4664674,1.15056,2.389712,12.71442,-161.6068,12.93633
0.4066391,6.383482E+13,0.0289048,-0.003631711,0.08004159,-2.123779,101.4397,0.09553356,-1.12716,1.596368,2.178006,-1.740694,1.180388,1.932083,15.33596,12.85435,-4.20993,-0.4672438,1.148305,2.390476,13.16357,-161.9625,13.61343
0.4266396,6.383482E+13,0.0289986,-0.0035301,0.07977425,-2.139099,101.3967,-0.02606201,-1.127011,1.59647,2.178247,-1.74052,1.179033,1.933681,15.46856,12.97275,-4.802826,-0.4680264,1.146746,2.390722,13.14419,-161.807,14.07923
0.44664,6.383482E+13,0.0289986,-0.0035301,0.07977425,-2.139099,101.3967,-0.02606201,-1.127011,1.59647,2.178247,-1.74052,1.179033,1.933681,15.46856,12.97275,-4.802826,-0.4680264,1.146746,2.390722,13.14419,-161.807,14.07923
0.4666405,6.383482E+13,0.02911691,-0.003474988,0.07945917,-2.227905,101.4266,-0.09790039,-1.12684,1.596525,2.178537,-1.740575,1.178272,1.934542,15.42934,12.91679,-5.403229,-0.4689057,1.145184,2.391006,13.596,-162.1669,13.89235
0.4866409,6.383482E+13,0.02928243,-0.003438821,0.07910068,-2.367462,101.5468,-0.1506653,-1.126665,1.596561,2.178891,-1.740958,1.17758,1.934967,15.5603,12.91177,-5.685913,-0.4695477,1.143899,2.391458,13.59712,-162.2451,14.63144
0.5066414,6.383482E+13,0.02951466,-0.003422291,0.07875571,-2.449371,101.662,-0.1529846,-1.126543,1.596578,2.179288,-1.741232,1.17781,1.93468,15.5678,12.758,-5.546265,-0.4700609,1.143001,2.391523,13.44738,-162.2688,14.99532
0.5266418,6.383482E+13,0.02951466,-0.003422291,0.07875571,-2.449371,101.662,-0.1529846,-1.126543,1.596578,2.179288,-1.741232,1.17781,1.93468,15.5678,12.758,-5.546265,-0.4700609,1.143001,2.391523,13.44738,-162.2688,14.99532
0.5466423,6.383482E+13,0.02978286,-0.003490733,0.07850887,-2.461639,101.7691,-0.1621094,-1.126519,1.596509,2.179652,-1.741412,1.177852,1.934759,15.65249,12.73252,-5.372894,-0.4702277,1.142378,2.391435,13.60774,-162.4097,14.96993
0.5666428,6.383482E+13,0.03009245,-0.003507452,0.07838941,-2.437042,101.8119,-0.2226868,-1.126621,1.596493,2.179968,-1.741656,1.177904,1.935169,15.58209,12.78949,-5.353912,-0.4703731,1.141609,2.391303,13.60824,-162.3611,15.35001
0.5866394,6.383482E+13,0.03043979,-0.003544766,0.07848193,-2.399689,101.827,-0.3075867,-1.126911,1.596455,2.18018,-1.742141,1.178293,1.936033,15.33997,12.87532,-5.537567,-0.4703755,1.141168,2.391087,13.60386,-162.2253,15.66466
0.6066399,6.383482E+13,0.03043979,-0.003544766,0.07848193,-2.399689,101.827,-0.3075867,-1.126911,1.596455,2.18018,-1.742141,1.178293,1.936033,15.33997,12.87532,-5.537567,-0.4703755,1.141168,2.391087,13.60386,-162.2253,15.66466
0.6266403,6.383482E+13,0.0307594,-0.003524449,0.07867967,-2.404968,101.8037,-0.2921448,-1.127265,1.596476,2.180305,-1.742482,1.178537,1.936312,15.37641,12.93244,-5.454041,-0.4702075,1.141518,2.390965,13.61683,-162.2795,15.41418
