time,realtime,posX,posY,posZ,rotX,rotY,rotZ,headPosX,headPosY,headPosZ,LhandPosX,LhandPosY,LhandPosZ,LhandRotX,LhandRotY,LhandRotZ,RhandPosX,RhandPosY,RhandPosZ,RhandRotX,RhandRotY,RhandRotZ
0.01779556,6.38E+13,0.03740521,0.002066087,-0.002298587,-3.15033,-0.3939209,-0.2394104,-0.7991099,1.557566,2.377991,-1.245303,1.182595,2.91423,13.93391,-92.68915,-22.09119,-0.4270688,1.112521,1.796144,18.70224,100.7015,3.963164
0.03779602,6.38E+13,0.03755822,0.001516236,-0.001944226,-3.129517,-0.4060364,-0.2326355,-0.7987511,1.557016,2.378134,-1.245669,1.183216,2.914375,13.72863,-92.8045,-22.22455,-0.4270114,1.113711,1.795525,18.55545,100.6893,3.053916
0.05779648,6.38E+13,0.03770766,0.001153092,-0.001566331,-3.125275,-0.4141541,-0.3034363,-0.7983782,1.556653,2.378295,-1.245804,1.183886,2.91455,13.63445,-92.86722,-22.32245,-0.4266163,1.114697,1.794906,18.40762,101.1362,2.590691
0.07779694,6.38E+13,0.03770766,0.001153092,-0.001566331,-3.125275,-0.4141541,-0.3034363,-0.7983782,1.556653,2.378295,-1.245804,1.183886,2.91455,13.63445,-92.86722,-22.32245,-0.4266163,1.114697,1.794906,18.40762,101.1362,2.590691
0.09779739,6.38E+13,0.03781085,0.000955728,-0.001267396,-3.035828,-0.3829346,-0.4378052,-0.7980939,1.556456,2.378433,-1.245838,1.184983,2.914991,13.48028,-92.82587,-22.4119,-0.4262655,1.114793,1.794356,18.48417,101.5511,2.888427
0.1177979,6.38E+13,0.03785674,0.001088393,-0.000981302,-3.016052,-0.3519592,-0.5572815,-0.7978591,1.556588,2.378603,-1.24578,1.186425,2.915546,13.20098,-92.86951,-22.34341,-0.4253203,1.114251,1.794194,19.4775,101.2119,2.937546
0.1377983,6.38E+13,0.03785674,0.001088393,-0.000981302,-3.016052,-0.3519592,-0.5572815,-0.7978591,1.556588,2.378603,-1.24578,1.186425,2.915546,13.20098,-92.86951,-22.34341,-0.4253203,1.114251,1.794194,19.4775,101.2119,2.937546
0.157795,6.38E+13,0.03788353,0.001273862,-0.000698693,-3.021759,-0.3473816,-0.5787354,-0.7976403,1.556774,2.378784,-1.245499,1.187064,2.91573,13.23582,-92.7775,-22.26373,-0.4254468,1.114537,1.794474,19.08026,101.0227,2.889349
0.1777954,6.38E+13,0.03786368,0.001410057,-0.000458793,-3.024963,-0.3486633,-0.530304,-0.7974848,1.55691,2.378968,-1.244992,1.18833,2.916272,13.01223,-92.67953,-22.3912,-0.4251782,1.11488,1.7946,18.95382,101.137,3.095314
0.1977959,6.38E+13,0.03781034,0.001660489,-0.000270259,-3.083099,-0.3908691,-0.3963013,-0.7973891,1.557161,2.379139,-1.244212,1.189686,2.91669,12.61297,-92.52948,-22.23499,-0.4248217,1.115144,1.794976,18.92687,100.9278,2.896399
