time,realtime,posX,posY,posZ,rotX,rotY,rotZ,headPosX,headPosY,headPosZ,LhandPosX,LhandPosY,LhandPosZ,LhandRotX,LhandRotY,LhandRotZ,RhandPosX,RhandPosY,RhandPosZ,RhandRotX,RhandRotY,RhandRotZ
0.003940582,6.383482E+13,0.1456019,-0.01467299,0.09045403,-1.027802,0.9749786,-1.999451,0.1456019,1.485327,0.240454,-0.6014429,1.260516,0.2900547,14.05112,-91.43027,1.05949,0.8646249,1.163517,0.1020717,11.71739,93.9013,356.3736
0.02394104,6.383482E+13,0.1457671,-0.01455438,0.09020881,-1.095306,0.9572606,-1.983582,0.1457671,1.485446,0.2402088,-0.6013736,1.260751,0.2899001,14.13186,-91.4437,1.056087,0.8644044,1.162791,0.1029046,11.28693,93.39125,356.5095
0.0439415,6.383482E+13,0.1460665,-0.01418741,0.08972844,-1.258392,0.9138265,-1.960358,0.1460665,1.485813,0.2397285,-0.6011375,1.261275,0.2895115,14.1045,-91.22354,1.203326,0.8642971,1.161484,0.1037641,11.49362,92.18557,354.8661
0.06394196,6.383482E+13,0.1461969,-0.01406325,0.08947642,-1.308441,0.8824028,-1.949127,0.1461969,1.485937,0.2394764,-0.6010221,1.261568,0.2893291,13.98983,-91.20905,1.15363,0.8644819,1.160562,0.1039913,11.93306,91.93027,354.2133
0.08394241,6.383482E+13,0.1463064,-0.01393626,0.08921992,-1.347321,0.8547621,-1.959625,0.1463064,1.486064,0.2392199,-0.6008634,1.261995,0.2890029,13.83784,-91.24814,1.028836,0.8647659,1.159474,0.1040354,12.3532,91.93723,353.7273
0.1039391,6.383482E+13,0.1466213,-0.01396446,0.08865531,-1.360138,0.7677474,-1.961731,0.1466213,1.486036,0.2386553,-0.6006188,1.262582,0.2884226,13.64629,-91.4267,0.7588686,0.8656707,1.157005,0.1042282,13.30278,91.84119,353.2975
0.1239395,6.383482E+13,0.1467075,-0.01382854,0.08841737,-1.351074,0.6983602,-1.943512,0.1467075,1.486171,0.2384174,-0.6005842,1.262712,0.2882294,13.67548,-91.39948,0.7276073,0.8663156,1.15544,0.1041114,13.88807,92.17627,353.6235
0.14394,6.383482E+13,0.1469376,-0.01354699,0.08797818,-1.414307,0.5267829,-1.994415,0.1469376,1.486453,0.2379782,-0.6005623,1.262984,0.2878809,13.70036,-91.37622,0.7655715,0.8664967,1.153413,0.1035454,13.84839,92.51186,353.503
0.1639404,6.383482E+13,0.1470366,-0.01340478,0.08779482,-1.455109,0.464218,-2.014893,0.1470366,1.486595,0.2377948,-0.6004927,1.263134,0.2876211,13.69921,-91.38586,0.7808878,0.8664758,1.152285,0.1034306,14.08547,92.31952,353.3164
0.1839409,6.383482E+13,0.1471635,-0.01316301,0.08742945,-1.449799,0.3190158,-2.079071,0.1471635,1.486837,0.2374295,-0.6002298,1.263884,0.286325,13.55107,-91.3909,0.7170436,0.8665278,1.150191,0.1031947,14.12044,92.58118,353.6306
0.2039413,6.383482E+13,0.1472388,-0.01298681,0.08720858,-1.44809,0.2313066,-2.078796,0.1472388,1.487013,0.2372086,-0.6001835,1.264671,0.2851548,13.27576,-91.53903,0.2853824,0.8666159,1.149247,0.1029901,14.05719,92.89151,353.9796
0.2239418,6.383482E+13,0.1474323,-0.0125965,0.08678927,-1.512115,0.09706308,-2.09787,0.1474323,1.487404,0.2367893,-0.6003546,1.265485,0.2839434,13.14104,-91.75046,-0.1427002,0.8670204,1.147531,0.1024735,14.08703,93.5667,354.7375
0.2439423,6.383482E+13,0.1475058,-0.01244404,0.08663787,-1.565735,0.04642052,-2.112671,0.1475058,1.487556,0.2366379,-0.6003566,1.265562,0.2836357,13.19436,-91.66998,0.02827376,0.8671545,1.14668,0.1022357,14.18758,93.73754,354.9406
0.2639389,6.383482E+13,0.1475918,-0.01231069,0.08648859,-1.612579,-0.001816372,-2.115356,0.1475918,1.487689,0.2364886,-0.6003596,1.265494,0.2835056,13.2361,-91.58453,0.2126381,0.8671372,1.145854,0.1019825,14.27689,93.72958,354.9409
0.2839394,6.383482E+13,0.1477244,-0.01205542,0.08620483,-1.689789,-0.1111145,-2.131622,0.1477244,1.487945,0.2362048,-0.6007288,1.266269,0.2814778,13.09205,-91.68027,0.1680587,0.8669119,1.144434,0.1016068,14.22481,93.76492,354.9689
0.3039398,6.383482E+13,0.147766,-0.01195331,0.08606978,-1.715698,-0.1630859,-2.133209,0.147766,1.488047,0.2360698,-0.6012342,1.267031,0.2797214,12.98313,-92.05637,-0.1123352,0.8667525,1.143967,0.1015953,14.16017,93.72749,355.0789
0.3239403,6.383482E+13,0.1478231,-0.01186091,0.08580975,-1.730927,-0.2609558,-2.163391,0.1478231,1.488139,0.2358098,-0.6017529,1.267863,0.2781757,12.96775,-92.30176,0.03875683,0.8665354,1.142645,0.1014804,14.22686,93.76402,355.2621
0.3439407,6.383482E+13,0.1477924,-0.01186016,0.0857378,-1.702026,-0.2976379,-2.206329,0.1477924,1.48814,0.2357378,-0.6018961,1.268126,0.2773314,12.97523,-92.1579,0.3947809,0.8664039,1.141607,0.1014368,14.3555,93.83406,355.4542
0.3639412,6.383482E+13,0.1477055,-0.01183569,0.08554512,-1.619965,-0.3851929,-2.249115,0.1477055,1.488164,0.2355451,-0.6023253,1.268529,0.2759556,12.96669,-92.10757,0.6476047,0.8660598,1.140001,0.1014629,14.54887,93.85493,355.6176
0.3839417,6.383482E+13,0.1476686,-0.01176088,0.08539385,-1.560486,-0.4029846,-2.265472,0.1476686,1.488239,0.2353939,-0.6025766,1.26869,0.2755746,12.91675,-92.28284,0.481421,0.8657693,1.139129,0.1014502,14.53754,93.89588,355.7717
0.4039421,6.383482E+13,0.147634,-0.01166296,0.08525103,-1.522125,-0.4146729,-2.280029,0.147634,1.488337,0.235251,-0.6031249,1.269118,0.2743969,12.73818,-92.6463,0.2253733,0.8654225,1.138177,0.1014747,14.56239,93.87897,356.0851
0.4239388,6.383482E+13,0.1474904,-0.01154004,0.08501092,-1.49057,-0.4101257,-2.375122,0.1474904,1.48846,0.2350109,-0.6036944,1.269284,0.273112,12.71333,-92.91156,0.1628287,0.8647975,1.136609,0.1013265,14.58406,93.90552,356.6919
0.4439392,6.383482E+13,0.1473445,-0.0114771,0.0848938,-1.475891,-0.3914795,-2.413849,0.1473445,1.488523,0.2348938,-0.6036736,1.269145,0.2731451,12.84403,-92.79193,0.2622101,0.8644713,1.135828,0.1009963,14.71455,94.02607,356.7357
0.4639397,6.383482E+13,0.1470001,-0.01128443,0.08463226,-1.501068,-0.3427734,-2.407043,0.1470001,1.488716,0.2346323,-0.6039376,1.269222,0.272512,12.86996,-92.77917,0.3219102,0.8639298,1.134644,0.1002074,14.96277,94.13602,356.5193
0.4839401,6.383482E+13,0.1467912,-0.01119046,0.084505,-1.514954,-0.3009949,-2.378601,0.1467912,1.48881,0.234505,-0.6041532,1.269357,0.2720155,12.78399,-92.83954,0.2896654,0.8637143,1.134448,0.09999374,14.94598,94.07525,356.5124
0.5039406,6.383482E+13,0.1462931,-0.01119511,0.08421873,-1.530884,-0.2432556,-2.27475,0.1462931,1.488805,0.2342187,-0.6044201,1.269553,0.2714133,12.64112,-92.80814,0.1767482,0.8632053,1.13315,0.09900254,15.06735,94.28406,356.7458
0.523941,6.383482E+13,0.146013,-0.01128522,0.08408857,-1.54776,-0.2288208,-2.225616,0.146013,1.488715,0.2340886,-0.6046165,1.269579,0.2709655,12.52825,-92.79877,0.08889817,0.8630919,1.132445,0.09826212,15.23744,94.52435,356.852
0.5439415,6.383482E+13,0.1455427,-0.0115611,0.08385825,-1.605347,-0.1965942,-2.095459,0.1455427,1.488439,0.2338583,-0.6049689,1.269384,0.2700819,12.25373,-93.03156,-0.2344055,0.862735,1.13185,0.09748092,15.32959,94.78722,357.0426
0.563942,6.383482E+13,0.1452625,-0.01180601,0.08373593,-1.605194,-0.1657715,-2.050476,0.1452625,1.488194,0.2337359,-0.6051211,1.269143,0.2698929,12.1366,-93.03247,-0.3347778,0.8625679,1.131743,0.09733683,15.29268,94.84283,357.2101
0.5839424,6.383482E+13,0.1449421,-0.01207254,0.08358902,-1.572174,-0.1509094,-2.016052,0.1449421,1.487927,0.233589,-0.6051971,1.268933,0.2698966,12.16414,-92.97284,-0.3825684,0.8624312,1.131747,0.09728366,15.29942,94.89754,357.2755
0.6039391,6.383482E+13,0.1442874,-0.01320702,0.08311524,-1.551941,-0.1264038,-1.963257,0.1442874,1.486793,0.2331153,-0.6054159,1.268612,0.2698756,12.3054,-93.01053,-0.4528809,0.86189,1.132182,0.09738906,15.07252,94.80094,357.183
0.6239395,6.383482E+13,0.1440245,-0.01331669,0.0829848,-1.493591,-0.1209412,-1.959778,0.1440245,1.486683,0.2329848,-0.6055915,1.268531,0.269805,12.28352,-93.00433,-0.4600525,0.8614253,1.132403,0.0972514,14.85729,94.71793,357.1252
0.64394,6.383482E+13,0.1434267,-0.01299126,0.08286984,-1.593903,-0.1136475,-1.933624,0.1434267,1.487009,0.2328698,-0.6061716,1.26803,0.2693987,12.04579,-93.24118,-0.6192017,0.8609111,1.132577,0.09728813,14.79622,94.63278,356.9921
0.6639404,6.383482E+13,0.1430172,-0.01320535,0.0828309,-1.656311,-0.1203613,-1.93634,0.1430172,1.486795,0.2328309,-0.6060844,1.267707,0.2694832,11.97699,-93.11536,-0.6236877,0.860598,1.132539,0.09734675,14.77435,94.57039,356.9822
0.6839409,6.383482E+13,0.1423467,-0.01327885,0.08254634,-1.566772,-0.2095947,-1.946259,0.1423467,1.486721,0.2325463,-0.6063854,1.265742,0.269776,11.94746,-92.85855,-1.168732,0.8597783,1.132219,0.09742296,14.73806,94.68443,357.2082
0.7039413,6.383482E+13,0.1420068,-0.01323521,0.08238173,-1.507385,-0.2484131,-1.959534,0.1420068,1.486765,0.2323817,-0.6065369,1.264848,0.2698898,12.10138,-92.86298,-1.53418,0.8593425,1.13189,0.09745266,14.78662,94.76616,357.3138
0.7239418,6.383482E+13,0.1415592,-0.01330704,0.08220528,-1.447723,-0.2766418,-1.996826,0.1415592,1.486693,0.2322053,-0.606617,1.264104,0.2699575,12.13203,-92.89517,-1.866577,0.8587333,1.131377,0.09758595,14.88066,94.82549,357.4706
0.7439423,6.383482E+13,0.1407593,-0.01342401,0.08173408,-1.305115,-0.3466492,-2.042999,0.1407593,1.486576,0.2317341,-0.6067362,1.263119,0.2698691,12.05311,-93.10876,-2.455536,0.857852,1.130808,0.09795654,14.94149,94.81415,357.7517
0.7639389,6.383482E+13,0.1403622,-0.01345128,0.08156347,-1.255798,-0.352417,-2.014526,0.1403622,1.486549,0.2315635,-0.6068969,1.262841,0.2697271,12.13768,-93.17804,-2.520416,0.8575747,1.130829,0.09803812,14.88612,94.88841,357.8392
