time,realtime,posX,posY,posZ,rotX,rotY,rotZ,headPosX,headPosY,headPosZ,LhandPosX,LhandPosY,LhandPosZ,LhandRotX,LhandRotY,LhandRotZ,RhandPosX,RhandPosY,RhandPosZ,RhandRotX,RhandRotY,RhandRotZ
0.004554749,6.383482E+13,0.1621318,-0.007273701,-0.07558825,-2.34021,3.061268,0.6297594,0.1621318,1.492726,0.07441176,-0.5781391,1.265876,0.114077,16.16553,-89.94904,-6.021942,0.8976638,1.23607,-0.0420814,11.99289,94.38268,1.436625
0.02455521,6.383482E+13,0.1622827,-0.007232879,-0.07584766,-2.325409,3.094498,0.5758848,0.1622827,1.492767,0.07415234,-0.5781249,1.265469,0.1138799,15.97349,-90.25986,-6.568146,0.897663,1.235453,-0.0415646,12.1274,94.22977,1.924793
0.04455566,6.383482E+13,0.1626025,-0.007128896,-0.07636414,-2.352386,3.164323,0.487634,0.1626025,1.492871,0.07363586,-0.5782029,1.264444,0.1134799,16.01712,-90.47125,-7.239471,0.8970257,1.2352,-0.04087006,12.00636,93.38205,1.164063
0.06455612,6.383482E+13,0.1627726,-0.006998201,-0.07661708,-2.403412,3.194326,0.4699785,0.1627726,1.493002,0.07338292,-0.5783084,1.264198,0.113326,16.11983,-90.44635,-7.42157,0.896591,1.234912,-0.04083394,12.49757,92.77576,359.8194
0.08455658,6.383482E+13,0.1631659,-0.006628187,-0.07718563,-2.573425,3.26561,0.4130157,0.1631659,1.493372,0.07281438,-0.5783624,1.264038,0.1129142,16.39785,-90.18204,-6.925171,0.8967956,1.23378,-0.04132758,13.39376,93.31384,359.4811
0.104557,6.383482E+13,0.1633161,-0.006529128,-0.07746212,-2.65802,3.320081,0.3598219,0.1633161,1.493471,0.07253788,-0.5784258,1.263948,0.1127135,16.43851,-90.15558,-6.773407,0.8972072,1.233077,-0.04157463,13.71045,93.77602,359.8501
0.1245575,6.383482E+13,0.1634268,-0.006376611,-0.07773755,-2.733887,3.365862,0.3510197,0.1634268,1.493623,0.07226246,-0.5785527,1.263798,0.1124093,16.48213,-90.21152,-6.706024,0.897497,1.232311,-0.04175995,14.0401,93.92159,359.9862
0.1445541,6.383482E+13,0.163498,-0.006054003,-0.07834458,-2.821045,3.417823,0.3165954,0.163498,1.493946,0.07165542,-0.5793717,1.263127,0.111029,16.59211,-90.83987,-6.711334,0.8974451,1.231347,-0.04168256,14.36753,93.60619,359.9292
0.1645546,6.383482E+13,0.1634287,-0.005867483,-0.07862528,-2.873779,3.433717,0.2820491,0.1634287,1.494133,0.07137472,-0.5798069,1.262541,0.1105283,16.66062,-91.13138,-6.664124,0.896949,1.231638,-0.04193822,13.77712,93.62595,359.657
0.1845551,6.383482E+13,0.1632853,-0.005448015,-0.07913049,-3.036713,3.473134,0.1771853,0.1632853,1.494552,0.07086952,-0.5802858,1.261498,0.1101414,16.81182,-91.17865,-6.608917,0.8968575,1.231559,-0.04246061,13.62393,93.72881,359.4413
