time,realtime,posX,posY,posZ,rotX,rotY,rotZ,headPosX,headPosY,headPosZ,LhandPosX,LhandPosY,LhandPosZ,LhandRotX,LhandRotY,LhandRotZ,RhandPosX,RhandPosY,RhandPosZ,RhandRotX,RhandRotY,RhandRotZ
0.004364014,6.383481E+13,-0.6775468,0.3313062,-0.3309933,-1.186066,86.18114,-0.2487793,-0.6775468,1.831306,20.32868,-0.7166178,1.508854,21.05579,18.67834,-7.764557,-4.587402,-0.6869773,1.503274,19.60956,14.40864,174.2249,11.97465
0.02436447,6.383481E+13,-0.6771423,0.3313717,-0.3309274,-1.253174,86.18259,-0.2545776,-0.6771423,1.831372,20.32875,-0.716175,1.509934,21.0547,18.62395,-7.861481,-4.606934,-0.6870342,1.502946,19.6095,14.31413,174.4727,12.09248
0.04436493,6.383481E+13,-0.6763512,0.3316749,-0.3308022,-1.339539,86.17399,-0.2436829,-0.6763512,1.831675,20.32888,-0.715776,1.510946,21.05406,18.54194,-7.718445,-4.345062,-0.6872172,1.503689,19.60951,13.51458,174.3154,10.59702
0.06436539,6.383481E+13,-0.6759698,0.3317824,-0.3307204,-1.38501,86.16721,-0.2229919,-0.6759698,1.831782,20.32896,-0.7156475,1.511272,21.05414,18.52222,-7.734863,-4.342316,-0.6874453,1.504246,19.60949,13.44265,174.0824,9.278718
0.08436394,6.383481E+13,-0.6753085,0.3319105,-0.3304389,-1.493042,86.1643,-0.1872864,-0.6753085,1.83191,20.32924,-0.7152228,1.512257,21.05436,18.39402,-7.863098,-4.426147,-0.687889,1.503984,19.60884,13.8697,174.7279,8.778027
0.1043644,6.383481E+13,-0.6750062,0.3319635,-0.3302882,-1.564301,86.14595,-0.1811218,-0.6750062,1.831964,20.32939,-0.715001,1.512618,21.05447,18.32992,-7.936584,-4.521881,-0.6879846,1.503596,19.60849,14.0866,175.0481,8.804785
0.1243649,6.383481E+13,-0.6747104,0.3319286,-0.3300807,-1.649536,86.12306,-0.1653442,-0.6747104,1.831929,20.3296,-0.714612,1.513031,21.05467,18.2974,-8.026398,-4.806641,-0.6877201,1.502743,19.6082,14.66323,175.3552,9.226104
0.1443653,6.383481E+13,-0.6741596,0.3318291,-0.3296818,-1.745697,86.06557,-0.1449585,-0.6741596,1.831829,20.33,-0.7139086,1.513747,21.05519,18.00029,-8.325958,-5.621155,-0.6868166,1.501291,19.60896,15.32929,174.0243,8.341716
0.1643639,6.383481E+13,-0.6737946,0.3318572,-0.3294432,-1.784241,86.03906,-0.1454163,-0.6737946,1.831857,20.33023,-0.7136874,1.514208,21.05544,17.79079,-8.546875,-5.798553,-0.6859145,1.500507,19.6094,15.72337,173.2867,8.296758
0.1843643,6.383481E+13,-0.6730545,0.3319136,-0.3290725,-1.862274,85.95095,-0.07537842,-0.6730545,1.831914,20.3306,-0.7133026,1.514881,21.05551,17.63576,-8.557892,-5.363586,-0.684457,1.498996,19.60995,15.90244,173.122,9.52797
