time,realtime,posX,posY,posZ,rotX,rotY,rotZ,headPosX,headPosY,headPosZ,LhandPosX,LhandPosY,LhandPosZ,LhandRotX,LhandRotY,LhandRotZ,RhandPosX,RhandPosY,RhandPosZ,RhandRotX,RhandRotY,RhandRotZ
0.008745193,6.38E+13,0.06465991,-0.004000019,0.01411207,-1.674255,-3.746399,-0.8701172,-1.091766,1.5515,2.229677,-0.5974083,1.254939,1.713595,11.25399,-95.31274,-23.24091,-1.490787,1.152176,2.849201,15.338,93.45625,7.724735
0.02874565,6.38E+13,0.06465991,-0.004000019,0.01411207,-1.674255,-3.746399,-0.8701172,-1.091766,1.5515,2.229677,-0.5974083,1.254939,1.713595,11.25399,-95.31274,-23.24091,-1.490787,1.152176,2.849201,15.338,93.45625,7.724735
0.04874611,6.38E+13,0.06535372,-0.004189489,0.01500311,-1.614471,-3.829071,-0.9462585,-1.092887,1.551311,2.229537,-0.5977319,1.255804,1.713614,11.23236,-95.22137,-23.17651,-1.491103,1.152122,2.849281,14.6625,92.63811,7.137647
0.06874466,6.38E+13,0.06567698,-0.004175438,0.01540126,-1.53418,-3.928589,-1.064545,-1.093397,1.551325,2.229484,-0.5979954,1.256653,1.71353,11.2241,-95.14664,-23.07959,-1.491482,1.151629,2.849107,14.012,92.18362,3.961454
0.08874512,6.38E+13,0.06544633,-0.004193325,0.01533004,-1.53244,-3.970215,-1.045319,-1.093184,1.551307,2.229372,-0.5981247,1.257459,1.713324,11.12106,-95.19272,-23.16492,-1.491737,1.150773,2.848792,14.76476,92.52391,3.528588
0.1087456,6.38E+13,0.06544633,-0.004193325,0.01533004,-1.53244,-3.970215,-1.045319,-1.093184,1.551307,2.229372,-0.5981247,1.257459,1.713324,11.12106,-95.19272,-23.16492,-1.491737,1.150773,2.848792,14.76476,92.52391,3.528588
0.128746,6.38E+13,0.06548226,-0.00416208,0.01559679,-1.564514,-4.059357,-1.063354,-1.093398,1.551338,2.229208,-0.5983788,1.258623,1.71309,10.94015,-95.19189,-23.04385,-1.492282,1.150121,2.848267,15.02552,92.76057,3.807167
0.1487446,6.38E+13,0.06548759,-0.004022466,0.01589968,-1.64444,-4.112946,-1.058319,-1.093616,1.551478,2.228998,-0.5983692,1.259258,1.712767,11.03947,-95.17834,-22.72458,-1.493195,1.149722,2.847516,15.17752,92.7863,4.35968
0.168745,6.38E+13,0.06542268,-0.003737128,0.01620082,-1.806244,-4.136108,-1.024109,-1.093783,1.551763,2.228739,-0.5984329,1.259361,1.712623,10.99314,-95.30481,-22.78778,-1.49412,1.149464,2.846672,14.95699,92.88078,4.397779
0.1887455,6.38E+13,0.06542268,-0.003737128,0.01620082,-1.806244,-4.136108,-1.024109,-1.093783,1.551763,2.228739,-0.5984329,1.259361,1.712623,10.99314,-95.30481,-22.78778,-1.49412,1.149464,2.846672,14.95699,92.88078,4.397779
0.208746,6.38E+13,0.06528112,-0.003436497,0.01647506,-1.954559,-4.164001,-0.9683838,-1.093876,1.552064,2.228445,-0.5987372,1.25947,1.71235,10.98704,-95.27423,-22.68939,-1.495248,1.149435,2.845649,14.80656,92.82259,4.371066
0.2287464,6.38E+13,0.06509345,-0.003250713,0.01673099,-2.07074,-4.174225,-0.9571838,-1.093925,1.55225,2.228131,-0.599041,1.259271,1.711926,11.05553,-95.19427,-22.62656,-1.496487,1.149614,2.844599,14.78331,92.89016,4.563962
0.248745,6.38E+13,0.06484695,-0.00300474,0.01711752,-2.244598,-4.137512,-0.9338684,-1.094024,1.552496,2.227684,-0.5993912,1.258973,1.71152,11.06344,-95.26398,-22.72888,-1.497553,1.14971,2.84352,14.58561,92.86432,5.309384
0.2687454,6.38E+13,0.06484695,-0.00300474,0.01711752,-2.244598,-4.137512,-0.9338684,-1.094024,1.552496,2.227684,-0.5993912,1.258973,1.71152,11.06344,-95.26398,-22.72888,-1.497553,1.14971,2.84352,14.58561,92.86432,5.309384
0.2887459,6.38E+13,0.064675,-0.002800991,0.01764186,-2.392151,-4.051361,-0.8926697,-1.094273,1.552699,2.227191,-0.5996104,1.258258,1.710731,11.16303,-95.3645,-22.61783,-1.498543,1.149945,2.842437,14.43612,93.40103,6.560172
0.3087463,6.38E+13,0.06456581,-0.002863068,0.0179626,-2.401733,-3.925842,-0.9067078,-1.094422,1.552637,2.226887,-0.6001182,1.257217,1.709761,11.40999,-95.29379,-22.43433,-1.499011,1.150228,2.841667,14.10214,94.18591,7.307513
0.3287449,6.38E+13,0.06456581,-0.002863068,0.0179626,-2.401733,-3.925842,-0.9067078,-1.094422,1.552637,2.226887,-0.6001182,1.257217,1.709761,11.40999,-95.29379,-22.43433,-1.499011,1.150228,2.841667,14.10214,94.18591,7.307513
0.3487453,6.38E+13,0.06437722,-0.002825946,0.01821381,-2.387756,-3.804626,-0.9085388,-1.094467,1.552674,2.226576,-0.6005095,1.256775,1.709413,11.37761,-95.30078,-22.53229,-1.498683,1.150217,2.841436,14.3949,93.75417,6.288588
0.3687458,6.38E+13,0.06413163,-0.002568867,0.01848253,-2.486359,-3.746155,-0.7904358,-1.094483,1.552932,2.226213,-0.6011667,1.255618,1.708604,11.45234,-95.25394,-22.51834,-1.49817,1.150415,2.841556,14.45868,93.811,6.117695
0.3887463,6.38E+13,0.06386736,-0.002433874,0.01871126,-2.526703,-3.729065,-0.6996155,-1.094458,1.553066,2.225864,-0.6019172,1.254001,1.707599,11.71381,-95.30215,-22.54871,-1.49812,1.151132,2.841617,14.52156,94.10815,6.347005
0.4087448,6.38E+13,0.06386736,-0.002433874,0.01871126,-2.526703,-3.729065,-0.6996155,-1.094458,1.553066,2.225864,-0.6019172,1.254001,1.707599,11.71381,-95.30215,-22.54871,-1.49812,1.151132,2.841617,14.52156,94.10815,6.347005
0.4287453,6.38E+13,0.06366979,-0.002189211,0.01902794,-2.67865,-3.738922,-0.564209,-1.094542,1.553311,2.225501,-0.6026766,1.253456,1.707273,11.79387,-95.34714,-22.47922,-1.498386,1.152025,2.841572,14.68705,94.09349,6.459819
0.4487457,6.38E+13,0.06350555,-0.001717269,0.01938806,-2.874725,-3.812836,-0.4103394,-1.094681,1.553783,2.22513,-0.6039265,1.252762,1.706841,11.89538,-95.2175,-22.36246,-1.499395,1.153288,2.841281,14.90102,94.0883,6.462815
0.4687462,6.38E+13,0.06350555,-0.001717269,0.01938806,-2.874725,-3.812836,-0.4103394,-1.094681,1.553783,2.22513,-0.6039265,1.252762,1.706841,11.89538,-95.2175,-22.36246,-1.499395,1.153288,2.841281,14.90102,94.0883,6.462815
0.4887447,6.38E+13,0.06339415,-0.001457618,0.01968328,-2.836212,-3.893036,-0.3665161,-1.094811,1.554043,2.224842,-0.6050961,1.252198,1.706461,11.93379,-95.10535,-22.55664,-1.500958,1.154721,2.840635,14.9145,94.17184,6.570745
0.5087452,6.38E+13,0.0633321,-0.001114815,0.01984136,-2.776245,-3.971741,-0.4532471,-1.094879,1.554386,2.224687,-0.6058412,1.25192,1.706266,11.94279,-95.06934,-22.62668,-1.502028,1.155676,2.840158,14.94405,94.14217,6.68375
0.5287457,6.38E+13,0.06331012,-0.000772891,0.02007105,-2.830231,-4.050812,-0.517334,-1.095025,1.554728,2.224509,-0.6065899,1.251572,1.70579,12.10261,-95.02814,-22.87604,-1.502968,1.156091,2.839347,14.89558,94.2785,7.268893
0.5487461,6.38E+13,0.06331012,-0.000772891,0.02007105,-2.830231,-4.050812,-0.517334,-1.095025,1.554728,2.224509,-0.6065899,1.251572,1.70579,12.10261,-95.02814,-22.87604,-1.502968,1.156091,2.839347,14.89558,94.2785,7.268893
0.5687447,6.38E+13,0.06332897,-0.000314692,0.020514,-3.010559,-4.051117,-0.6129761,-1.095352,1.555186,2.224209,-0.6067114,1.252086,1.705327,11.98626,-95.11948,-23.06177,-1.503993,1.156009,2.838064,14.86253,94.46843,7.528334
0.5887451,6.38E+13,0.06329492,5.70E-05,0.02088146,-3.153778,-3.991852,-0.7599487,-1.095588,1.555557,2.223925,-0.6067823,1.252696,1.705063,11.94014,-95.16666,-22.94989,-1.504554,1.155375,2.83687,14.90616,94.36629,7.351871
