time,realtime,posX,posY,posZ,rotX,rotY,rotZ,headPosX,headPosY,headPosZ,LhandPosX,LhandPosY,LhandPosZ,LhandRotX,LhandRotY,LhandRotZ,RhandPosX,RhandPosY,RhandPosZ,RhandRotX,RhandRotY,RhandRotZ
0.007383347,6.38348E+13,-0.720032,0.3945317,-0.3505872,358.9779,98.44109,0.230425,-0.720032,1.894532,20.30909,-0.5546634,1.652406,20.99385,359.3596,9.755965,313.3509,-0.7532809,1.717534,19.59704,357.8719,174.288,35.08591
0.02738285,6.38348E+13,-0.7198768,0.3943872,-0.3508255,359.0919,98.41652,0.2646652,-0.7198768,1.894387,20.30885,-0.5547791,1.652051,20.99365,359.3831,9.604847,313.1592,-0.7539597,1.716974,19.59621,357.97,174.7401,35.12898
0.04738331,6.38348E+13,-0.7195457,0.3940844,-0.3513101,359.1534,98.37634,0.2540615,-0.7195457,1.894084,20.30837,-0.5550172,1.651699,20.99306,359.1358,9.444801,312.9861,-0.7549493,1.716433,19.59519,357.9225,174.9633,34.2635
0.06738281,6.38348E+13,-0.7194692,0.3939135,-0.3515798,359.1909,98.36431,0.2034899,-0.7194692,1.893914,20.3081,-0.5551258,1.651401,20.99266,359.1874,9.686234,312.8454,-0.7553483,1.716479,19.59495,357.6476,174.7253,33.39229
0.08738327,6.38348E+13,-0.7194609,0.3935244,-0.3521986,359.269,98.34483,0.1042053,-0.7194609,1.893524,20.30748,-0.5555595,1.651194,20.99299,359.4563,9.637578,312.9003,-0.756666,1.716242,19.59401,357.7017,174.8139,31.51324
0.1073828,6.38348E+13,-0.7194921,0.3932804,-0.3524517,359.3199,98.33921,0.07102039,-0.7194921,1.893281,20.30723,-0.5559506,1.651131,20.9931,359.5258,9.434832,313.0273,-0.7573793,1.715735,19.59336,357.7601,175.1903,31.28756
0.1273832,6.38348E+13,-0.7197906,0.3927343,-0.3529462,359.4426,98.29446,359.9393,-0.7197906,1.892734,20.30673,-0.5570872,1.651202,20.99299,359.6946,9.141953,313.4201,-0.7581477,1.713751,19.59251,357.7249,175.602,31.91704
0.1473827,6.38348E+13,-0.7200208,0.3925316,-0.3532127,359.5261,98.26794,359.893,-0.7200208,1.892532,20.30647,-0.5571935,1.65126,20.99306,359.6584,9.173349,313.3672,-0.7583909,1.712846,19.59236,357.748,175.5128,31.94798
0.1673832,6.38348E+13,-0.7202521,0.3923556,-0.3534569,359.5995,98.26482,359.8669,-0.7202521,1.892356,20.30622,-0.5575073,1.651325,20.99317,359.591,9.101313,313.2888,-0.758353,1.711209,19.59229,358.1579,175.2465,32.18335
0.1873827,6.38348E+13,-0.7207696,0.3922717,-0.3539166,359.6771,98.26448,359.7782,-0.7207696,1.892272,20.30576,-0.5587395,1.651577,20.99313,359.2919,8.585453,313.3316,-0.7580472,1.708073,19.59251,358.8962,174.5324,32.88826
0.2073832,6.38348E+13,-0.7210588,0.3922212,-0.3541263,359.6601,98.27095,359.724,-0.7210588,1.892221,20.30555,-0.5590584,1.651589,20.99297,359.3041,8.459492,313.5182,-0.7578909,1.706814,19.59267,358.8754,174.0787,33.44428
0.2273827,6.38348E+13,-0.7216249,0.3920868,-0.3544028,359.5662,98.31829,359.5817,-0.7216249,1.892087,20.30527,-0.5578346,1.647813,21.00152,359.7581,8.567297,313.5177,-0.7586645,1.705084,19.59248,358.5743,174.0613,34.29522
0.2473831,6.38348E+13,-0.7219411,0.392141,-0.354564,359.5162,98.34094,359.5379,-0.7219411,1.892141,20.30511,-0.5569905,1.644998,21.00819,359.847,8.555511,313.3422,-0.7596523,1.704473,19.59208,358.623,174.4976,34.05505
0.2673826,6.38348E+13,-0.7222654,0.3924057,-0.3547825,359.3289,98.39367,359.4961,-0.7222654,1.892406,20.3049,-0.5569214,1.644302,21.00968,359.6784,8.464823,313.1349,-0.7614463,1.703374,19.59106,358.9438,174.8868,33.1501
0.2873831,6.38348E+13,-0.7224188,0.3926183,-0.3549009,359.2211,98.39466,359.506,-0.7224188,1.892618,20.30478,-0.5570252,1.644266,21.00974,359.4358,8.276134,313.3436,-0.762198,1.702906,19.59068,358.9653,174.8727,32.73631
0.3073835,6.38348E+13,-0.7227988,0.3929508,-0.3551353,359.0451,98.35791,359.5671,-0.7227988,1.892951,20.30454,-0.5569095,1.643546,21.00946,359.7918,8.554049,314.0845,-0.763747,1.701663,19.58968,359.182,175.1334,31.80754
0.327383,6.38348E+13,-0.7228813,0.3931325,-0.3552478,358.997,98.34158,359.6116,-0.7228813,1.893132,20.30443,-0.5569071,1.642853,21.00936,0.01731432,8.735593,314.0087,-0.7644426,1.700839,19.58907,359.3421,175.3935,31.53724
0.3473835,6.38348E+13,-0.7229024,0.3933414,-0.3553541,358.9734,98.31376,359.662,-0.7229024,1.893341,20.30432,-0.5569757,1.642547,21.00952,359.9104,8.626983,313.633,-0.7649719,1.699884,19.58856,359.4039,175.6297,31.47863
0.367383,6.38348E+13,-0.7228037,0.393928,-0.3555121,358.9156,98.2791,359.6313,-0.7228037,1.893928,20.30416,-0.5575482,1.640456,21.00993,359.688,8.225165,313.002,-0.7652968,1.697512,19.58804,359.6571,175.6915,32.18159
0.3873835,6.38348E+13,-0.7227,0.3941952,-0.355601,358.8703,98.27757,359.6135,-0.7227,1.894195,20.30408,-0.5578718,1.639571,21.01001,359.9166,8.158595,312.9855,-0.7652316,1.696234,19.58785,359.7774,175.6282,32.71905
0.407383,6.38348E+13,-0.7225458,0.3944161,-0.3557838,358.8835,98.21587,359.6344,-0.7225458,1.894416,20.30389,-0.5583047,1.638171,21.01015,0.333586,8.222124,312.9198,-0.7652678,1.693956,19.5873,0.01206948,175.6844,33.61191
0.4273834,6.38348E+13,-0.7224439,0.3943124,-0.3558851,358.9086,98.21092,359.7191,-0.7224439,1.894312,20.30379,-0.5584437,1.638147,21.01021,0.2099473,8.147796,312.8698,-0.7652457,1.693167,19.58698,0.06987723,175.7284,33.99994
0.4473829,6.38348E+13,-0.7222663,0.3940575,-0.3561555,358.9485,98.15444,359.8765,-0.7222663,1.894058,20.30352,-0.5588179,1.637977,21.01032,-0.004714965,7.976631,313.0967,-0.7653075,1.692284,19.58637,0.1458594,175.6415,34.20047
0.4673834,6.38348E+13,-0.7221795,0.3938637,-0.356311,358.9885,98.12282,359.9242,-0.7221795,1.893864,20.30337,-0.5592659,1.637294,21.01049,0.121418,7.843819,313.4665,-0.7654369,1.692648,19.58635,0.08192921,175.7002,33.86005
0.4873829,6.38348E+13,-0.7220254,0.3935318,-0.3566281,359.14,98.09294,359.9105,-0.7220254,1.893532,20.30305,-0.5595484,1.636573,21.01068,0.4442077,7.816993,313.6003,-0.7659569,1.692304,19.58578,359.9538,176.0686,33.05561
0.5073833,6.38348E+13,-0.7219537,0.3934671,-0.3567696,359.2121,98.0719,359.857,-0.7219537,1.893467,20.30291,-0.5595147,1.636578,21.01067,0.3448588,7.808622,313.4947,-0.7659559,1.69227,19.5858,359.8911,176.0606,32.66462
0.5273829,6.38348E+13,-0.7218545,0.3934157,-0.3568808,359.2411,98.03854,359.8174,-0.7218545,1.893416,20.3028,-0.5595708,1.636477,21.01068,0.329202,7.815447,313.4578,-0.765842,1.691993,19.58588,359.9161,175.9767,32.43792
0.5473833,6.38348E+13,-0.7216592,0.3933707,-0.3570698,359.2529,97.98394,359.661,-0.7216592,1.893371,20.30261,-0.5599623,1.635403,21.01099,0.5342359,7.831049,313.2933,-0.7656102,1.691302,19.58604,359.9914,175.9159,32.58826
0.5673828,6.38348E+13,-0.7215694,0.3933579,-0.3571339,359.2689,97.97803,359.5816,-0.7215694,1.893358,20.30254,-0.560111,1.634683,21.01132,0.6438283,7.878487,312.9053,-0.7655631,1.690997,19.58605,0.05693614,175.948,32.73373
0.5873833,6.38348E+13,-0.721489,0.3934621,-0.3572385,359.2998,97.98118,359.5,-0.721489,1.893462,20.30244,-0.5602757,1.634687,21.01171,0.2767823,7.762258,312.4031,-0.7651012,1.688472,19.58578,0.6099732,175.9268,33.36045
0.6073828,6.38348E+13,-0.7214837,0.3935007,-0.3572739,359.297,97.97299,359.5213,-0.7214837,1.893501,20.3024,-0.5602959,1.635084,21.01177,0.1418011,7.691358,312.6078,-0.7648944,1.687821,19.5857,0.7456931,175.8199,33.76185
0.6273832,6.38348E+13,-0.7214385,0.3935638,-0.3572689,359.2823,97.96551,359.5542,-0.7214385,1.893564,20.30241,-0.5602597,1.635366,21.0118,0.3096913,7.727966,313.0761,-0.7647517,1.687402,19.58547,0.6856108,175.9263,34.06908
0.6473827,6.38348E+13,-0.7213942,0.3936383,-0.357213,359.2566,97.96201,359.5819,-0.7213942,1.893638,20.30247,-0.5601738,1.635417,21.01192,0.405973,7.826429,313.2862,-0.7648646,1.687955,19.58547,0.5373502,175.9903,33.77887
0.6673832,6.38348E+13,-0.7213356,0.3936765,-0.3571442,359.2011,97.95566,359.6033,-0.7213356,1.893677,20.30253,-0.5601478,1.635389,21.01194,0.4174023,7.883808,313.2548,-0.7649059,1.688053,19.58542,0.5096996,176.0377,33.59295
0.6873827,6.38348E+13,-0.7212207,0.3937025,-0.3569833,359.0868,97.9238,359.6385,-0.7212207,1.893703,20.30269,-0.5602692,1.635291,21.01254,0.2917869,7.774242,312.9409,-0.7651364,1.688133,19.58525,0.5253518,176.2293,32.4319
0.7073832,6.38348E+13,-0.7211946,0.3937262,-0.3568945,359.0454,97.91482,359.6376,-0.7211946,1.893726,20.30278,-0.5603759,1.635288,21.01333,0.05766366,7.565846,312.5608,-0.7650764,1.687952,19.58533,0.6295137,176.2433,32.27788
0.7273827,6.38348E+13,-0.7212409,0.3937166,-0.3565571,359.0548,97.93012,359.5736,-0.7212409,1.893717,20.30312,-0.5613293,1.636813,21.01006,0.04949988,7.538156,312.6652,-0.7647406,1.687691,19.58558,0.6439772,176.087,32.83986
0.7473831,6.38348E+13,-0.7213044,0.3936493,-0.3563803,359.0638,97.9212,359.563,-0.7213044,1.893649,20.3033,-0.5619692,1.637811,21.00747,0.1057984,7.560226,312.787,-0.7642465,1.687042,19.58613,0.6111996,175.9458,33.43346
0.7673826,6.38348E+13,-0.7214248,0.3935083,-0.3560285,359.0839,97.99171,359.5333,-0.7214248,1.893508,20.30365,-0.5619249,1.638429,21.00733,0.1600725,7.60212,312.9489,-0.7643831,1.68732,19.58646,0.3507089,175.9962,33.69018
0.7873831,6.38348E+13,-0.7214937,0.3934682,-0.3558354,359.0527,98.02805,359.5427,-0.7214937,1.893468,20.30384,-0.5618981,1.638481,21.00735,0.138386,7.602711,312.9241,-0.7645619,1.687478,19.5864,0.3907368,175.9915,33.46788
0.8073826,6.38348E+13,-0.721692,0.3933113,-0.3554022,359.0027,98.06898,359.5529,-0.721692,1.893311,20.30428,-0.5615211,1.638692,21.00758,0.0431683,7.677164,312.7948,-0.7650012,1.687672,19.58665,0.3981388,175.9554,33.33763
0.827383,6.38348E+13,-0.7218202,0.3931654,-0.3551382,359.0176,98.11281,359.546,-0.7218202,1.893165,20.30454,-0.5611959,1.638607,21.0077,0.07159748,7.803619,312.6024,-0.7654892,1.687861,19.58685,0.3775158,175.9803,33.25294
0.8473835,6.38348E+13,-0.7219822,0.3930801,-0.3548725,359.0466,98.15847,359.5787,-0.7219822,1.89308,20.30481,-0.5608892,1.638527,21.00772,0.04923564,7.940912,312.342,-0.7664894,1.688114,19.58697,0.3501296,176.1759,33.08913
0.867383,6.38348E+13,-0.7224344,0.393131,-0.3543653,359.0574,98.2259,359.6989,-0.7224344,1.893131,20.30531,-0.5607697,1.638772,21.00766,359.8393,8.002424,312.4405,-0.7676744,1.688107,19.58697,0.3220519,176.4046,33.08904
0.8873835,6.38348E+13,-0.7226558,0.3931216,-0.3541773,359.0675,98.25191,359.7883,-0.7226558,1.893122,20.3055,-0.5607074,1.63885,21.00764,359.8462,8.042685,312.6546,-0.7677402,1.688015,19.587,0.3395719,176.3362,33.16006
0.907383,6.38348E+13,-0.7232042,0.393049,-0.3538358,359.0518,98.31277,359.9689,-0.7232042,1.893049,20.30584,-0.5607178,1.638658,21.00765,0.06123906,8.133972,312.8014,-0.7687652,1.687856,19.58707,0.4257312,176.2897,33.22898
0.9273834,6.38348E+13,-0.7235239,0.3929814,-0.3537205,359.0686,98.34091,0.03143151,-0.7235239,1.892981,20.30596,-0.560803,1.638592,21.0077,0.05721287,8.132487,312.6954,-0.7695815,1.687887,19.58727,0.4964025,176.3414,33.23939
0.9473829,6.38348E+13,-0.7242159,0.3929592,-0.3535008,358.9899,98.45071,0.0737397,-0.7242159,1.892959,20.30618,-0.5612142,1.638255,21.00813,0.01683492,8.031174,312.3394,-0.7716305,1.688365,19.58776,0.322778,176.5928,33.1776
0.9673834,6.38348E+13,-0.724588,0.3929484,-0.3534037,358.9331,98.51626,0.03879174,-0.724588,1.892948,20.30627,-0.5614781,1.638302,21.00829,359.9581,7.907138,312.3103,-0.7726147,1.688594,19.58795,0.2662707,176.6156,32.98298
0.9873829,6.38348E+13,-0.7250182,0.3930273,-0.353307,358.8949,98.58079,0.01289385,-0.7250182,1.893027,20.30637,-0.5616151,1.638417,21.00833,359.9164,7.857315,312.3812,-0.7735762,1.688706,19.58811,0.3031061,176.5838,32.76005
1.007383,6.38348E+13,-0.7259538,0.3929942,-0.3531782,358.824,98.66431,359.9827,-0.7259538,1.892994,20.3065,-0.561828,1.638641,21.0083,-0.000524217,7.951121,312.667,-0.7748309,1.688481,19.58823,0.4489974,176.6375,32.73704
1.027383,6.38348E+13,-0.7264538,0.392988,-0.3531376,358.8123,98.69341,359.9685,-0.7264538,1.892988,20.30654,-0.5618849,1.638689,21.00822,0.04356295,8.059547,312.7209,-0.7754764,1.688411,19.58835,0.3609469,176.7166,32.88517
1.047383,6.38348E+13,-0.7273679,0.3929305,-0.3529577,358.7997,98.78502,359.9384,-0.7273679,1.892931,20.30672,-0.5620794,1.638672,21.00803,359.9608,8.150297,312.4845,-0.7777726,1.688121,19.5886,0.2618342,176.9453,32.95488
1.067383,6.38348E+13,-0.727824,0.3930031,-0.3529247,358.808,98.80942,359.948,-0.727824,1.893003,20.30675,-0.562312,1.638539,21.00785,359.9202,8.212361,312.2863,-0.7791432,1.687825,19.58869,0.4429789,177.0385,32.749
1.087383,6.38348E+13,-0.7288297,0.3931042,-0.3528295,358.7902,98.83482,359.9716,-0.7288297,1.893104,20.30685,-0.5627407,1.638318,21.00767,0.01708102,8.332945,312.2116,-0.7812786,1.687221,19.58885,0.8381264,177.2033,32.40323
1.107383,6.38348E+13,-0.7293359,0.3931954,-0.3527313,358.7677,98.86471,359.9622,-0.7293359,1.893195,20.30695,-0.5628681,1.63835,21.00769,359.9932,8.298061,312.2382,-0.7820639,1.687002,19.58894,0.8824591,177.2756,32.37738
1.127383,6.38348E+13,-0.7298505,0.3933713,-0.3526546,358.7355,98.88964,359.941,-0.7298505,1.893371,20.30702,-0.5632423,1.638368,21.00768,359.9764,8.23794,312.2939,-0.7822216,1.686961,19.58914,0.7963266,177.2956,32.44879
1.147383,6.38348E+13,-0.7308779,0.3935708,-0.3524497,358.6413,98.92316,359.9164,-0.7308779,1.893571,20.30723,-0.5644943,1.638305,21.00759,0.1322302,8.131909,312.6907,-0.7835011,1.686357,19.58942,1.015253,177.3452,32.37978
