InteractionNumber,ElapsedTime,SplitTime
1,0.9335428
1,1.635117,0.7015739
2,2.224302,0.5891854
3,3.302794,1.078492
4,4.255371,0.9525766
5,4.881674,0.6263027
6,5.595928,0.7142539
7,6.849242,1.253314
8,7.524964,0.6757216
9,8.189471,0.6645074
10,9.029863,0.8403921
11,9.681859,0.6519957
12,10.38311,0.7012482
13,11.36069,0.9775877
14,12.4755,1.11481
15,13.13957,0.6640625
16,13.86718,0.7276125
17,14.58219,0.7150078
18,15.23341,0.6512232
19,15.94641,0.7130013
20,16.88647,0.9400549
21,17.70135,0.8148861
22,18.28982,0.5884686
23,19.01727,0.7274494
24,19.86914,0.8518696
25,20.53426,0.6651173
26,21.4234,0.889143
27,22.09966,0.6762619
28,22.6766,0.5769348
29,23.52779,0.8511906
30,24.41903,0.8912468
31,25.12727,0.708231
32,25.95898,0.8317146
33,26.89902,0.9400349
34,27.48752,0.5885029
35,28.25307,0.7655525
36,29.00387,0.7507954
37,29.60657,0.6026993
38,30.33488,0.7283192
39,31.03517,0.700285
40,31.7494,0.7142296
41,32.45139,0.7019939
42,33.67947,1.228077
43,34.14293,0.4634552
44,34.71951,0.57658
45,35.43037,0.7108688
46,36.32135,0.8909798
47,36.94852,0.6271706
48,37.53784,0.5893173
49,38.22528,0.6874352
50,39.15411,0.9288368
51,40.00497,0.8508606
52,40.70699,0.7020149
53,41.47269,0.7656975
54,42.35077,0.8780785
55,42.98004,0.6292725
56,43.64127,0.661232
57,44.43178,0.7905083
58,45.08343,0.6516533
59,45.5589,0.4754639

time,posX,posY,posZ,rotX,rotY,rotZ
0.1003681,1.245843,0.1747705,-1.544561,2.140867,2.891495,4.304172
0.2064449,1.24576,0.174943,-1.544646,2.095952,2.844572,4.272493
0.3192366,1.245735,0.1751031,-1.544327,2.051142,2.883371,4.292807
0.419528,1.245774,0.1741644,-1.543936,2.541775,2.959818,4.321604
0.5322815,1.24699,0.1686098,-1.544034,5.731857,4.014558,4.432209
0.6452649,1.249689,0.1568487,-1.544735,12.83724,6.137429,5.458347
0.7473036,1.252163,0.1454026,-1.544047,19.2469,8.039695,5.628167
0.8575151,1.253653,0.1326531,-1.538362,24.78212,8.841211,5.516939
0.9697384,1.252461,0.1147415,-1.530506,33.26312,7.391556,4.23634
1.07027,1.252118,0.1054768,-1.52005,36.64507,6.100897,3.108683
1.170753,1.251829,0.1035695,-1.512426,36.82726,5.460494,2.466495
1.271022,1.251813,0.106182,-1.510911,35.50514,5.309531,2.491306
1.371255,1.253738,0.1109639,-1.516222,33.75382,7.123674,3.891834
1.471915,1.262952,0.1186976,-1.524777,30.34669,14.08083,7.031495
1.571951,1.280178,0.1275491,-1.536723,26.0876,26.34899,11.77072
1.672635,1.297407,0.1350569,-1.549359,22.33488,38.34596,14.23161
1.772755,1.309795,0.1405766,-1.560026,19.67638,46.13897,14.39909
1.874211,1.315919,0.1445296,-1.565458,17.89429,48.65985,13.59805
1.985857,1.315054,0.1479236,-1.564056,16.39098,45.88074,11.89227
2.099292,1.302568,0.1465995,-1.553583,17.64482,35.49165,8.950521
2.199366,1.284329,0.1449889,-1.541405,18.8089,22.60758,5.602766
2.299904,1.265068,0.14649,-1.531709,17.91096,10.46253,2.524686
2.400093,1.248408,0.1485007,-1.527887,16.58215,1.405651,1.147657
2.500439,1.236763,0.1479342,-1.527439,16.81861,-3.702362,0.2436883
2.600734,1.23356,0.1473749,-1.52797,17.03298,-3.903229,0.8231013
2.700925,1.240395,0.1465097,-1.528189,17.50303,1.928505,3.135887
2.801765,1.255072,0.1472787,-1.529086,17.03153,11.79453,5.8748
2.901845,1.271613,0.1479297,-1.532718,16.71833,21.92887,7.75181
3.002635,1.287323,0.1486854,-1.538725,15.91926,31.50986,9.258416
3.115107,1.300727,0.149268,-1.546278,15.38856,40.21407,10.26605
3.226955,1.308626,0.1498732,-1.551912,14.95436,45.77883,10.09502
3.327682,1.313955,0.1512576,-1.557393,14.17015,50.8282,9.961835
3.439793,1.318013,0.1528119,-1.564077,13.14177,56.86488,10.55051
3.540268,1.318628,0.1533646,-1.566793,12.7311,59.56699,10.89923
3.640352,1.317163,0.1530936,-1.566348,13.10768,59.12223,10.59808
3.7406,1.313706,0.1519232,-1.561302,13.69416,55.88173,10.34221
3.840962,1.307241,0.1473749,-1.553533,16.53072,49.53411,9.201149
3.941646,1.299138,0.1440688,-1.543864,18.16668,41.91776,8.259918
4.041852,1.289417,0.1411279,-1.534701,19.64289,33.98251,7.311493
4.142137,1.279195,0.1329312,-1.528352,23.44436,26.57108,6.47844
4.242249,1.272575,0.1227337,-1.522845,27.89985,21.8457,6.924276
4.343194,1.269107,0.1177279,-1.516146,29.97416,19.23451,7.150789
4.45497,1.265679,0.11763,-1.50972,29.38942,15.98882,6.477275
4.555645,1.26334,0.1229321,-1.508075,27.51129,13.83601,6.110312
4.667905,1.262381,0.1402105,-1.512838,19.3953,12.60865,4.859675
4.768446,1.262836,0.1569562,-1.524864,11.48698,13.22865,4.253678
4.868818,1.265041,0.1699161,-1.539153,5.508607,15.90671,4.280658
4.968876,1.266913,0.1811887,-1.551847,-0.1957397,18.26572,3.7046
5.068948,1.267031,0.1838739,-1.55796,-1.595093,19.43778,3.420003
5.169614,1.26683,0.1791619,-1.55653,0.993451,19.81149,2.963843
5.27072,1.267539,0.1700832,-1.547714,5.914242,19.90694,3.220862
5.383628,1.25963,0.16723,-1.531834,7.503704,12.71703,1.464
5.483908,1.247425,0.1684259,-1.521753,5.705457,3.871742,0.2926179
5.595928,1.23294,0.1684493,-1.519942,5.35073,-4.90799,-0.02105713
5.696842,1.220719,0.1651545,-1.523428,7.245101,-11.83096,-1.064758
5.807655,1.213794,0.1625248,-1.52704,8.417116,-14.06842,-0.9664307
5.90828,1.213668,0.1643326,-1.527804,7.495107,-12.0025,0.2460343
6.008729,1.221221,0.1629956,-1.530234,8.399601,-6.841217,1.952546
6.110047,1.234416,0.1592873,-1.533461,10.93467,1.684111,3.317026
6.222244,1.253038,0.1595675,-1.538471,11.00534,13.66473,5.424211
6.322849,1.265526,0.1596328,-1.543771,10.85654,21.83363,6.797924
6.435884,1.274739,0.1546345,-1.549109,13.88655,27.79393,7.222161
6.548048,1.282097,0.1442154,-1.554709,19.86632,33.53944,8.175162
6.649069,1.289831,0.1404243,-1.556981,21.40585,40.01362,10.05072
6.761262,1.295393,0.1403913,-1.555691,21.0239,45.00544,11.49937
6.86189,1.296354,0.1359006,-1.554236,22.56873,45.91835,11.51985
6.961902,1.295606,0.1229777,-1.552854,28.77942,45.68279,11.57048
7.06214,1.297631,0.1160634,-1.547459,31.83889,44.97184,12.06128
7.163381,1.29932,0.117145,-1.540272,31.10019,43.20779,11.28229
7.274869,1.299771,0.1320308,-1.532123,23.77979,39.28598,8.976103
