InteractionNumber,ElapsedTime,SplitTime,missCount
0,0.8376465
1,1.389587,0.5519409
2,2.430298,1.04071
3,3.332642,0.9023438
4,3.883881,0.551239
5,4.998749,1.114868
6,5.925934,0.9271851
7,6.65332,0.7273865
8,7.216644,0.563324
9,8.33255,1.115906
10,8.908569,0.5760193
11,9.535065,0.6264954
12,10.26144,0.7263794
13,11.11368,0.8522339
14,12.6048,1.491119
15,13.21893,0.6141357
16,13.87128,0.6523438
17,14.44681,0.575531
18,15.11118,0.6643677
19,15.81299,0.7018127
20,16.47693,0.6639404
21,17.15433,0.6773987
22,17.84189,0.687561
23,18.87033,1.028442
24,19.29599,0.4256592
25,20.09793,0.8019409
26,20.9213,0.8233643
27,21.42554,0.5042419
28,22.19019,0.7646484
29,22.91718,0.7269897
30,23.93198,1.014801
31,24.58337,0.6513977
32,25.9877,1.404327
33,26.91434,0.9266357
34,27.36499,0.4506531
35,28.00446,0.6394653
36,29.25739,1.25293
37,29.90906,0.6516724
38,30.57339,0.6643372
39,31.31201,0.7386169
40,32.11401,0.802002
41,32.93082,0.816803
42,33.89371,0.9628906
43,34.56985,0.6761475
44,35.00873,0.4388733
45,35.8855,0.87677
46,36.92554,1.040039
47,38.12881,1.203278
48,38.79279,0.6639709
49,39.43167,0.6388855
50,40.53253,1.100861
51,41.19711,0.6645813

time,posX,posY,posZ,rotX,rotY,rotZ
0.1060794,0.06074256,0.01987905,0.004125464,-3.366577,1.313637,1.334964
0.2064951,0.05860798,0.01990853,0.002220664,-2.478424,-0.5733032,1.450003
0.3185028,0.05778766,0.02035141,0.000468767,-2.388947,-1.587769,1.21016
0.4300435,0.05833927,0.02002811,-0.0002093099,-2.097321,-1.563202,1.303246
0.5306717,0.05867927,0.01459238,0.0001211293,1.053043,-1.165314,1.873304
0.6307091,0.05859566,0.00748886,0.00193879,5.189192,-0.7409973,2.229553
0.7313568,0.06008407,-0.002054862,0.005631851,10.54332,0.6788008,2.657415
0.8314573,0.06310327,-0.01749665,0.01081594,18.50654,3.025417,2.454053
0.931952,0.0647217,-0.02838232,0.01802832,23.78623,3.871361,2.592026
1.032142,0.06754111,-0.03277083,0.0257493,25.24253,5.255583,2.85238
1.132827,0.0702401,-0.03038483,0.03081286,23.68324,6.367693,2.738092
1.233515,0.07111903,-0.01990425,0.03176823,18.22012,5.948648,2.046906
1.333755,0.07298046,-0.0002766923,0.02751045,7.863926,6.710587,2.262171
1.445858,0.07468099,0.01302498,0.0188353,0.6426172,7.895779,1.964953
1.547339,0.07516313,0.01546719,0.01042097,-0.3790283,8.462775,1.60742
1.660053,0.07299895,0.009982037,0.007804148,2.842839,7.577254,0.7461576
1.761006,0.06438956,0.001801263,0.01279326,7.642936,3.128181,0.789781
1.872643,0.04597934,0.0004167625,0.01932676,8.255199,-5.857422,-0.02410889
1.973656,0.02409228,-0.004291893,0.01993574,10.21224,-15.53485,0.01027379
2.085233,0.02119397,-0.008573791,0.02283101,11.9705,-11.74817,2.672466
2.18567,0.03459766,-0.008591065,0.02589419,11.57816,-0.3705444,5.534226
2.286771,0.05361553,-0.009917465,0.02484338,12.48058,12.14442,7.940259
2.394612,0.0721513,-0.008942656,0.02259226,11.44573,21.92348,8.788854
2.499544,0.08529577,-0.009546083,0.02028348,11.56332,27.442,8.830654
2.599971,0.09180526,-0.009845543,0.0213067,11.7458,27.95167,7.931754
2.700434,0.09196268,-0.01201657,0.0233183,13.07736,25.5316,6.786259
2.813003,0.0840966,-0.01560161,0.02541619,15.3774,18.39008,4.15791
2.913258,0.07485665,-0.02207712,0.02462124,19.4476,10.89893,1.571011
3.013736,0.06857952,-0.02690459,0.02536831,21.83246,5.699368,-0.01803589
3.11378,0.06282246,-0.02684616,0.03120455,21.36694,1.2211,-2.149445
3.215397,0.05931357,-0.02597701,0.03606059,20.15033,-0.8618774,-2.422791
3.327033,0.05758987,-0.0298287,0.03790228,21.57857,-1.19577,-1.965881
3.440177,0.05793736,-0.0377489,0.03822627,25.35982,-0.06958008,-1.10376
3.540431,0.05897016,-0.04264739,0.04171449,27.43158,1.589558,-0.4358826
3.652995,0.05691073,-0.04086018,0.04647793,26.41891,0.9348938,-0.6052551
3.753784,0.05433057,-0.02699956,0.05048664,19.24528,0.3660719,-0.4577332
3.865488,0.05430113,-0.006352423,0.0462791,8.790313,1.795329,0.6049282
3.96649,0.05584157,0.005094826,0.03372771,3.598983,4.115992,1.854517
4.079774,0.0576205,0.009953574,0.02380619,1.613036,5.902098,2.276508
4.192528,0.05745687,0.007797639,0.01992695,3.057817,5.803557,1.487792
4.292644,0.05203417,0.002663068,0.02310233,5.933154,1.530941,0.0657681
4.405935,0.04226449,-0.00357343,0.02834082,8.769815,-5.558472,-1.894104
4.517497,0.03140272,-0.01292876,0.03409447,12.99981,-13.09262,-4.20108
4.619576,0.0258511,-0.0177012,0.04082391,14.18024,-16.24316,-4.967163
4.730064,0.02393909,-0.02077189,0.04662509,14.97405,-16.38605,-4.698486
4.830412,0.02325871,-0.02122246,0.050599,14.63349,-15.57315,-3.975952
4.931081,0.0195991,-0.01829319,0.04987668,13.14632,-16.95605,-4.545532
5.043936,0.01240146,-0.01162908,0.04430474,10.3714,-21.50836,-5.621246
5.144382,0.007867616,-0.001001866,0.03550634,5.253264,-24.16199,-4.694794
