InteractionNumber,ElapsedTime,SplitTime,missCount
0,1.326385
1,2.041443,0.7150574
2,2.718048,0.6766052
3,3.407257,0.689209
4,4.271881,0.864624
5,5.487823,1.215942
6,7.229767,1.741943
7,7.881439,0.6516724
8,8.445007,0.5635681
9,10.14929,1.704285
10,10.95065,0.8013611
11,11.68964,0.7389832
12,12.62994,0.9403076
13,13.46967,0.8397217
14,14.00812,0.5384521
15,14.94876,0.9406433
16,15.61163,0.6628723
17,16.439,0.8273621
18,17.00317,0.5641785
19,17.68002,0.6768494
20,18.33063,0.6506042
21,19.14569,0.8150635
22,19.93478,0.789093
23,21.0878,1.153015
24,21.70163,0.6138306
25,22.99194,1.290314
26,24.05722,1.065277
27,24.6091,0.5518799
28,25.08505,0.4759521
29,25.83636,0.7513123
30,26.86447,1.028107
31,27.66605,0.8015747
32,28.30521,0.6391602
33,29.39493,1.089722
34,30.19766,0.8027344
35,30.76138,0.5637207
36,31.51233,0.750946
37,32.17651,0.6641846
38,32.69016,0.5136414
39,33.35434,0.6641846
40,33.93118,0.5768433
41,34.63281,0.7016296
42,35.2962,0.6633911
43,36.03635,0.7401428
44,36.58771,0.5513611
45,37.76578,1.17807
46,38.89255,1.12677
47,39.48242,0.5898743
48,40.00882,0.5263977
49,40.65945,0.6506348
50,41.31116,0.6517029

time,posX,posY,posZ,rotX,rotY,rotZ
0.1070942,0.0001766793,-0.02831857,-0.01422096,-0.2775269,-11.97952,3.024782
0.207806,-0.0005796319,-0.02813505,-0.01490776,-0.3163452,-12.34354,3.096099
0.3189719,-0.00146388,-0.02697236,-0.0155194,-0.9512634,-12.62488,3.124704
0.4301353,-0.00211865,-0.02713738,-0.01587663,-0.7401123,-12.90698,3.314834
0.5306935,-0.002327887,-0.02927063,-0.01562121,0.4324916,-12.8558,3.052736
0.6436097,-0.002286986,-0.03033556,-0.0142914,1.05838,-12.61057,3.049211
0.7443348,-0.002466136,-0.03164372,-0.01273495,1.641821,-12.53662,3.000994
0.8571812,-0.003093662,-0.0333283,-0.01158702,2.426778,-12.95425,2.950585
0.9695119,-0.005033292,-0.03715396,-0.01102432,4.724743,-14.09784,2.708861
1.070063,-0.00931029,-0.04482902,-0.009725982,9.337861,-16.64578,1.575799
1.171233,-0.01587161,-0.05196923,-0.005988327,13.23536,-20.11798,0.4546196
1.284077,-0.02283213,-0.06193047,-0.000674841,17.91533,-22.51971,0.426763
1.38558,-0.02932845,-0.07020783,0.004982268,21.44685,-23.65683,0.2551632
1.496632,-0.03528568,-0.07688356,0.00990841,24.12201,-24.30756,-0.006530762
1.596805,-0.03911899,-0.07951809,0.01449841,24.86318,-23.13242,1.0791
1.697057,-0.04070112,-0.07886155,0.01576642,24.30547,-21.67981,1.764904
1.797534,-0.03434538,-0.0766703,0.01585937,23.29348,-16.4111,4.173592
1.897604,-0.01913983,-0.07285529,0.01799942,21.18872,-5.911438,7.976892
2.000417,-0.0002885684,-0.06903929,0.0195448,18.98324,4.713648,10.68949
2.110297,0.01401034,-0.06710229,0.02068157,17.63516,11.79402,11.67819
2.211153,0.02524224,-0.06522463,0.02179303,16.25619,16.64159,11.63756
2.324191,0.03266664,-0.06509434,0.02192245,16.01832,18.88814,11.28412
2.424553,0.03277307,-0.06768561,0.02293295,17.55494,16.70697,10.194
2.537869,0.02445775,-0.07046033,0.02484067,19.27375,9.472962,7.285575
2.63807,0.01111419,-0.07163896,0.02697037,20.17412,-0.4552917,3.658713
2.749721,-0.00360434,-0.07102039,0.02763574,19.61212,-10.22116,0.4056308
2.853055,-0.0169832,-0.07107952,0.02545942,19.55913,-18.13226,-2.454407
2.963612,-0.02631495,-0.07158814,0.02335836,19.68304,-22.47171,-3.777527
3.076334,-0.02898838,-0.07257931,0.02257201,20.31313,-21.58594,-2.770447
3.177205,-0.02298877,-0.07319082,0.02516917,20.67281,-15.83313,0.1591609
3.280478,-0.01100071,-0.07244294,0.02801371,20.12669,-6.434448,4.325805
3.388987,0.002622802,-0.07193179,0.02908649,19.58561,2.676767,7.822342
3.502132,0.01418126,-0.06964523,0.02890121,18.15659,9.091113,9.262492
3.612655,0.0218977,-0.06855407,0.02734169,17.61221,12.14717,9.520461
3.712774,0.02492261,-0.06815008,0.02736295,17.45472,11.89619,8.597178
3.81403,0.02625201,-0.06732818,0.02764353,17.28569,10.86214,7.769638
3.91464,0.02735407,-0.06518921,0.02794396,16.37703,10.36644,7.290102
4.025832,0.0278917,-0.06337962,0.02703475,15.64709,10.16862,7.272649
4.127001,0.02734999,-0.06127477,0.0251784,14.84028,9.430579,6.42605
4.239959,0.02615601,-0.05781554,0.02311202,13.38837,7.938711,5.20116
4.340569,0.02156964,-0.05374265,0.02029125,11.73026,4.203316,3.706448
4.453022,0.0111782,-0.0505413,0.01658017,10.31658,-3.229462,1.884222
4.553527,0.0008293167,-0.05073636,0.01258464,10.77034,-10.29037,0.201607
4.653953,-0.005085833,-0.05240192,0.01194453,11.74819,-12.89914,-0.2395325
4.754158,-0.004450978,-0.05257198,0.01435357,11.84364,-10.54007,0.6597726
4.854961,0.003856,-0.05270956,0.01674327,11.71592,-3.095612,3.305329
4.9671,0.01456439,-0.05460269,0.01602679,12.35258,4.856622,6.117404
5.080365,0.02389198,-0.05622655,0.0148242,13.10988,10.98912,8.499819
5.181643,0.03084014,-0.05571494,0.01535263,12.41721,15.0037,9.070924
5.293325,0.03679636,-0.05654052,0.0157116,12.61629,18.08464,9.735184
5.40558,0.03956123,-0.05578461,0.01644094,12.03168,19.08637,9.319746
5.506261,0.03809465,-0.0558664,0.01594843,12.29564,17.69564,8.382075
5.606447,0.04156556,-0.05334075,0.01371492,10.94583,20.19446,8.363795
5.706712,0.05313743,-0.05259548,0.008126287,10.04386,28.72122,10.29225
