InteractionNumber,ElapsedTime,SplitTime,missCount
0,0.8633156
1,1.42873,0.5654144
2,2.192516,0.7637863
3,2.806564,0.614048
4,3.445976,0.6394119
5,4.135929,0.6899529
6,5.201641,1.065712
7,5.765186,0.5635452
8,6.378357,0.6131706
9,7.431549,1.053192
10,8.070076,0.6385269
11,8.534084,0.4640083
12,9.260197,0.7261124
13,10.10018,0.8399849
14,11.16614,1.065956
15,11.95475,0.7886162
16,13.31992,1.365162
17,13.90905,0.5891304
18,14.98702,1.077976
19,15.53766,0.5506401
20,16.06481,0.5271492
21,16.6908,0.6259842
22,17.34243,0.6516304
23,17.83128,0.4888496
24,18.68362,0.8523407
25,19.33452,0.6509056
26,19.93578,0.6012573
27,20.5518,0.6160202
28,21.23917,0.6873665
29,22.05394,0.8147697
30,22.76788,0.7139435
31,23.35654,0.5886612
32,24.47204,1.115498
33,25.3866,0.9145584
34,26.32651,0.9399109
35,27.0402,0.7136917
36,27.82995,0.7897491
37,28.44403,0.6140823
38,29.146,0.7019653
39,30.36127,1.215279
40,31.06292,0.7016449
41,31.57627,0.5133514
42,32.6791,1.102829
43,33.30594,0.6268387
44,33.84491,0.5389709
45,34.49585,0.6509399
46,35.13571,0.6398621
47,35.68675,0.5510406
48,36.32587,0.6391144
49,37.55386,1.227997
50,38.26804,0.7141724
51,38.87058,0.6025467

time,posX,posY,posZ,rotX,rotY,rotZ
0.1072497,-0.01471881,0.01676497,-0.04332939,-0.1954651,-1.416656,3.765106
0.2190567,-0.01516566,0.01662823,-0.04319499,-0.1037903,-1.462158,3.8586
0.3308786,-0.0153042,0.0165118,-0.0429366,-0.02999878,-1.42923,3.803009
0.4309752,-0.01519394,0.01581974,-0.04274837,0.3838237,-1.325165,3.624445
0.5370789,-0.01461695,0.01348975,-0.04238031,1.673792,-1.050903,3.554961
0.6448145,-0.01311497,0.007854491,-0.04199267,5.003025,-0.2861023,3.07519
0.7575618,-0.01042981,-0.001372758,-0.0394064,10.20759,1.031981,3.126195
0.8577749,-0.007569391,-0.0135059,-0.03305623,16.50742,2.327973,3.554653
0.957853,-0.006427514,-0.02301916,-0.02534554,21.89795,2.518222,3.209405
1.058233,-0.006423485,-0.02937545,-0.01698742,24.2925,2.06319,3.134351
1.15879,-0.007567797,-0.03131422,-0.01379899,25.43567,1.360506,2.726054
1.270901,-0.008769576,-0.02240077,-0.01462923,21.17985,1.020795,2.238364
1.370961,-0.009395152,-0.005629807,-0.01944099,12.70935,1.337333,2.396923
1.471578,-0.008995458,0.01497761,-0.02894475,1.506157,2.482644,2.76177
1.571684,-0.007945385,0.02483142,-0.04101836,-4.282623,3.385804,2.644171
1.672956,-0.007138427,0.02569841,-0.04839218,-4.770172,3.777375,2.196603
