InteractionNumber,ElapsedTime,SplitTime
1,0.9137917
2,1.770691,0.8568993
3,2.776493,1.005802
4,4.433216,1.656723
5,5.18581,0.752594
6,6.290379,1.104568
7,7.179352,0.8889732
8,7.818363,0.6390114
9,10.37554,2.557178
10,11.89143,1.515888
11,13.545,1.653572
12,15.44926,1.904259
13,17.02778,1.578522
14,17.93077,0.9029922
15,19.03262,1.101845
16,20.01109,0.9784698
17,21.5646,1.553513
18,22.57904,1.014442
19,23.35833,0.7792816
20,24.83458,1.47625
21,26.23795,1.403374
22,27.25378,1.015831
23,28.50722,1.253441
24,29.1587,0.6514816
25,30.19795,1.039246
26,31.25077,1.052818
27,33.86946,2.61869
28,36.21303,2.343575
29,37.01171,0.7986755
30,38.7406,1.728897
31,39.58062,0.8400192
32,41.49971,1.91909
33,42.10374,0.6040268
34,42.77967,0.6759262
35,45.59282,2.813148
36,46.8768,1.283981
37,48.15525,1.278458
38,49.62135,1.466095
39,50.71173,1.090385
40,52.3147,1.602966
41,53.73147,1.416771
42,54.84615,1.114677
43,56.14974,1.303589
44,57.52835,1.378609
45,58.35617,0.8278198
46,59.40961,1.053444
47,63.25528,3.845673
48,63.99419,0.7389069
49,65.58521,1.591015
50,67.64165,2.056442
51,68.50519,0.8635406
52,70.51004,2.004852
53,71.26071,0.7506714
54,72.11453,0.8538208
55,72.97914,0.8646088
56,73.90672,0.9275818
57,74.73268,0.8259583
58,76.3007,1.568024
59,77.74155,1.440842
60,79.13898,1.39743
61,79.84323,0.7042542
62,81.21054,1.36731
63,83.56679,2.356247
64,86.13496,2.568176
65,86.87614,0.7411804
66,88.68027,1.804123
67,89.3183,0.638031
68,90.57207,1.253769
69,91.17352,0.6014557
70,92.08855,0.9150238
71,92.91443,0.825882
72,94.14343,1.229004
73,95.64709,1.503662
74,96.77431,1.127213
75,98.40297,1.628662
76,100.3083,1.90538
77,101.3228,1.014435
78,102.1499,0.8270874
79,102.9414,0.7914886
80,104.0669,1.125504
81,105.0572,0.9903107
82,105.984,0.9268646
83,107.4132,1.429153
84,108.203,0.7898102
85,110.2191,2.016098
86,112.2243,2.005249
87,112.9149,0.690567
88,113.8151,0.9002228
89,115.0061,1.19101
90,116.3442,1.338058
91,117.4966,1.15239
