InteractionNumber,ElapsedTime,SplitTime
1,0.8000755
2,1.940022,1.139946
3,3.832962,1.892941
4,5.424335,1.591373
5,6.43932,1.014984
6,8.3909,1.95158
7,9.346428,0.9555283
8,13.1445,3.798069
9,14.18473,1.04023
10,14.88662,0.7018929
11,16.25235,1.36573
12,17.46728,1.214931
13,18.132,0.6647186
14,18.69577,0.5637741
15,19.41005,0.7142715
16,20.52515,1.115108
17,21.10185,0.5766983
18,23.00671,1.904861
19,23.85887,0.8521576
20,24.9119,1.053032
21,25.67548,0.7635727
22,26.42853,0.7530518
23,28.29508,1.866554
24,28.94664,0.6515579
25,30.01228,1.065643
26,31.37827,1.36599
27,32.50618,1.127907
28,33.40833,0.9021454
29,34.62401,1.215683
30,36.86727,2.243263
31,38.01977,1.152496
32,39.93726,1.917488
33,41.87888,1.941628
34,43.28337,1.404488
35,44.24826,0.9648895
36,45.50145,1.253189
37,46.94261,1.441162
38,49.14776,2.205147
39,50.05016,0.9023972
40,52.54416,2.494003
41,53.47099,0.9268265
42,54.76186,1.290871
43,55.52724,0.7653885
44,56.19179,0.6645432
45,56.97994,0.7881546
46,57.7439,0.7639542
47,59.24909,1.505196
48,60.53949,1.290398
49,61.2039,0.6644058
50,62.36941,1.165512
51,63.48533,1.115921
52,64.42509,0.9397659
53,65.12645,0.701355
54,66.04055,0.9141006
55,66.85529,0.8147354
56,68.32192,1.466637
57,70.46537,2.143448
58,72.04399,1.578621
59,72.55695,0.5129623
60,73.57252,1.015564
61,75.79081,2.218292
