InteractionNumber,ElapsedTime,SplitTime,missCount
0,1.566406
1,2.669266,1.102859
2,3.709358,1.040092
3,4.900635,1.191277
4,6.216408,1.315773
5,6.778549,0.5621414
6,8.220291,1.441742
7,9.386528,1.166237
8,10.75208,1.365555
9,11.60503,0.852951
10,12.85766,1.252625
11,13.53462,0.6769638
12,14.7112,1.176575
13,16.0505,1.339302
14,17.15429,1.10379
15,17.74372,0.5894318
16,18.97176,1.228043
17,19.68476,0.7129974
18,20.48774,0.8029785
19,21.21449,0.7267456
20,22.14179,0.9273071
21,22.58067,0.4388733
22,23.82104,1.240379
23,25.53959,1.718544
24,26.45213,0.9125443
25,27.254,0.8018646
26,28.15665,0.9026489
27,29.23428,1.077629
28,29.84782,0.6135483
29,30.66238,0.8145599
30,31.85229,1.189911
31,32.57974,0.7274475
32,33.93247,1.35273
33,35.11044,1.177971
34,36.30134,1.190895
35,36.92816,0.6268234
36,37.94247,1.014313
37,38.95747,1.014999
38,39.34505,0.3875809
39,40.24744,0.9023895
40,41.04986,0.8024139
41,41.86437,0.8145142
42,42.80506,0.9406891
43,43.59376,0.7886963
44,44.40804,0.8142853
45,44.95931,0.5512695
46,45.63551,0.6761932
47,46.51322,0.8777161
48,46.98724,0.4740143
49,48.61729,1.630051
50,49.33178,0.7144928

time,posX,posY,posZ,rotX,rotY,rotZ
0.1060794,0.02246379,0.009640811,-0.0220014,-2.092255,-5.243378,1.822114
0.2064951,0.02245149,0.00969515,-0.02232649,-2.138306,-5.350159,1.840666
0.3185028,0.02270459,0.009578009,-0.02243905,-2.070648,-5.262177,1.814785
0.4300435,0.02263546,0.009143988,-0.02217619,-1.76712,-5.187103,1.898434
0.5306717,0.02228409,0.007033971,-0.02207811,-0.4804993,-5.002167,1.948167
0.6307091,0.02167245,0.004059856,-0.0216455,1.395082,-4.636841,2.29065
0.7313568,0.02107115,0.001053964,-0.02088224,3.553736,-4.334839,2.42701
0.8314573,0.0195649,0.004114795,-0.01973848,1.606551,-4.533112,2.31978
0.931952,0.01599669,0.01011849,-0.02103405,-1.390686,-6.312775,2.235469
1.032142,0.01491561,0.02230771,-0.02467496,-8.86795,-7.100647,2.090317
1.132827,0.01327867,0.03628903,-0.03901601,-18.50537,-9.012451,1.949063
1.233515,0.007250637,0.04377371,-0.0543111,-23.52579,-13.33624,3.152935
1.333755,9.574555E-05,0.04728622,-0.0675111,-27.40427,-17.5477,4.99954
1.445858,-0.005349333,0.04526244,-0.0764854,-26.23431,-21.30536,6.379949
1.547339,0.0003803112,0.04413165,-0.07566465,-25.46722,-15.1474,5.308024
1.660053,0.0144147,0.04543302,-0.0704193,-25.86423,-4.190033,2.57469
1.761006,0.02652584,0.04517691,-0.06589993,-25.71259,3.502551,0.8950766
1.872643,0.03164271,0.04472142,-0.06163498,-25.20444,5.537724,0.2693875
1.973656,0.03102387,0.04332194,-0.05714398,-24.3996,3.211846,0.9115524
2.085233,0.02924125,0.04654163,-0.05379623,-27.18762,0.7884998,1.108647
2.18567,0.02680957,0.04390362,-0.05278116,-27.29395,-0.0798645,1.541171
2.286771,0.02355031,0.0370385,-0.04729355,-22.08521,-0.5247192,2.243736
2.394612,0.01972837,0.02676741,-0.03765524,-15.21344,-1.238708,2.755385
2.499544,0.01612566,0.0179325,-0.02656238,-8.705017,-2.06955,2.834833
2.599971,0.01170861,0.01198593,-0.01471259,-4.454926,-3.346527,3.545957
2.700434,0.00942558,0.01198407,-0.004045823,-4.384033,-2.921509,4.991371
2.813003,0.01330129,0.01173912,-0.0003950407,-4.643127,1.104764,5.871941
2.913258,0.01909504,0.01244239,-0.001447347,-5.170349,6.062693,6.097244
3.013736,0.02293833,0.01294655,-0.005427279,-5.582642,8.693368,5.619037
3.11378,0.02353292,0.0116129,-0.007998745,-4.458435,8.705997,5.174244
3.215397,0.03033204,0.01181993,-0.01091197,-4.334076,13.24506,6.333488
3.327033,0.04197304,0.00880142,-0.01531336,-2.463715,21.28585,6.44894
3.440177,0.05427191,0.005371162,-0.01846919,0.08440794,28.62769,6.438953
3.540431,0.06627607,0.003548455,-0.01788696,1.237519,34.87626,6.323726
3.652995,0.07166649,0.006992512,-0.01371685,-0.625946,35.74628,5.557751
3.753784,0.07050274,0.01343413,-0.008903904,-4.466278,32.5102,4.65616
3.865488,0.06734426,0.01817768,-0.006989051,-7.272797,28.6731,4.120788
3.96649,0.06432901,0.02187849,-0.008309671,-9.712891,26.0048,3.461389
4.079774,0.06268766,0.02257585,-0.01145767,-9.832306,25.25578,2.813344
4.192528,0.06406657,0.01969552,-0.01379836,-8.072266,27.61084,3.021162
4.292644,0.06125951,0.01748643,-0.01460566,-6.070374,25.94851,2.773457
4.405935,0.05238765,0.01423648,-0.01496552,-4.449432,19.69735,1.967284
4.517497,0.04140047,0.007497186,-0.01465065,-0.5542908,11.65058,1.683523
4.619576,0.03201865,0.00472891,-0.01245657,1.491906,4.436682,1.569095
4.730064,0.02475986,0.005389798,-0.0111039,1.583472,-1.353455,1.201099
4.830412,0.02036816,0.01498351,-0.01111807,-3.872803,-4.422394,0.8363079
4.931081,0.01774896,0.03061007,-0.01559203,-13.65891,-6.08078,0.3960245
5.043936,0.01686028,0.04149924,-0.02394005,-21.94873,-7.206116,0.2780608
5.144382,0.01446072,0.0493602,-0.03392131,-27.76828,-9.016571,0.3374272
5.244456,0.01030876,0.048365,-0.0404596,-27.20261,-11.69077,1.321958
5.344903,0.006159183,0.04540072,-0.04234349,-24.97095,-13.17813,1.807202
5.458693,0.004423096,0.0444137,-0.04088965,-24.82578,-12.19492,3.719065
5.569527,0.008640408,0.04193151,-0.03739939,-22.98322,-5.698608,4.453096
5.669925,0.01636966,0.04237165,-0.03314061,-23.49097,2.830309,3.701738
5.770209,0.02264095,0.04015191,-0.02946948,-22.05267,8.933572,3.446254
5.870483,0.0295909,0.03277728,-0.02342682,-16.8985,13.27528,2.926421
5.971332,0.03725046,0.02377271,-0.01072523,-11.25809,16.45378,2.65493
6.071508,0.03840227,0.02090386,0.0006423444,-9.378082,14.89385,2.21228
6.172493,0.03560456,0.01811382,0.0092024,-7.539612,11.06175,1.370147
6.284375,0.03144073,0.01480598,0.01503653,-6.281891,6.867402,0.9536679
6.385222,0.02650797,0.01084808,0.01761451,-4.296265,3.616327,1.016022
6.497848,0.02277739,0.01117181,0.01785597,-4.419159,2.478288,2.118382
6.609984,0.02046348,0.0117815,0.0169871,-4.578644,1.8686,2.02386
6.710224,0.01281056,0.01204666,0.014281,-4.660339,-3.333771,0.5487508
6.810433,0.002184862,0.01391148,0.009177932,-5.716888,-11.72556,-0.2410278
6.911714,-0.008260667,0.01593906,0.001898009,-6.546478,-20.6955,-0.4030762
7.02473,-0.01536841,0.01713067,-0.003278155,-7.236877,-27.40988,-0.696228
7.125358,-0.01756631,0.01605589,-0.004742127,-6.538788,-29.99124,-0.8092651
7.236443,-0.01254844,0.01589815,-0.001388587,-6.11319,-25.73737,-0.2566528
7.336735,0.0003180001,0.01226312,0.0004975088,-4.286926,-16.98273,1.303827
7.437892,0.0117682,0.01338484,0.0004922919,-4.127441,-7.630402,1.757974
7.549995,0.01940984,0.02086646,-0.002162262,-8.698639,-1.369873,1.984042
7.662684,0.02206061,0.029137,-0.008124567,-14.27887,1.647506,1.20737
7.763364,0.020899,0.03504673,-0.01494772,-17.78445,2.822652,0.6155149
7.863976,0.01456408,0.0397007,-0.02185229,-20.88086,2.544499,-2.054932
7.976834,0.001955573,0.04243913,-0.02932555,-23.20679,-1.183716,-0.6057739
8.077066,-0.007599842,0.04472926,-0.03550925,-24.92007,-1.578369,0.9165514
8.189127,-0.007590681,0.04477146,-0.03803435,-25.39301,3.823638,0.6611901
8.301895,-0.0006849235,0.0433416,-0.03866896,-24.06265,12.9493,-0.9191895
8.40232,0.008410899,0.04297288,-0.03923093,-23.96869,21.25584,-2.195557
8.514792,0.01671065,0.04310277,-0.03998342,-23.94287,26.63971,-2.77002
8.615388,0.02172197,0.04228242,-0.03858397,-23.06448,27.01617,-3.202332
8.715446,0.0223915,0.04089179,-0.03380521,-21.90186,23.05349,-2.391144
8.816185,0.01800411,0.0446676,-0.02925351,-25.46042,17.23288,0.3221758
8.928591,0.01414828,0.04257856,-0.02879046,-25.27966,12.46768,1.969294
9.029009,0.01182155,0.03721151,-0.0267205,-20.48831,8.820668,2.326616
9.12989,0.01114399,0.03103312,-0.02183595,-16.71835,6.63044,2.524531
9.233171,0.01095766,0.02599397,-0.01597947,-13.63229,5.732839,3.028736
9.340024,0.01196213,0.02381597,-0.01009269,-12.5137,6.729319,4.984416
9.441676,0.01522225,0.02243228,-0.004549365,-11.86105,10.04244,6.338983
9.542012,0.01885692,0.02164712,-0.002032115,-11.71011,13.50587,7.059863
9.643198,0.02252089,0.02074345,-0.001486205,-11.4071,16.9029,7.408647
9.743558,0.02516351,0.0200326,-0.002470662,-10.87277,19.82857,7.645242
9.855754,0.02298155,0.02015723,-0.001084409,-11.04996,18.7576,7.2668
9.956687,0.01671249,0.01754666,0.0009168079,-9.08551,13.90005,7.044987
10.06797,0.01265846,0.004543429,0.004104478,-0.2170715,9.489923,6.961718
10.16816,0.01636709,-0.002883275,0.01082687,3.744942,10.30891,7.481077
10.26841,0.02569132,-0.002221125,0.01594988,3.446146,15.6416,9.127295
10.36841,0.02708993,0.009169599,0.01631946,-2.332581,15.82806,7.22666
10.46889,0.01930627,0.02101166,0.01081791,-9.539886,10.55529,5.441252
10.56914,0.01016409,0.03213146,-0.001396782,-15.80042,5.737231,5.086521
10.66946,0.002838404,0.04273628,-0.01662807,-22.82828,2.620427,4.77401
10.76989,-0.001169431,0.04519046,-0.02899141,-24.21674,1.462214,5.126182
10.87036,0.006201184,0.04609926,-0.03608813,-24.94891,7.904901,4.201241
10.9834,0.01762633,0.04651741,-0.04000705,-24.75409,16.30261,2.561232
11.09677,0.02626623,0.04737655,-0.04472183,-25.24933,21.56811,1.562384
11.20882,0.02863272,0.04468409,-0.04462661,-23.71472,21.54116,1.291313
11.30945,0.02501589,0.04575825,-0.04029908,-24.62146,16.93994,1.769865
11.42196,0.01520672,0.04402958,-0.03638326,-24.68524,9.057155,2.926854
11.52335,0.003636155,0.04230242,-0.03260539,-23.4761,0.9831339,4.617471
11.62358,-0.006402562,0.03730154,-0.02900876,-21.24957,-5.122162,6.041256
11.73475,-0.01276211,0.03044041,-0.02493341,-16.39423,-8.423584,6.188698
11.83583,-0.01772061,0.02249806,-0.02045378,-11.34232,-11.50229,5.486745
11.93648,-0.02082884,0.01864241,-0.01578105,-9.560181,-13.75339,5.594546
12.04827,-0.01973496,0.01915798,-0.01297249,-9.416687,-13.53918,6.008259
12.16122,-0.01224478,0.02137141,-0.01202445,-11.05304,-9.62616,5.871352
12.26141,-0.001147669,0.02596787,-0.01411582,-13.3808,-4.201202,4.920366
12.37385,0.009161141,0.03391882,-0.02290455,-18.87857,0.7610747,3.604271
12.47468,0.01310316,0.04336141,-0.03787414,-25.99692,2.744713,2.59719
12.58633,0.01319386,0.04745933,-0.04909189,-29.02094,3.291881,2.483474
12.68768,0.009355001,0.0482922,-0.05468639,-30.15662,2.923258,2.538683
12.80028,0.002394524,0.04829549,-0.05786554,-30.61148,1.753176,3.646088
12.90072,1.588836E-05,0.04754751,-0.05763557,-30.28552,4.045959,3.286513
13.00094,0.00191744,0.04715713,-0.05583728,-30.47955,8.577022,2.463695
13.11368,0.005507696,0.04582576,-0.05284138,-29.73257,13.43936,1.805349
13.22616,0.01165492,0.04287658,-0.04852201,-27.33963,16.72927,1.215118
13.3392,0.01775338,0.0390623,-0.04215375,-23.79034,17.81481,1.001196
13.43936,0.01620597,0.03656984,-0.03146835,-20.88367,12.20246,1.037519
13.54031,0.009061474,0.03711506,-0.02397837,-21.0011,2.990749,1.473606
13.65214,0.002818491,0.03697277,-0.02146137,-20.74988,-5.491943,1.601578
13.75217,0.000919085,0.03600946,-0.02107974,-19.38412,-9.880829,1.039117
13.85361,0.001942345,0.0363944,-0.02022935,-19.1311,-11.82202,0.576951
13.96504,0.003196726,0.03527137,-0.01998534,-18.53973,-12.86978,0.2933663
14.0778,0.001149843,0.03283892,-0.01870057,-16.60239,-15.04727,0.5378112
14.17832,0.003660288,0.03166194,-0.0142524,-16.02719,-12.31274,2.826991
14.29081,0.01267845,0.03252061,-0.009881233,-16.5899,-3.464233,3.953707
14.39142,0.02192137,0.03670638,-0.009450812,-19.8533,5.857333,4.357805
14.492,0.02867359,0.0432982,-0.01364231,-24.30923,13.88927,4.037684
14.59217,0.03170551,0.04240219,-0.01981729,-24.80368,18.27401,3.994666
14.69305,0.03438171,0.03652625,-0.0227876,-20.06381,20.36708,3.460099
14.80567,0.03698239,0.03006647,-0.02092835,-15.17944,20.82615,3.576483
14.91747,0.03844694,0.02345221,-0.01520654,-10.8847,21.07113,4.134704
15.01805,0.03826131,0.0196408,-0.007570591,-8.955353,20.89644,4.59276
15.11826,0.03722914,0.01640395,0.001340139,-7.22583,20.42548,5.697086
15.21851,0.03591067,0.01696356,0.005559466,-8.066925,19.99566,5.762505
15.33053,0.03362732,0.01306875,0.00225418,-5.59024,19.25973,3.147732
15.43109,0.02887985,0.01611076,-0.0005728304,-6.421356,13.12487,0.2868704
15.53111,0.02215782,0.0226613,-0.005244862,-10.36966,6.699733,0.3899001
15.63183,0.01704935,0.02926573,-0.01247875,-14.95764,2.042706,0.2983184
15.73194,0.01673488,0.03542729,-0.02240181,-19.59622,0.3691767,1.053226
15.84478,0.02068146,0.04072281,-0.03220729,-23.67078,0.8480402,0.006563607
15.9454,0.02934036,0.04146782,-0.04118626,-23.51279,3.26866,-3.635986
16.04545,0.03494152,0.04131632,-0.04523296,-23.21606,2.957982,-5.693695
16.14661,0.03481759,0.0405286,-0.04637074,-22.48764,-2.0112,-5.538849
16.25877,0.02703493,0.04081716,-0.04700198,-22.65887,-10.86932,-3.805115
16.37016,0.01933438,0.04177557,-0.0474453,-22.88287,-19.14459,-2.121735
