InteractionNumber,ElapsedTime,SplitTime,missCount
0,0.974144
1,1.602669,0.6285248
2,2.881958,1.279289
3,4.158943,1.276985
4,4.91124,0.7522964
5,6.653625,1.742386
6,8.808441,2.154816
7,9.43502,0.6265793
8,9.999413,0.5643921
9,11.61588,1.616463
10,12.90671,1.290833
11,14.07196,1.165253
12,15.95143,1.879471
13,17.70622,1.754791
14,18.60814,0.9019165
15,19.69862,1.090485
16,20.96448,1.265854
17,22.61613,1.651657
18,23.43227,0.8161316
19,24.09674,0.6644745
20,24.953,0.8562622
21,25.58815,0.6351471
22,26.74141,1.153259
23,27.88182,1.140411
24,29.34872,1.466904
25,30.86591,1.517181
26,31.47896,0.6130524
27,32.118,0.6390381
28,33.24586,1.127869
29,33.95938,0.7135162
30,34.69934,0.7399597
31,35.43848,0.7391357
32,36.53076,1.092285
33,37.81897,1.288208
34,38.54758,0.7286072
35,39.19783,0.6502533
36,40.02586,0.8280334
37,41.51668,1.490814
38,42.24312,0.7264404
39,43.54681,1.303696
40,44.68732,1.140503
41,45.76561,1.078293
42,46.35335,0.587738
43,47.19308,0.8397369
44,47.81015,0.6170654
45,48.45872,0.6485748
46,49.11049,0.6517639
47,49.76286,0.6523743
48,51.04066,1.277802
49,51.73074,0.6900787
50,52.44415,0.7134094

time,posX,posY,posZ,rotX,rotY,rotZ
0.1067051,-0.002204574,-0.006206742,0.009995595,-1.035614,4.590745,3.645967
0.2080924,-0.002087475,-0.006329111,0.01006853,-0.973938,4.554762,3.599491
0.3191446,-0.001885936,-0.006294752,0.01022016,-1.026245,4.566028,3.62918
0.4195659,-0.001585435,-0.006662445,0.01026585,-0.7694397,4.649799,3.543246
0.5203935,-0.001409896,-0.008139239,0.01043564,0.154195,4.838395,3.547691
0.6324407,-0.002051632,-0.01237921,0.01090924,2.682132,4.891839,3.682404
0.7334532,-0.003132883,-0.02021886,0.01205677,7.306426,5.087681,4.446432
0.8338496,-0.005657159,-0.03057465,0.01605528,12.97317,4.950629,5.1296
0.9462282,-0.009745277,-0.04147643,0.02372209,18.51077,4.411561,5.711024
1.059598,-0.01368234,-0.05087157,0.03147114,22.90116,4.063903,6.388849
1.160445,-0.01674709,-0.05751358,0.03874709,25.54161,4.092897,6.71941
1.273236,-0.0181038,-0.05884746,0.04251055,26.30097,4.828158,7.08075
1.38583,-0.01793991,-0.05079271,0.04216094,22.36348,5.633378,7.499171
1.486136,-0.01760668,-0.03633144,0.0380735,15.055,5.912173,7.342381
1.586325,-0.01830916,-0.02223474,0.02913541,8.090674,5.046934,6.331404
1.686867,-0.01821602,-0.01187706,0.01715465,2.987733,4.754022,5.498219
1.787237,-0.01645703,-0.007766068,0.009850086,0.8250205,5.628773,5.121859
1.900079,-0.01389566,-0.009298277,0.007654137,1.636777,6.676542,5.012321
2.000669,-0.01223262,-0.01638321,0.01214135,5.461199,6.905398,5.117512
2.100942,-0.01268509,-0.02527194,0.02154176,10.00495,5.703162,4.638405
2.201372,-0.01444751,-0.03339963,0.03192438,13.95867,3.82849,3.84648
2.301454,-0.01795196,-0.03957569,0.04138701,16.49369,1.298916,2.292624
2.401765,-0.02297846,-0.04097207,0.0455055,16.86723,-1.763062,0.8417935
2.502087,-0.02643825,-0.04125617,0.0446745,16.96012,-3.11972,1.09259
2.603016,-0.02223825,-0.03930465,0.04217771,16.14905,0.7014041,2.520868
2.703542,-0.01111332,-0.0354841,0.03854117,14.33638,8.261111,4.744426
