InteractionNumber,ElapsedTime,SplitTime
1,2.58223
2,3.120056,0.5378265
3,3.910217,0.7901611
4,4.636307,0.7260895
5,6.502739,1.866432
6,8.507858,2.005119
7,9.462311,0.9544525
8,10.75233,1.290024
9,12.41817,1.66584
10,13.63515,1.216972
11,14.26074,0.6255951
12,14.9998,0.7390594
13,16.46687,1.467072
14,19.64843,3.181557
15,20.63818,0.9897537
16,22.94385,2.305664
17,23.99682,1.052971
18,24.83607,0.8392563
19,26.00842,1.17234
20,26.49963,0.4912186
21,27.32771,0.8280792
22,28.2417,0.9139862
23,29.13463,0.8929291
24,30.71393,1.5793
25,32.25416,1.54023
26,32.91814,0.6639862
27,34.172,1.253853
28,35.12268,0.9506836
29,35.83801,0.715332
30,38.04285,2.204842
31,39.20787,1.165016
32,40.61214,1.404274
33,41.22566,0.6135178
34,42.76913,1.543465
35,43.69546,0.9263306
36,45.06078,1.365326
37,46.05145,0.9906616
38,48.19321,2.141769
39,49.21989,1.026672
40,50.022,0.8021088
41,51.87733,1.855339
42,52.71771,0.8403778
43,53.85664,1.138924
44,54.84767,0.9910355
45,55.66152,0.8138504
46,56.47208,0.8105545
47,57.97743,1.505356
48,59.40775,1.430321
49,59.88374,0.4759903
50,61.78941,1.905663
51,62.94161,1.152206
52,64.20844,1.26683
53,65.0976,0.8891602
54,67.25301,2.155411
55,68.39269,1.139679
56,69.25643,0.863739
57,70.73634,1.479904
58,72.1668,1.430466
59,73.1916,1.024796
60,74.09443,0.902832
61,75.0348,0.9403687
62,76.70158,1.666779
63,77.27673,0.5751495
64,78.06889,0.79216
65,78.60973,0.5408478
66,79.39513,0.7854004
67,80.04613,0.651001
68,81.34701,1.300873
69,82.71232,1.365311
70,84.08006,1.367737
71,86.67561,2.595551
72,87.40263,0.7270203
73,88.45481,1.052185
74,89.70699,1.252182
75,91.50039,1.793396
76,92.0136,0.5132141
77,93.34229,1.32869
78,94.16956,0.8272705
79,94.90879,0.7392273
80,96.47442,1.565628
81,97.94001,1.465591
82,98.89437,0.954361
83,100.0728,1.178406
84,102.364,2.291214
85,103.9568,1.592789
86,104.8335,0.8766785
87,106.3997,1.566223
88,107.5025,1.102859
89,108.2668,0.7642365
90,109.0299,0.7631073
91,109.5433,0.5134125
92,110.756,1.212738
93,111.9083,1.152252
94,113.4654,1.557083
95,115.8169,2.351486
96,117.1251,1.308197
97,118.417,1.291916
98,119.5693,1.152298
99,120.4847,0.9154053
100,121.9999,1.515198
101,123.2161,1.216217
