InteractionNumber,ElapsedTime,SplitTime
1,1.671816
1,2.347715,0.6758989
2,3.21339,0.8656752
3,4.442071,1.228682
4,5.895844,1.453772
5,6.497874,0.6020308
6,6.998951,0.5010772
7,8.176169,1.177218
8,8.603098,0.4269285
9,9.104461,0.5013628
10,10.99599,1.891527
11,12.14927,1.153286
12,12.61257,0.4633007
13,13.67855,1.065977
14,14.85604,1.17749
15,15.57074,0.7147007
16,16.77346,1.202722
17,17.82532,1.051851
18,18.42667,0.6013527
19,18.99064,0.5639725
20,19.66712,0.6764832
21,20.45702,0.7898998
22,20.80796,0.3509369
23,21.78512,0.9771614
24,22.63827,0.8531437
25,23.30491,0.666647
26,23.95425,0.6493416
27,24.63028,0.6760235
28,25.23192,0.6016464
29,26.09626,0.864336
30,27.04937,0.9531059
31,27.72534,0.6759758
32,28.77857,1.053228
33,30.19396,1.415388
34,30.79588,0.601923
35,31.42294,0.6270618
36,33.07624,1.653294
37,34.3425,1.266262
38,35.05794,0.7154427
39,35.99699,0.9390526
40,36.7237,0.7267036
41,37.33821,0.6145134
42,37.90205,0.5638351
43,38.59151,0.6894684
44,39.24293,0.651413
45,39.83173,0.5888023
46,40.53368,0.7019463
47,41.26043,0.726757
48,41.68804,0.4276047
49,42.7886,1.100567
50,44.26772,1.479115

time,posX,posY,posZ,rotX,rotY,rotZ
0.1085336,1.223259,0.2175149,-1.285602,-2.532349,-3.156952,5.368896
0.218134,1.221959,0.2174855,-1.284737,-2.509583,-3.43277,5.392811
0.3186882,1.221001,0.2166003,-1.283904,-2.057373,-3.521576,5.559306
0.4192223,1.219354,0.2158063,-1.282387,-1.454926,-3.793091,5.454162
0.5312812,1.210684,0.2153005,-1.282317,-0.9674988,-7.484192,5.193812
0.6317863,1.201071,0.2239625,-1.285109,-6.542175,-11.67462,4.507888
0.731833,1.197606,0.2277018,-1.291327,-9.791687,-12.07022,5.171627
0.8327451,1.189677,0.2315135,-1.295807,-12.05591,-14.9147,5.107243
0.9450372,1.174281,0.2302359,-1.302613,-12.02893,-23.72803,6.404179
1.045125,1.163326,0.2277701,-1.306196,-10.34399,-28.49643,7.876624
1.1455,1.158282,0.2254403,-1.305387,-8.547485,-28.44016,8.617759
1.245885,1.155837,0.2236282,-1.302405,-7.726013,-27.05243,9.503487
1.358209,1.156508,0.2220718,-1.298624,-6.860046,-25.29013,9.360559
1.459218,1.157074,0.2256479,-1.295771,-9.317261,-25.10733,8.508688
1.559385,1.158241,0.2277347,-1.294704,-10.64853,-25.07285,8.383142
1.671816,1.160367,0.2301283,-1.291837,-12.26678,-24.58121,8.165834
1.774745,1.162595,0.2306247,-1.288882,-12.75244,-24.84955,7.290902
1.887489,1.16626,0.2293617,-1.285648,-11.55441,-24.57672,5.831989
2.001312,1.172437,0.2260807,-1.28088,-9.254395,-22.31583,5.093551
2.101843,1.182824,0.2242519,-1.274058,-7.693756,-17.99286,4.500647
2.207227,1.198449,0.2248313,-1.270105,-8.527466,-10.63266,4.479226
2.309213,1.213224,0.2270846,-1.268634,-9.729919,-5.121918,2.975192
2.410043,1.224901,0.2293214,-1.268372,-11.63068,-2.115356,2.146017
2.510922,1.233097,0.2301563,-1.268173,-12.17062,-0.8739929,1.405393
2.624394,1.237535,0.2264417,-1.265956,-10.06195,-1.30307,0.3017904
2.724714,1.235377,0.2215415,-1.262467,-6.78598,-4.017181,0.1379511
2.838406,1.227935,0.2169593,-1.259695,-3.978546,-6.419342,2.118809
2.950105,1.213061,0.2134131,-1.259754,-2.23938,-10.57544,4.063804
3.050313,1.196634,0.2117585,-1.262089,-1.897949,-15.44904,5.608498
3.150503,1.184037,0.2145258,-1.265395,-3.994293,-18.76663,6.430145
3.251326,1.177381,0.2174771,-1.269002,-5.980133,-19.2157,6.810997
3.363955,1.173343,0.2183847,-1.269419,-6.404053,-18.19156,7.231602
3.464798,1.171993,0.2158578,-1.267333,-4.929657,-17.21609,7.361956
3.577211,1.175832,0.2104625,-1.262715,-0.9466553,-14.59836,6.540493
3.689233,1.179579,0.2110655,-1.26085,-1.349548,-14.86124,3.713004
3.790699,1.187786,0.2127385,-1.260049,-2.041138,-13.27017,3.167885
3.903142,1.205624,0.2135462,-1.257915,-2.520905,-6.933746,3.483836
4.003485,1.220207,0.2126808,-1.255932,-1.836975,-2.403839,2.157408
4.103936,1.233584,0.2125753,-1.255069,-1.85202,2.250624,2.352796
4.204531,1.246702,0.2111332,-1.255068,-1.336029,8.149768,2.311919
4.316642,1.254919,0.2109511,-1.254598,-1.44754,11.07935,1.776908
4.417135,1.257266,0.2116806,-1.254431,-1.940094,10.93536,1.240827
4.52892,1.260814,0.2144295,-1.254786,-3.706787,11.67673,1.058281
4.629526,1.262713,0.2166714,-1.255975,-5.20401,11.46424,0.7699488
4.729807,1.26047,0.2157368,-1.256036,-4.430206,9.055866,0.03804925
4.830225,1.251672,0.2169935,-1.255299,-5.427734,3.313154,-0.2879028
4.930687,1.236126,0.2202783,-1.258299,-7.580688,-3.549255,2.225973
5.04322,1.213675,0.2238569,-1.264359,-10.32355,-13.43509,4.870502
5.143904,1.198932,0.2266542,-1.269139,-12.48685,-18.5325,6.408236
5.243934,1.188372,0.2283757,-1.272173,-13.66626,-20.74438,7.114324
5.343969,1.181399,0.226213,-1.272505,-12.27039,-20.87692,7.720352
5.444023,1.179654,0.2240239,-1.269325,-10.64102,-18.535,7.465491
5.544986,1.181165,0.2219211,-1.264938,-9.585175,-15.91711,6.597839
5.657664,1.180001,0.2246195,-1.262541,-11.49057,-15.50937,6.318466
5.761255,1.178994,0.2273719,-1.263496,-13.56714,-15.75015,6.748061
5.871194,1.178118,0.2289293,-1.263011,-14.36636,-16.67148,7.287652
5.971865,1.179713,0.2293766,-1.260669,-14.68796,-16.63367,6.606437
6.084317,1.182666,0.2305564,-1.260352,-16.13501,-15.9111,5.861366
6.196845,1.187451,0.2273179,-1.259666,-14.0322,-14.11365,5.961997
6.296933,1.194203,0.2212036,-1.256217,-9.145081,-10.86758,5.095808
6.397642,1.198854,0.2159099,-1.253306,-5.895172,-9.249969,4.24487
6.497874,1.198984,0.2114147,-1.251307,-3.333008,-9.46701,3.857866
6.610015,1.1945,0.2072807,-1.249789,-0.9354248,-10.7457,4.202978
6.723267,1.187006,0.2064653,-1.25043,-0.8097839,-13.32108,4.484932
6.836207,1.181779,0.2078899,-1.252433,-1.599243,-14.42245,4.86612
6.948751,1.168148,0.2091038,-1.257011,-1.873535,-20.79663,4.210429
7.060754,1.149508,0.2090982,-1.265993,-2.071747,-30.08514,4.500365
7.161289,1.139013,0.2097642,-1.272891,-2.470703,-34.10687,5.438592
7.261764,1.136737,0.2091607,-1.27511,-2.415253,-32.67087,6.396461
