InteractionNumber,ElapsedTime,SplitTime,missCount
0,2.180588
1,2.694321,0.5137329
2,4.172806,1.478485
3,5.689102,1.516296
4,7.631821,1.942719
5,9.686707,2.054886
6,10.42712,0.7404175
7,11.8801,1.452972
8,12.60606,0.7259674
9,13.60907,1.003006
10,14.812,1.202927
11,15.30052,0.4885254
12,16.99197,1.691452
13,18.0688,1.076828
14,18.78372,0.71492
15,20.53793,1.754211
16,21.67886,1.14093
17,22.71811,1.039246
18,23.88385,1.165741
19,24.86128,0.9774323
20,25.90073,1.039444
21,26.86563,0.9649048
22,27.56705,0.701416
23,28.36949,0.8024445
24,29.63385,1.264359
25,30.3233,0.6894531
26,31.78893,1.465622
27,32.45206,0.6631317
28,33.13046,0.6784058
29,34.08151,0.9510498
30,35.07149,0.989975
31,35.79868,0.7271881
32,36.98918,1.190506
33,38.1304,1.14122
34,38.73112,0.6007233
35,39.6835,0.9523773
36,40.20953,0.5260315
37,41.5878,1.378265
38,42.4651,0.8773041
39,43.63068,1.165573
40,44.63249,1.001816
41,45.81052,1.178024
42,46.56294,0.7524261
43,47.15115,0.5882111
44,47.71498,0.5638275
45,48.94337,1.228394
46,49.73416,0.7907867
47,50.60898,0.8748169
48,51.54935,0.9403687
49,52.61449,1.06514
50,53.39127,0.7767792
51,53.99229,0.6010284

time,posX,posY,posZ,rotX,rotY,rotZ
0.1003379,-0.02068811,-0.007959415,-0.01554597,-0.1047058,-6.7966,2.185779
0.204236,-0.02077895,-0.008069449,-0.01505666,-0.08099365,-6.880981,2.344435
0.306657,-0.02090975,-0.008254915,-0.01476069,0.05490152,-6.894531,2.382727
0.4099433,-0.02130419,-0.008412062,-0.01471471,0.1342178,-6.899353,2.500993
0.5103464,-0.02167745,-0.006037844,-0.01460465,-1.246643,-6.654663,2.631329
0.6104094,-0.02324937,-0.004529779,-0.01628329,-2.221069,-7.07309,2.829019
0.7114089,-0.02637005,-0.003816962,-0.01917038,-2.782928,-8.455322,3.135413
0.8122825,-0.03000985,-0.006527305,-0.02197626,-1.101257,-9.460083,3.681864
0.9160619,-0.03657287,-0.008574132,-0.02193098,0.2170295,-12.16177,3.650698
1.017262,-0.04225662,-0.0132027,-0.01963515,3.000451,-14.18088,4.88689
1.118534,-0.03753307,-0.01887717,-0.01308196,6.35776,-8.786285,6.663583
1.218975,-0.0194572,-0.01837936,-0.006420002,5.664421,3.079284,7.400984
1.323389,0.002260999,-0.01574871,-0.005467027,4.044247,15.73216,7.46874
1.426553,0.01953281,-0.008281372,-0.007008396,-0.4584961,24.00528,6.888137
1.531632,0.02787024,0.0001686355,-0.009595951,-5.903839,27.09761,4.870691
1.633699,0.02716429,-0.001422815,-0.01304438,-4.975067,24.36598,3.339448
1.737903,0.02115275,-0.01234893,-0.01383207,1.486728,18.85232,3.241818
1.84243,0.01678901,-0.02386119,-0.01027172,8.535097,15.8465,3.518743
1.944471,0.01539909,-0.03459708,-0.002687545,14.64052,15.41923,4.901481
2.04625,0.01729889,-0.04460255,0.008736199,19.26136,16.61273,5.589056
2.154376,0.01931489,-0.05074593,0.01707635,21.99736,17.71158,5.634961
2.259084,0.01601379,-0.0539438,0.02293627,23.38499,14.13244,3.519433
2.362103,0.00872967,-0.05335786,0.02657776,22.93152,8.082461,1.034261
2.463535,0.004160244,-0.05184642,0.02702074,22.17595,4.926624,0.09129316
2.566314,0.001080672,-0.0495524,0.02649335,20.91243,3.966913,0.1850516
2.668711,-0.009388991,-0.04933975,0.02532727,20.94706,-2.063904,-1.886627
2.770457,-0.02452687,-0.04810735,0.02586365,20.15312,-11.15143,-4.386841
2.870457,-0.03555223,-0.04607727,0.02755452,18.77948,-16.61462,-5.081787
2.974056,-0.03910647,-0.04493023,0.03047006,17.77725,-16.69104,-4.747192
3.078616,-0.03455903,-0.0501307,0.03130336,20.81222,-12.29083,-3.055298
3.179826,-0.02089675,-0.05231788,0.03273453,22.01493,-1.90094,0.01661976
3.284052,2.132542E-05,-0.05509776,0.02974223,23.1538,11.7816,5.838886
3.385166,0.014057,-0.06059414,0.02642457,25.53563,19.70561,9.667
3.48745,0.02151905,-0.06562711,0.02747865,27.89315,21.54305,9.167318
3.589365,0.02365476,-0.06508432,0.03374324,27.581,18.08396,6.188518
3.692647,0.02163222,-0.05215568,0.0409697,21.06181,13.46655,3.340548
3.794251,0.01588443,-0.0389553,0.04126433,14.20811,9.396318,2.018472
3.897111,0.005475011,-0.0265374,0.03692746,8.126745,5.318597,1.706102
3.99725,-0.004345097,-0.02150418,0.02854951,6.144989,3.756146,2.653152
4.100141,-0.00144067,-0.02078096,0.02362082,6.211794,9.681805,4.203751
4.203722,0.009227967,-0.02083046,0.01985903,5.935065,19.51839,6.047982
4.308866,0.01896865,-0.02235939,0.01790743,6.346063,27.19264,7.417819
4.410113,0.02300393,-0.02383259,0.01963861,6.813522,29.22944,7.691897
4.512719,0.01830954,-0.0269062,0.02418646,8.533631,24.36909,6.911227
4.618095,0.005516553,-0.02840191,0.03003598,9.654217,13.98414,3.805716
4.719568,-0.007622082,-0.02780184,0.03324432,9.267685,4.950303,1.494716
4.825223,-0.01916628,-0.02813952,0.03337533,9.627837,-1.709198,-0.3239136
4.929091,-0.0287438,-0.02691782,0.03265094,8.674752,-6.693451,-1.572723
5.033486,-0.03474952,-0.03021969,0.02845533,10.45248,-9.205658,-1.498901
5.137231,-0.03533866,-0.0311428,0.02601361,11.40678,-8.295959,-1.175018
5.239524,-0.03310078,-0.02565868,0.02331715,8.829995,-6.193329,-0.3057861
5.344125,-0.03092576,-0.01914774,0.01823923,5.42878,-5.570038,-0.3724976
5.447842,-0.03047882,-0.01913091,0.01044177,5.574064,-6.964966,-0.6862488
5.55218,-0.03032311,-0.02484589,0.005542847,8.851414,-8.453064,-0.9075623
5.655843,-0.0288879,-0.03309064,0.007147543,13.45781,-8.653198,-0.5240173
5.761674,-0.0290805,-0.04088428,0.01357622,17.55445,-9.794647,-1.536713
5.862322,-0.03059635,-0.04565555,0.02192361,19.7,-11.52304,-3.263977
5.963571,-0.03184639,-0.04677816,0.02733629,19.68545,-12.50443,-3.982391
6.066491,-0.03598479,-0.04514382,0.02714524,18.68568,-15.14575,-4.715637
6.167807,-0.04299182,-0.04419727,0.02234979,18.07633,-20.03561,-5.536194
6.273481,-0.0497186,-0.04535374,0.01756378,18.67657,-24.78281,-5.930542
6.377468,-0.05108345,-0.04537043,0.01819158,18.64503,-24.61728,-5.466431
6.481626,-0.04325862,-0.04471134,0.02429911,18.3051,-18.51932,-3.514252
6.584556,-0.03080301,-0.04422203,0.02839836,18.01029,-9.554016,-0.8186035
6.687391,-0.01808513,-0.04587555,0.02843225,18.84881,-1.477264,1.407376
6.790824,-0.01065184,-0.0487746,0.02861079,20.11813,2.105655,2.080751
6.895314,-0.01122872,-0.05610047,0.03153847,23.50039,-0.3699341,-0.1012268
