InteractionNumber,ElapsedTime,SplitTime,missCount
0,1.286949
1,1.775349,0.4883995
2,2.803116,1.027767
3,3.279526,0.4764099
4,4.230995,0.9514694
5,4.807293,0.5762978
6,6.261959,1.454666
7,7.000927,0.7389679
8,7.565525,0.5645981
9,8.668034,1.102509
10,9.434101,0.7660675
11,10.68515,1.251053
12,11.33786,0.65271
13,12.11338,0.7755203
14,12.82805,0.7146683
15,14.09363,1.265579
16,14.89529,0.8016586
17,15.65966,0.7643738
18,16.33731,0.6776505
19,17.68992,1.352608
20,18.19084,0.5009155
21,18.77938,0.5885468
22,19.56964,0.7902603
23,20.57205,1.002403
24,21.52326,0.95121
25,23.14004,1.616783
26,24.00458,0.8645401
27,24.70626,0.701683
28,26.18548,1.479218
29,26.62384,0.4383621
30,27.5003,0.8764572
31,28.39051,0.8902054
32,28.95668,0.5661774
33,29.97001,1.013321
34,30.3952,0.4251938
35,30.82074,0.4255447
36,31.51378,0.6930389
37,32.16143,0.6476517
38,33.12658,0.9651413
39,34.53009,1.403511
40,35.29453,0.7644424
41,35.97093,0.6763992
42,36.64736,0.6764297
43,38.0121,1.364746
44,38.4266,0.4144974
45,39.0399,0.6132965
46,39.90559,0.8656921
47,40.56987,0.6642761
48,41.70657,1.136703
49,43.2891,1.582535
50,44.50413,1.215027

time,posX,posY,posZ,rotX,rotY,rotZ
0.1070942,0.01208031,-0.00387366,-0.02092944,0.7619406,-0.07870483,3.73513
0.207806,0.01274599,-0.004552069,-0.02058784,1.112106,0.08987803,3.727165
0.3189719,0.01323135,-0.005150839,-0.0200857,1.497121,0.2421583,3.68876
0.4301353,0.01350322,-0.005969553,-0.01940535,1.971978,0.3898896,3.586787
0.5306935,0.0142421,-0.006723781,-0.01822541,2.418579,1.085201,3.380577
0.6436097,0.02565936,-0.006103205,-0.01683397,1.971966,8.022294,3.68417
0.7443348,0.04752421,-0.004225412,-0.01983558,0.8187097,22.84298,4.126021
0.8571812,0.07038508,-0.004582244,-0.02921531,0.9445766,37.88802,3.707116
0.9695119,0.08915319,-0.006737598,-0.0405889,1.970037,50.02418,2.877612
1.070063,0.1020757,-0.01243519,-0.04901504,4.591259,58.02986,2.543613
1.171233,0.1051162,-0.01584993,-0.04499082,6.060241,56.28215,2.069182
1.284077,0.09979615,-0.02592611,-0.03448826,11.57188,49.9802,2.712656
1.38558,0.08969722,-0.03579955,-0.01934947,16.92147,41.37386,3.09704
1.496632,0.07385614,-0.03971997,-0.001138609,19.13239,29.69495,2.110487
1.596805,0.05073423,-0.04401759,0.01323467,21.50867,15.32672,-0.1667175
1.697057,0.02749481,-0.04301261,0.02235621,21.14232,1.872839,-2.699097
1.797534,0.0110793,-0.02831072,0.02784688,12.62581,-5.491638,-3.878143
1.897604,0.003724924,-0.005313266,0.02551609,-0.6531982,-6.354309,-2.483673
2.000417,0.006375551,0.006561378,0.0159533,-7.206757,-2.226776,-1.477783
2.110297,0.01493732,0.01547164,0.004468862,-12.35852,5.018274,-0.1647339
2.211153,0.02536245,0.02350642,-0.00668423,-16.56845,12.86567,-0.3818665
2.324191,0.03257439,0.02849841,-0.01570083,-20.09567,17.90389,-0.6831665
2.424553,0.0376636,0.0299681,-0.02301252,-20.88803,21.50801,-0.09567261
2.537869,0.05097109,0.02777831,-0.03229474,-19.97025,31.82945,-0.6594238
2.63807,0.06654079,0.02310549,-0.04269977,-16.80988,44.11588,-1.525452
2.749721,0.07831813,0.0178042,-0.04937105,-13.23822,51.8026,-2.405151
2.853055,0.08713674,0.0125126,-0.05289072,-10.24942,56.62361,-3.042786
2.963612,0.09414375,0.007294007,-0.05553276,-7.300781,60.40466,-3.523407
3.076334,0.09887337,0.00190303,-0.05520388,-4.416718,61.4823,-2.860229
3.177205,0.09814446,-0.002612654,-0.04609175,-1.783905,56.92325,-1.806793
3.280478,0.08839972,-0.006223479,-0.02793089,0.8007215,45.7794,-0.9049377
3.388987,0.06732973,-0.005250027,-0.005598755,0.235372,28.53811,-0.9678955
3.502132,0.03779911,-0.008428984,0.009798881,1.732645,9.468454,-1.468536
3.612655,0.00905303,-0.01438088,0.01588193,4.78577,-7.876373,-3.00058
3.712774,-0.01325064,-0.02425288,0.01641663,9.873865,-21.29611,-5.526123
3.81403,-0.03031344,-0.04139906,0.01621417,18.04992,-31.14417,-8.499054
3.91464,-0.04172296,-0.06258501,0.01962267,27.73682,-35.95264,-10.17343
4.025832,-0.04339986,-0.07828151,0.02767378,34.52111,-33.00061,-8.334412
4.127001,-0.03324848,-0.08935267,0.03888181,39.27015,-21.35828,-1.449799
4.239959,-0.01230907,-0.09268414,0.04917889,39.67732,-2.710144,9.146646
4.340569,0.01649631,-0.08825401,0.05428945,35.61447,17.79778,18.13228
4.453022,0.04748115,-0.08217197,0.04957495,31.05542,36.53135,24.35771
4.553527,0.07814256,-0.07451416,0.03579656,26.12631,53.38871,26.37608
4.653953,0.09788471,-0.068623,0.01922095,23.17442,64.21529,24.93104
4.754158,0.1103914,-0.06381546,0.003212975,21.78614,69.73533,21.49959
4.854961,0.1185507,-0.04885178,-0.009289046,16.3904,70.6455,15.7742
4.9671,0.1223731,-0.0292142,-0.02404407,8.369141,71.37022,9.722303
5.080365,0.1211098,-0.01234031,-0.0403695,1.008582,72.48296,5.274524
5.181643,0.1139947,0.006062493,-0.0522245,-7.010101,70.32993,0.2238043
5.293325,0.09828327,0.02468537,-0.05840069,-17.35553,64.14759,-4.653442
5.40558,0.07914834,0.03311984,-0.05704371,-22.5036,53.34726,-4.837524
5.506261,0.05501326,0.03812544,-0.04954455,-25.71378,38.23304,-3.781311
5.606447,0.02719866,0.04092206,-0.04301814,-28.04657,21.51096,-1.874664
5.706712,-0.001663308,0.04301194,-0.04031274,-29.81076,4.087963,0.8054957
5.807,-0.02945722,0.04494246,-0.04189241,-31.37061,-13.802,2.176774
5.907517,-0.05256667,0.04213606,-0.05102218,-29.81641,-31.55695,3.125484
6.020515,-0.07007439,0.03775038,-0.06650297,-27.30148,-48.89084,5.831098
6.121058,-0.08756762,0.02526911,-0.0983281,-19.65503,-72.78043,9.012023
6.221107,-0.09367898,0.01436812,-0.1116556,-12.45123,-80.68732,8.671622
6.32149,-0.1038547,-0.004531161,-0.1256132,-2.144897,-89.0112,7.629638
6.433794,-0.1116492,-0.02321201,-0.1415067,6.181986,-98.2236,5.784027
6.534339,-0.1183962,-0.04361476,-0.16152,14.94427,-108.752,3.107158
6.635438,-0.1255285,-0.06062056,-0.1782292,21.41908,-115.2995,-0.410675
6.746617,-0.131891,-0.0744497,-0.1889876,26.55437,-118.8611,-1.237793
0.09855843,-0.1380066,-0.06046467,-0.2055815,19.39295,-122.2346,2.885759
0.1997371,-0.1299051,-0.03310713,-0.2234495,8.518567,-127.7806,7.784818
0.3106861,-0.1110467,-0.001939141,-0.2296529,-6.348541,-130.5887,14.41211
0.410738,-0.0923473,0.01384831,-0.223234,-14.51175,-130.1694,18.2651
0.5109067,-0.07687305,0.02581062,-0.2098557,-19.26233,-127.4958,17.92997
0.6115494,-0.06819772,0.03271047,-0.1914014,-23.7525,-120.3403,17.22537
0.724175,-0.05904464,0.04403663,-0.1622597,-29.39459,-108.8122,13.04425
0.8242497,-0.05070022,0.05345964,-0.1256474,-34.88049,-89.89984,5.11585
0.9246254,-0.03515227,0.05668851,-0.08526479,-39.54584,-65.83151,-3.014435
1.025239,-0.0209651,0.05246936,-0.06276529,-39.88242,-49.67532,-3.909119
1.12552,-0.009245165,0.05098305,-0.04815686,-39.73538,-37.19022,-3.123901
1.226007,0.006723453,0.05055179,-0.03050676,-39.24359,-19.3627,-7.271271
1.327765,0.02814546,0.04421401,-0.01603931,-32.66077,1.347265,-7.552551
1.438543,0.04924926,0.03703823,-0.01522783,-28.22382,18.44221,-7.773621
1.538903,0.06939621,0.03008025,-0.02312015,-24.46835,35.70066,-8.050781
1.640834,0.08597015,0.02088681,-0.03918804,-19.72897,53.89944,-9.117371
1.751657,0.09431718,0.01422241,-0.05757352,-15.8226,68.85495,-8.513855
1.852201,0.09551311,0.008921545,-0.07583454,-12.92685,80.1557,-8.354523
1.952792,0.09485554,0.004578236,-0.09439465,-10.86469,88.78201,-10.46585
2.053595,0.08951102,0.001953025,-0.1160266,-9.245209,98.1067,-11.02945
2.154065,0.08370442,0.0004095831,-0.1356659,-8.569855,106.1878,-12.36212
2.267676,0.07903817,0.0004562137,-0.1492912,-8.714935,110.5683,-13.72729
2.37816,0.07613117,-0.001550383,-0.1608222,-7.819672,113.2765,-14.58032
2.479231,0.07621061,-0.004659962,-0.1665806,-5.915009,114.8965,-14.20566
2.57948,0.0788445,-0.006524761,-0.1652129,-5.153534,113.3857,-13.60962
2.687669,0.08156835,-0.007590157,-0.1626358,-4.539154,112.8423,-12.85208
2.792853,0.08131941,-0.006806313,-0.1629951,-4.898438,113.3824,-12.32956
2.893126,0.07462493,-0.005447607,-0.1723869,-5.104553,118.3356,-12.53238
3.006499,0.06124005,-0.002356115,-0.1854684,-5.448792,125.5942,-13.87265
3.118017,0.04360518,2.654828E-05,-0.1938434,-4.65744,133.6454,-14.8768
3.21872,0.02962504,-0.0007053381,-0.1944918,-4.149902,139.7196,-13.53088
3.319556,0.02164525,0.00186632,-0.1889683,-5.150696,141.5978,-13.3822
3.431579,0.0137657,0.009758983,-0.1815078,-8.930725,141.2299,-14.28134
3.531818,0.0002262369,0.01851777,-0.1772395,-12.06702,146.2208,-15.44547
3.63253,-0.009235148,0.02279014,-0.1722884,-13.82462,150.8925,-16.15472
3.745609,-0.01695749,0.02636204,-0.1658562,-15.90503,154.9665,-16.72455
3.857452,-0.02188742,0.03188827,-0.1573674,-18.38651,156.9515,-16.70224
3.95812,-0.0229749,0.03443249,-0.1499336,-19.9917,157.4944,-16.31799
4.07149,-0.02450801,0.03730886,-0.1456094,-20.88086,158.2599,-16.7724
4.171586,-0.02691117,0.03843354,-0.1433731,-21.7821,158.9568,-17.06421
4.271884,-0.0291184,0.03860898,-0.142147,-22.0834,159.0468,-16.64398
4.372348,-0.03182968,0.03886889,-0.1428255,-22.78394,159.2777,-16.79376
