InteractionNumber,ElapsedTime,SplitTime,missCount
0,3.079475
1,3.830821,0.7513454
2,4.433073,0.6022518
3,5.272723,0.8396506
4,6.186805,0.9140816
5,7.114039,0.9272346
6,7.929364,0.8153248
7,9.859877,1.930512
8,10.72397,0.8640909
9,11.18719,0.4632187
10,11.92739,0.7402048
11,12.65338,0.7259865
12,14.10689,1.453516
13,14.96104,0.8541498
14,16.13726,1.176217
15,16.87769,0.7404251
16,17.62935,0.7516689
17,18.24418,0.6148262
18,19.39636,1.152178
19,20.05941,0.6630535
20,21.28713,1.227716
21,22.03975,0.7526264
22,23.05486,1.015102
23,24.38353,1.328671
24,24.88428,0.5007534
25,25.44802,0.5637379
26,26.21306,0.7650375
27,27.06505,0.8519917
28,27.69274,0.6276932
29,28.30662,0.6138802
30,29.4163,1.109674
31,30.22308,0.8067799
32,30.93714,0.7140617
33,31.92773,0.9905968
34,32.40372,0.4759865
35,32.84289,0.4391708
36,33.68205,0.8391609
37,34.82218,1.140125
38,35.29835,0.4761696
39,36.31403,1.015682
40,37.40396,1.089931
41,37.86703,0.4630699
42,38.71944,0.8524094
43,39.47116,0.7517166
44,40.12309,0.6519279
45,40.83709,0.7140007
46,42.11572,1.278637
47,42.99333,0.8776054
48,44.35962,1.366291
49,45.08513,0.7255096
50,46.1645,1.079372

time,posX,posY,posZ,rotX,rotY,rotZ
0.1067051,-0.005512863,0.00061585,-0.0004998101,-0.6798096,-0.5023804,3.323293
0.2080924,-0.005231119,0.0005735108,-0.0004431332,-0.6795044,-0.5239868,3.284133
0.3191446,-0.004669051,0.0005187542,-0.0003944444,-0.6315918,-0.3218994,3.158181
0.4195659,-0.004516792,0.0004566521,-0.0003223219,-0.601593,-0.29599,3.17069
0.5203935,-0.003890153,-0.0009834834,-0.0003872194,0.3379603,0.181172,2.448249
0.6324407,0.005554046,-0.007203822,0.0002577007,3.707762,5.095816,2.372035
0.7334532,0.01465927,-0.01083984,0.003841223,6.135059,9.876963,2.058589
0.8338496,0.01733802,-0.006393681,0.0087862,3.58579,10.25297,1.701612
0.9462282,0.007775851,0.003722966,0.009455335,-2.038269,4.00969,1.529419
1.059598,-0.009142965,0.01043097,0.0007093523,-6.32962,-5.36673,1.682339
1.160445,-0.02034342,0.01438356,-0.008396834,-8.270752,-9.584503,2.096038
1.273236,-0.02818878,0.0211909,-0.0159984,-12.70901,-12.30823,2.175826
1.38583,-0.03076656,0.02734489,-0.02209139,-16.96616,-13.00137,2.296826
1.486136,-0.02858201,0.02814426,-0.02551455,-17.47665,-11.74451,2.470623
1.586325,-0.02308328,0.02400525,-0.0260011,-15.0668,-9.170868,1.997613
1.686867,-0.0183066,0.02221269,-0.022883,-13.37109,-7.64566,0.6105767
1.787237,-0.01819752,0.02381816,-0.01986047,-14.58429,-9.678406,0.0565769
1.900079,-0.02434509,0.02710564,-0.02009658,-16.52191,-15.7056,0.186239
2.000669,-0.02953412,0.02739206,-0.0223031,-16.97147,-19.42694,0.3998512
2.100942,-0.03465687,0.02596266,-0.02523978,-15.71179,-21.78134,0.4740422
2.201372,-0.03687385,0.02466881,-0.02589659,-15.16177,-21.80563,1.015864
2.301454,-0.03757852,0.02313709,-0.02378864,-14.03796,-20.24335,1.322752
2.401765,-0.03731439,0.02354209,-0.01929728,-14.35364,-18.202,1.868217
