InteractionNumber,ElapsedTime,SplitTime
1,1.090088
1,2.39539,1.305302
2,2.946293,0.5509033
3,4.226059,1.279766
4,4.675751,0.4496918
5,5.352283,0.6765327
6,5.942032,0.5897484
7,6.517601,0.5755692
8,7.01836,0.5007591
9,7.608021,0.5896606
10,8.172352,0.5643311
11,8.598461,0.4261093
12,9.09893,0.5004692
13,9.638893,0.5399628
14,10.07666,0.4377708
15,10.89192,0.815258
16,12.0447,1.152782
17,12.4582,0.4134979
18,12.95012,0.4919167
19,13.37251,0.4223938
20,13.79816,0.4256477
21,14.33741,0.5392456
22,14.78936,0.4519501
23,15.76626,0.976902
24,16.26747,0.5012093
25,16.731,0.4635277
26,17.219,0.4880028
27,17.69492,0.4759178
28,18.64844,0.9535217
29,19.19881,0.5503693
30,19.77077,0.5719604
31,20.30179,0.5310211
32,20.79157,0.4897842
33,21.41726,0.6256866
34,21.94403,0.5267715
35,22.43182,0.487793
36,22.92123,0.4894104
37,23.52308,0.6018448
38,23.99881,0.4757309
39,24.57613,0.5773163
40,25.11443,0.5382996
41,25.55325,0.4388275
42,26.0676,0.5143509
43,26.46841,0.4008102
44,26.94192,0.4735031
45,27.35724,0.4153214
46,27.82033,0.463089
47,28.33191,0.5115814
48,28.68578,0.3538666
49,29.09954,0.413765
50,29.6636,0.5640564
51,30.1776,0.5139999

time,posX,posY,posZ,rotX,rotY,rotZ
0.1081461,1.258554,0.1899998,-1.637542,-4.255707,-1.758728,4.058461
0.2205726,1.258477,0.190042,-1.637911,-4.310852,-1.83252,4.132388
0.3338957,1.258499,0.1903576,-1.638165,-4.50058,-1.822296,4.1941
0.4442595,1.258522,0.1903144,-1.638327,-4.395294,-1.814056,4.165078
0.5452601,1.258213,0.1905025,-1.638028,-4.559967,-1.879211,4.203583
0.6575544,1.25759,0.1937055,-1.637109,-6.213867,-1.89151,4.161119
0.7586872,1.256906,0.1984399,-1.637944,-9.179138,-2.021637,4.010577
0.8589393,1.255797,0.2038645,-1.640844,-12.46118,-2.34317,3.732881
0.9590473,1.254882,0.2101533,-1.645782,-16.67752,-2.559692,3.49893
1.059809,1.253202,0.2161913,-1.652017,-21.05685,-3.140747,3.697447
1.172303,1.251042,0.2217038,-1.658739,-25.15674,-4.163361,3.922604
1.274787,1.249717,0.2253239,-1.664022,-28.11209,-4.71991,4.134018
1.384994,1.249283,0.2271032,-1.668509,-30.05927,-4.84317,4.237683
1.486135,1.249718,0.2272468,-1.670453,-30.10718,-4.613861,4.099253
1.5862,1.250805,0.226598,-1.670329,-29.80457,-4.255005,4.06164
1.686935,1.251878,0.2231587,-1.667557,-27.81583,-3.993683,4.188612
1.788119,1.252094,0.2168171,-1.662116,-23.55511,-4.111176,4.210886
1.900493,1.251722,0.2075917,-1.653564,-17.04004,-4.439911,4.113163
2.00063,1.251306,0.1997776,-1.644259,-11.3165,-4.573914,4.002333
2.100822,1.251519,0.1913236,-1.63494,-5.5336,-4.158203,4.270935
2.201234,1.251779,0.1833186,-1.624643,-0.1118469,-3.57724,4.571698
