InteractionNumber,ElapsedTime,SplitTime,missCount
0,0.7628479
1,1.227386,0.4645386
2,1.816605,0.5892181
3,2.593994,0.7773895
4,2.957626,0.3636322
5,3.383469,0.4258423
6,3.947784,0.5643158
7,4.373566,0.4257813
8,4.749741,0.3761749
9,5.162857,0.4131165
10,5.639053,0.4761963
11,6.028564,0.3895111
12,6.453918,0.425354
13,6.89299,0.4390717
14,7.31813,0.4251404
15,7.695145,0.3770142
16,8.070145,0.375
17,8.483704,0.413559
18,8.860458,0.3767548
19,9.335617,0.4751587
20,9.723862,0.3882446
21,10.05098,0.3271179
22,10.4884,0.4374237
23,10.90161,0.413208
24,11.30228,0.4006653
25,11.77913,0.4768524
26,12.21739,0.4382629
27,12.64392,0.4265289
28,13.06985,0.4259338
29,13.55803,0.4881744
30,13.99678,0.4387512
31,14.41055,0.4137726
32,14.84927,0.4387207
33,15.36261,0.5133362
34,15.76346,0.4008484
35,16.18982,0.4263611
36,16.53947,0.3496552
37,16.92937,0.3898926
38,17.36784,0.4384766
39,17.81827,0.4504242
40,18.23198,0.4137115
41,18.60846,0.3764801
42,18.97159,0.3631287
43,19.34743,0.3758392
44,19.71115,0.3637238
45,20.099,0.3878479
46,20.57545,0.4764557
47,20.91362,0.3381653
48,21.27702,0.3634033
49,21.65269,0.3756714
50,22.06651,0.4138184
51,22.47943,0.4129181

time,posX,posY,posZ,rotX,rotY,rotZ
0.1060794,0.06141463,0.01981171,-0.005397106,-4.274017,-4.250977,1.809703
0.2064951,0.0609628,0.01983404,-0.005175491,-4.255127,-4.383972,1.840898
0.3185028,0.06059617,0.01956616,-0.00492239,-4.146576,-4.567078,1.802715
0.4300435,0.06170041,0.01438949,-0.003139811,-1.046722,-3.912506,0.6516215
0.5306717,0.06443459,0.003137144,0.005054227,5.386358,-2.211853,0.6463173
0.6307091,0.06577987,-0.007375502,0.01725288,10.54464,-0.9378662,1.277671
0.7313568,0.06502732,-0.01924956,0.03048827,15.85155,-0.7883301,1.884834
0.8314573,0.06290073,-0.03132759,0.04034562,21.21398,-1.624542,1.779623
0.931952,0.06293077,-0.03907712,0.04698679,24.53457,-0.9162598,1.927317
1.032142,0.06614362,-0.03651225,0.05094482,22.86892,1.493543,2.650921
1.132827,0.07112835,-0.02265481,0.0494565,16.43583,4.164979,3.033771
1.233515,0.07660711,0.0007206997,0.03930501,4.852244,6.530207,2.089255
1.333755,0.07905337,0.01662802,0.02401995,-3.584503,6.976112,0.8483158
1.445858,0.07845335,0.02311126,0.0104454,-6.755249,5.93338,-0.1445007
1.547339,0.0812031,0.02112999,0.004345721,-4.967926,7.149138,-0.2632141
1.660053,0.09301701,0.01587475,0.005799266,-2.470947,13.41327,-0.03518677
1.761006,0.1126714,0.007132998,0.01080883,2.003575,23.00512,-0.3785706
