InteractionNumber,ElapsedTime,SplitTime
1,1.603727
2,2.682053,1.078325
3,3.758673,1.07662
4,4.660048,0.9013748
5,5.225058,0.5650101
6,6.202761,0.9777031
7,7.242182,1.039421
8,7.744215,0.5020332
9,8.335562,0.5913467
10,9.330542,0.9949799
11,9.932261,0.6017189
12,10.73738,0.8051147
13,11.62576,0.888382
14,12.16669,0.5409355
15,13.16929,1.002598
16,14.24707,1.077778
17,15.82507,1.577999
18,16.30127,0.4762039
19,17.42981,1.12854
20,17.98165,0.5518341
21,19.57152,1.58987
22,20.02267,0.451149
23,21.10153,1.078869
24,21.67842,0.576889
25,22.85525,1.17683
26,23.53337,0.6781158
27,25.52406,1.990692
28,27.00308,1.479019
29,27.58022,0.5771408
30,28.44092,0.8607025
31,29.10824,0.6673164
32,29.99953,0.8912926
33,31.00151,1.00198
34,32.46686,1.465345
35,33.76921,1.302353
36,34.69894,0.9297256
37,35.13573,0.4367981
38,35.63709,0.501358
39,36.65149,1.014397
40,37.74322,1.091728
41,38.19358,0.4503632
42,38.79642,0.6028442
43,39.2705,0.4740753
44,39.92219,0.6516876
45,41.37675,1.454567
46,42.37949,1.002731
47,43.58533,1.205849
48,44.02051,0.435173
49,45.24866,1.228157
50,46.18812,0.9394531
51,46.62599,0.4378738
52,47.10345,0.4774628
53,47.85524,0.7517853
54,48.70775,0.8525085
55,49.10703,0.3992844
56,49.47046,0.3634262
57,50.16166,0.6912003
58,51.7357,1.574043
59,53.23952,1.503822
60,53.55365,0.3141251
61,54.11797,0.5643158
62,54.56962,0.4516525
63,55.18501,0.615387
64,56.71463,1.529625
65,58.13086,1.416229
66,58.51955,0.3886871
67,59.01926,0.4997177
68,59.53428,0.5150146
69,61.10236,1.568085
70,61.888,0.7856369
71,63.05423,1.166229
72,64.1945,1.140266
73,64.98456,0.790062
74,65.52328,0.5387268
75,66.33959,0.8163071
76,67.16657,0.8269806
77,67.653,0.4864273
78,68.10451,0.4515076
79,68.96827,0.8637619
80,69.40794,0.4396667
81,70.04673,0.6387939
82,70.98676,0.9400253
83,71.45129,0.4645386
84,72.47704,1.025742
85,73.32901,0.8519745
86,75.08474,1.75573
87,76.2494,1.164665
88,77.30274,1.053337
89,77.76682,0.4640732
90,78.07862,0.3118057
91,78.73086,0.6522369
92,79.69544,0.9645844
93,80.07149,0.3760452
94,81.11092,1.039429
95,81.58749,0.4765778
96,82.4153,0.8278046
97,83.05322,0.6379166
98,84.48377,1.430557
99,85.32217,0.8383942
100,85.77203,0.4498672
101,86.3001,0.5280685
