InteractionNumber,ElapsedTime,SplitTime
1,1.891487
2,2.71859,0.8271027
3,4.322861,1.604271
4,5.387642,1.064781
5,7.229477,1.841835
6,10.19922,2.969746
7,11.32667,1.127445
8,12.25409,0.9274178
9,15.22398,2.969894
10,16.99099,1.767014
11,18.28169,1.290695
12,21.00133,2.719639
13,22.75455,1.753227
14,24.40913,1.654579
15,25.58707,1.177933
16,26.63911,1.05204
17,28.16901,1.5299
18,29.49659,1.327583
19,30.73698,1.240395
20,32.56691,1.829926
21,33.6317,1.064789
22,35.72446,2.092766
23,36.43827,0.7138062
24,37.82853,1.390259
25,38.54339,0.714859
26,40.11024,1.566856
27,41.07499,0.9647446
28,42.17808,1.103088
29,43.45615,1.278069
30,44.20251,0.7463608
31,45.89912,1.696609
32,47.46606,1.566948
33,48.46904,1.002975
34,50.93723,2.468193
35,52.47771,1.540474
36,53.64332,1.165611
37,54.37065,0.7273331
38,55.03421,0.663559
39,56.2498,1.215591
40,57.55471,1.304909
41,58.78099,1.22628
42,60.07272,1.291725
43,61.33752,1.264801
44,62.35281,1.015297
45,63.84472,1.491905
46,64.92175,1.077026
47,66.7513,1.829559
48,69.31935,2.568047
49,72.59039,3.271034
50,73.04157,0.4511871
51,73.80581,0.7642365
52,74.48283,0.6770172
53,77.77699,3.294159
54,78.94307,1.166084
55,80.13337,1.1903
56,80.8611,0.7277298
57,81.66224,0.8011398
58,82.20175,0.5395126
59,83.24152,1.039772
60,84.61993,1.37841
61,85.4341,0.8141632
62,86.3864,0.952301
63,88.99295,2.606552
64,90.64702,1.654068
65,91.87502,1.227997
66,92.77699,0.9019775
67,93.57942,0.8024292
68,94.36894,0.7895203
69,95.33282,0.9638824
70,96.351,1.018173
71,97.94278,1.591782
72,98.91714,0.9743652
73,99.91965,1.002502
74,101.9368,2.017197
75,103.0523,1.115494
76,103.7917,0.7393951
77,105.5218,1.730087
78,106.3984,0.8766022
79,107.4894,1.090942
80,108.7295,1.240173
81,109.7187,0.9891815
82,111.6361,1.917404
83,112.5384,0.9022522
84,113.7281,1.189682
85,114.8183,1.09024
86,117.2752,2.456924
87,117.9517,0.6764374
88,119.4426,1.490982
89,120.9088,1.46611
90,122.3621,1.453369
91,123.1521,0.7899933
92,123.9038,0.7516937
93,124.7428,0.8390198
94,125.9948,1.252014
95,127.7253,1.730423
96,129.0538,1.328537
97,129.7926,0.7388
98,131.1964,1.403809
99,132.7876,1.591187
100,133.7025,0.9149323
101,135.4944,1.79184
102,137.1819,1.687561
103,138.452,1.270065
104,139.3039,0.8519135
105,140.3072,1.003311
106,140.8573,0.5501251
107,142.8886,2.031265
108,143.6644,0.7758331
109,144.7794,1.11499
110,147.1484,2.368958
111,147.8627,0.7142792
