InteractionNumber,ElapsedTime,SplitTime
1,1.680178
2,3.848404,2.168226
3,6.405149,2.556746
4,8.121572,1.716423
5,9.500555,1.378983
6,13.04703,3.546478
7,15.70294,2.655903
8,17.89591,2.192978
9,18.76013,0.864212
10,19.67528,0.9151497
11,22.75857,3.083294
12,24.24896,1.490391
13,25.32759,1.078625
14,27.92296,2.595371
15,28.81134,0.888382
16,31.16698,2.35564
17,32.67107,1.504087
18,33.77487,1.103806
19,34.45067,0.6757965
20,35.84148,1.390816
21,37.18166,1.340172
22,39.08768,1.906021
23,40.34019,1.252518
24,41.74423,1.404037
25,42.62148,0.8772507
26,44.0258,1.40432
27,45.97983,1.954025
28,47.65907,1.679237
29,48.49848,0.8394165
30,50.17805,1.679565
31,51.68124,1.503189
32,53.37125,1.690018
33,54.72579,1.354538
34,55.63871,0.9129181
35,57.65942,2.020714
36,58.48682,0.8274002
37,59.77779,1.290962
38,61.80776,2.029976
39,62.82252,1.014755
40,64.53899,1.716476
41,66.21893,1.679939
42,67.51025,1.291313
43,68.33665,0.8264008
44,69.18951,0.8528671
45,70.07845,0.8889313
46,72.81203,2.733582
47,74.12574,1.313713
48,75.31633,1.19059
49,76.25837,0.9420395
50,77.79807,1.539696
51,78.72491,0.9268417
