InteractionNumber,ElapsedTime,SplitTime
1,0.7254372
2,1.478336,0.7528992
3,2.982204,1.503868
4,4.512115,1.529911
5,6.103035,1.590919
6,7.080727,0.9776917
7,8.596317,1.515591
8,10.35123,1.754917
9,11.10291,0.7516785
10,12.9438,1.840889
11,13.50199,0.5581894
12,15.97362,2.471626
13,16.71625,0.74263
14,17.31661,0.6003647
15,18.21933,0.9027176
16,19.42204,1.202705
17,20.11152,0.6894836
18,21.60277,1.491249
19,24.1352,2.532433
20,24.7855,0.6502991
21,26.27724,1.491737
22,27.89231,1.615074
23,29.57237,1.680061
24,30.82578,1.25341
25,32.06703,1.241249
26,33.5694,1.502373
27,35.36153,1.792122
28,36.00165,0.6401215
29,38.06828,2.066628
30,38.744,0.6757278
31,39.472,0.7279968
32,40.51324,1.041245
33,41.30222,0.7889709
34,42.14742,0.8451996
35,44.83357,2.686157
36,46.46281,1.629234
37,46.98943,0.526619
38,47.66627,0.6768417
39,49.62119,1.954926
40,50.83733,1.216133
41,52.95537,2.118042
42,54.19592,1.240555
43,56.03757,1.841644
44,56.77639,0.7388229
45,58.08128,1.304893
46,59.62254,1.54126
47,60.32278,0.7002335
48,61.06269,0.7399139
49,61.75269,0.6900024
50,63.19382,1.441124
51,63.78244,0.588623
52,65.36004,1.577599
53,67.14951,1.789467
54,68.68996,1.540451
55,69.44289,0.7529297
56,70.18384,0.7409515
57,73.26785,3.084015
58,74.31991,1.052055
59,75.4228,1.10289
60,75.9607,0.5379028
61,77.93868,1.977982
62,79.28121,1.342529
63,80.07076,0.7895508
64,81.75137,1.680603
65,82.46619,0.7148285
66,84.0555,1.58931
67,84.73399,0.6784821
68,85.05802,0.3240356
69,85.53619,0.4781647
70,89.32975,3.793564
71,90.32206,0.9923096
72,91.54908,1.22702
73,94.38152,2.832443
74,95.97289,1.59137
75,96.78728,0.8143921
76,97.76492,0.9776306
77,98.39173,0.6268158
78,98.96786,0.5761261
79,100.1572,1.189377
80,101.173,1.015747
81,102.4016,1.228607
82,104.6692,2.267654
83,105.8225,1.153229
84,107.4752,1.652771
85,108.1155,0.6403046
86,109.202,1.086502
87,110.5694,1.367355
88,111.5223,0.9528503
89,112.8028,1.280563
90,113.7282,0.9253998
91,114.5937,0.8654633
92,115.9852,1.391556
93,119.5051,3.519897
94,120.5581,1.052933
95,121.5732,1.015167
96,122.262,0.6887207
97,123.0263,0.7643738
98,123.8912,0.8649139
99,124.6562,0.7649841
100,125.1861,0.5298462
101,126.511,1.324951
