InteractionNumber,ElapsedTime,SplitTime
1,0.01591873

time,posX,posY,posZ,rotX,rotY,rotZ
0.1017922,0,0,0,0,0,0
0.20518,0,0,0,0,0,0
0.3052852,0,0,0,0,0,0
0.4061549,0,0,0,0,0,0
0.5064759,0,0,0,0,0,0
0.6073899,0,0,0,0,0,0
0.7086007,0,0,0,0,0,0
0.8089188,0,0,0,0,0,0
0.911174,0,0,0,0,0,0
1.015652,0,0,0,0,0,0
1.118272,0,0,0,0,0,0
1.218369,0,0,0,0,0,0
1.31983,0,0,0,0,0,0
1.421889,0,0,0,0,0,0
1.526194,0,0,0,0,0,0
1.627952,0,0,0,0,0,0
1.731156,0,0,0,0,0,0
1.832237,0,0,0,0,0,0
1.933393,0,0,0,0,0,0
2.033407,0,0,0,0,0,0
2.137342,0,0,0,0,0,0
2.237832,0,0,0,0,0,0
2.338091,0,0,0,0,0,0
2.440535,0,0,0,0,0,0
2.54247,0,0,0,0,0,0
2.643893,0,0,0,0,0,0
2.745075,0,0,0,0,0,0
2.845418,0,0,0,0,0,0
2.947745,0,0,0,0,0,0
3.049322,0,0,0,0,0,0
3.154438,0,0,0,0,0,0
3.257973,0,0,0,0,0,0
3.359715,0,0,0,0,0,0
3.461725,0,0,0,0,0,0
3.562519,0,0,0,0,0,0
3.665493,0,0,0,0,0,0
3.766343,0,0,0,0,0,0
3.870306,0,0,0,0,0,0
3.973793,0,0,0,0,0,0
4.182264,0,0,0,0,0,0
4.284292,0,0,0,0,0,0
4.386302,0,0,0,0,0,0
4.487744,0,0,0,0,0,0
4.592698,0,0,0,0,0,0
4.697186,0,0,0,0,0,0
4.79938,0,0,0,0,0,0
4.90125,0,0,0,0,0,0
5.002577,0,0,0,0,0,0
5.103765,0,0,0,0,0,0
5.210277,0,0,0,0,0,0
5.311895,0,0,0,0,0,0
5.41301,0,0,0,0,0,0
5.51613,0,0,0,0,0,0
5.616243,0,0,0,0,0,0
5.718116,0,0,0,0,0,0
5.820611,0,0,0,0,0,0
5.920998,0,0,0,0,0,0
6.022838,0,0,0,0,0,0
6.131445,0,0,0,0,0,0
6.234349,0,0,0,0,0,0
6.334802,0,0,0,0,0,0
6.435032,0,0,0,0,0,0
6.537822,0,0,0,0,0,0
6.638463,0,0,0,0,0,0
6.73952,0,0,0,0,0,0
6.840394,0,0,0,0,0,0
6.941856,0,0,0,0,0,0
7.04193,0,0,0,0,0,0
7.143294,0,0,0,0,0,0
7.244739,0,0,0,0,0,0
7.353795,0,0,0,0,0,0
