InteractionNumber,ElapsedTime,SplitTime,missCount
0,0.4866745
1,0.9188832,0.4322087
2,1.350258,0.4313745
3,1.796022,0.4457638
4,2.188511,0.3924898
5,2.618585,0.430074
6,3.078068,0.4594831
7,3.914036,0.8359678

time,posX,posY,posZ,rotX,rotY,rotZ
0.1138982,-0.03664669,0.02848055,0.03534423,-3.438416,-16.21689,0.5880175
0.2230203,-0.03633823,0.02750598,0.03456474,-3.144196,-16.056,0.4960693
0.3344324,-0.0369361,0.03046615,0.03243391,-4.989288,-16.33508,0.5148715
0.445343,-0.03758768,0.04683339,0.0233888,-14.75977,-16.785,1.70781
0.5565359,-0.0359906,0.0615613,0.0091235,-25.11517,-16.66556,3.265198
0.6681511,-0.03464833,0.06533583,-1.813658E-05,-28.04974,-16.8107,3.08724
0.7786499,-0.02391101,0.06215379,-0.001007345,-24.55789,-10.11874,0.1045034
0.8905436,0.0003793724,0.05812213,-0.006071987,-21.68329,7.515315,-4.011536
1.002343,0.0157289,0.05844026,-0.01188044,-22.13779,18.657,-5.160461
1.113704,0.02147529,0.05872686,-0.01165999,-22.44238,21.50268,-5.34668
1.225288,0.01063272,0.05841159,-0.00415301,-22.11731,10.09387,-2.27182
1.336845,-0.01151878,0.0629235,-0.003060308,-27.18655,-10.04117,2.418446
1.448552,-0.02248007,0.06518473,-0.006184406,-29.93982,-19.90491,5.075404
1.559992,-0.02631534,0.06252484,-0.004690301,-27.11118,-21.44183,3.695605
1.671341,-0.009885193,0.05756623,0.001662834,-22.57385,-9.62558,-0.7333069
1.781981,0.01505236,0.05418108,0.0002485866,-20.24911,9.369112,-5.992615
1.893693,0.02516885,0.05721096,-0.002224111,-23.32928,17.32583,-6.881256
2.005457,0.0193305,0.05951026,0.00207884,-25.15137,12.43699,-3.928223
2.105564,0.009066086,0.05203188,0.009254565,-20.86008,3.443388,-2.622253
2.21468,0.0009003384,0.03997776,0.01830132,-12.65897,-2.270203,-2.167694
2.325545,-0.003717061,0.03872867,0.02199605,-12.24463,-4.09082,-2.044312
2.437323,0.002832011,0.04488297,0.01897577,-15.78012,0.7881181,-1.988403
2.548991,0.02400236,0.04511383,0.01008841,-15.45688,17.41308,-5.157135
2.659999,0.03882995,0.044414,-0.0001728814,-14.4256,30.98291,-6.784912
2.771299,0.0421576,0.04439159,-0.002718337,-14.39941,31.9152,-5.478882
2.882356,0.03517963,0.04560899,0.0019797,-14.78372,24.44786,-3.99173
2.994048,0.01879407,0.05060933,0.005481117,-19.23038,9.080028,-0.6676941
3.105972,0.003027238,0.05719452,0.001042478,-24.00085,-3.949982,1.328066
3.217139,-0.004777322,0.06446792,-0.006388507,-29.04889,-10.2485,2.177195
3.328867,-0.00604702,0.06766037,-0.01095623,-31.05408,-10.83768,2.059939
3.440535,-0.001888167,0.05754739,-0.006830863,-23.21536,-6.242584,-0.210083
3.552037,-3.30843E-05,0.04761777,0.0001535339,-17.06668,-3.450195,-0.57724
3.663001,-0.001962971,0.04404659,0.006033594,-14.82031,-3.066406,0.09824634
3.774544,-0.002242588,0.03936869,0.01090499,-12.16776,-1.999054,0.2709906
3.886667,0.0001282468,0.03179831,0.01757312,-7.706177,0.6262478,-0.1255493
3.997647,-0.0001743399,0.02635873,0.02533646,-5.168274,0.504156,-0.05114746
4.108762,-0.003826123,0.0256093,0.02914907,-5.499817,-1.644562,0.3814333
4.22026,-0.006240052,0.0272701,0.03071796,-6.72998,-2.865845,0.6483454
4.331861,-0.006787874,0.02799606,0.03098067,-7.157837,-3.409515,0.7533734
4.442954,-0.007070713,0.02832514,0.02916639,-7.373932,-3.687958,0.9520957
