InteractionNumber,ElapsedTime,SplitTime
1,0.7902336
2,2.896458,2.106224
3,3.23349,0.3370323
4,3.960979,0.7274895
5,5.485775,1.524796
6,5.898632,0.4128571
7,6.864513,0.9658813
8,7.253242,0.3887291
9,8.393623,1.140381
10,9.096359,0.7027359
11,9.472874,0.3765144
12,9.962971,0.490097
13,10.8404,0.8774338
14,11.42768,0.5872803
15,12.34277,0.915081
16,13.40876,1.065998
17,14.33563,0.9268684
18,15.25151,0.9158821
19,16.59087,1.339352
20,16.95474,0.3638725
21,17.68132,0.7265854
22,19.22338,1.542057
23,20.30123,1.077847
24,21.2649,0.9636688
25,22.71862,1.45372
26,23.54717,0.8285522
27,24.72365,1.176483
28,25.33819,0.6145401
29,26.29113,0.9529419
30,26.72527,0.4341354
31,27.60617,0.8809052
32,29.33535,1.729172
33,30.72611,1.390762
34,31.74263,1.016525
35,33.08124,1.338608
36,33.55745,0.4762039
37,34.2099,0.6524582
38,34.63686,0.4269562
39,36.21331,1.576454
40,36.76573,0.5524139
41,39.10859,2.342857
42,40.03777,0.929184
43,41.08935,1.051582
44,41.52726,0.4379044
45,42.60595,1.078697
46,43.44053,0.8345718
47,43.90796,0.4674301
48,45.47405,1.566093
49,46.77755,1.303505
50,47.2419,0.4643478
51,47.81772,0.5758209
52,48.27016,0.4524384
53,48.74585,0.4756851
54,49.10865,0.3628006
55,49.81083,0.702179
56,50.69947,0.8886414
57,51.69108,0.9916153
58,53.10614,1.415054
59,54.47211,1.365974
60,55.32421,0.8520966
61,55.83738,0.5131683
62,56.22572,0.3883438
63,57.06101,0.835289
64,57.9384,0.877388
65,58.89102,0.9526215
66,59.35556,0.4645386
67,59.78125,0.4256973
68,61.26328,1.482025
69,61.73812,0.4748383
70,62.5783,0.8401794
71,63.83242,1.254128
72,64.709,0.8765755
73,65.99988,1.290878
74,66.77617,0.7762909
75,67.24152,0.4653473
76,67.75455,0.513031
77,68.30624,0.5516968
78,68.63043,0.3241882
79,69.29582,0.66539
80,70.79933,1.50351
81,71.36333,0.5639954
82,72.72868,1.365356
83,73.38,0.6513214
84,75.01009,1.630081
85,75.42435,0.4142609
86,75.96248,0.5381317
87,77.00468,1.042206
88,77.41568,0.4109955
89,78.65614,1.240463
90,79.12024,0.4640961
91,79.96037,0.8401337
92,80.46063,0.5002594
93,81.61336,1.152725
94,82.10249,0.4891357
95,82.60362,0.5011292
96,83.69293,1.08931
97,84.40771,0.7147827
98,85.63603,1.228317
99,86.95128,1.315247
100,87.64186,0.6905823
101,88.17949,0.5376282
