InteractionNumber,ElapsedTime,SplitTime
1,15.60311
2,31.21989,15.61679
3,31.75585,0.5359535
4,31.82675,0.07090759
5,71.43373,39.60698
6,3.786606,-67.64713
7,6.927071,3.140465
8,4.385269,-2.541801
9,4.423523,0.03825378
10,5.702606,1.279083
11,7.993027,2.290421
12,11.8208,3.827774
13,15.92703,4.106232
14,17.03629,1.109253
15,29.00926,11.97298
16,30.82898,1.819717
17,33.24597,2.416992
18,41.88959,8.643616
19,47.08304,5.193451
20,49.53795,2.45491
21,53.24852,3.710571
22,57.74586,4.497345
23,58.82468,1.078812
24,62.23283,3.408157
25,66.08281,3.849976
26,67.64609,1.563278
27,73.11067,5.464584
28,76.17937,3.068695
29,77.33423,1.154861
30,78.53604,1.201813
31,80.34328,1.807236
32,81.30666,0.9633789
33,82.06017,0.7535095
34,83.34723,1.287064
35,84.53883,1.191605
36,87.93437,3.395538
37,87.96161,0.02723694
38,90.06772,2.10611
39,92.74666,2.67894
40,97.04729,4.300629
41,99.77954,2.732254
42,104.4581,4.678528
43,105.2846,0.8265533
44,107.4574,2.172806
45,110.4792,3.02182
46,111.2697,0.7904358
47,113.6286,2.358963
48,114.4527,0.8240662
49,115.5926,1.139923
50,118.1106,2.51796
51,122.9125,4.801941
52,125.064,2.151459
53,126.2768,1.21283
54,133.2719,6.995026
55,134.9055,1.633698
56,136.899,1.993469
57,138.8642,1.96521
58,141.9587,3.094482
59,144.2419,2.283203
60,147.3494,3.107513
61,148.6006,1.251221
