InteractionNumber,ElapsedTime,SplitTime
1,0.6977921
2,4.494644,3.796852
3,5.725792,1.231148
4,10.48782,4.762032
5,12.02325,1.535431
6,13.52059,1.497337
7,15.72668,2.206085
8,17.28011,1.553436
9,18.35578,1.075668
10,19.87363,1.517853
11,22.76891,2.895271
12,25.33563,2.566727
13,27.05301,1.717377
14,29.79544,2.742432
15,30.86406,1.068619
16,34.86319,3.99913
17,38.45961,3.59642
18,41.62923,3.169617
19,42.95399,1.324768
20,49.07396,6.119965
21,53.34093,4.266968
22,54.54948,1.208557
23,56.35141,1.801926
24,59.47676,3.125351
25,60.22975,0.7529907
26,62.55527,2.325516
27,64.96228,2.407013
28,69.87489,4.912613
29,72.62483,2.749939
30,73.57269,0.9478607
31,73.92224,0.3495483
32,76.03262,2.110382
33,76.78151,0.7488861
34,79.76093,2.979416
35,82.06891,2.307983
36,84.71227,2.643356
37,86.91771,2.205444
38,88.47214,1.554428
39,90.34225,1.870117
40,91.42706,1.084808
41,93.14793,1.720871
42,94.60126,1.453323
43,95.54613,0.94487
44,96.90614,1.360016
45,100.438,3.53186
46,103.3226,2.884598
47,105.0888,1.766174
48,108.6928,3.603989
49,109.9712,1.278473
50,110.5546,0.5833588
51,111.5312,0.9765778
