InteractionNumber,ElapsedTime,SplitTime
1,1.316521
2,3.3592,2.042679
3,4.011108,0.6519089
4,5.891388,1.88028
5,8.320313,2.428925
6,9.937401,1.617088
7,11.27775,1.340347
8,12.88369,1.605942
9,13.57246,0.6887665
10,14.65091,1.078453
11,15.80343,1.152519
12,17.36822,1.564789
13,19.41142,2.043198
14,20.77191,1.360497
15,25.31384,4.541924
16,26.37838,1.064545
17,27.28617,0.9077911
18,28.85681,1.570641
19,30.04919,1.192383
20,30.86553,0.8163376
21,34.34772,3.482193
22,36.26572,1.917992
23,37.04284,0.7771225
24,40.26138,3.218536
25,41.2767,1.015327
26,43.52211,2.245407
27,44.9372,1.415092
28,45.77535,0.83815
29,49.95789,4.182533
30,51.01197,1.054085
31,51.94103,0.9290619
32,52.98056,1.039528
33,53.7946,0.8140411
34,58.25693,4.462326
35,59.62392,1.366989
36,61.22472,1.6008
37,63.80772,2.583008
38,64.53484,0.7271118
39,65.45023,0.91539
40,66.2394,0.7891693
41,67.59138,1.35199
42,68.28278,0.691391
43,69.07155,0.7887726
44,70.22499,1.153442
45,70.8882,0.663208
46,72.25156,1.363358
47,74.93449,2.682938
48,75.9252,0.9907074
49,76.71326,0.7880554
50,78.01851,1.305252
51,81.16264,3.144135
52,82.02745,0.8648071
53,83.77881,1.751358
54,85.49634,1.717529
55,86.7518,1.255463
56,87.50545,0.7536469
57,88.26923,0.7637787
58,88.97083,0.7015991
59,92.04236,3.071533
60,94.23247,2.190109
61,95.51073,1.278259
62,96.35095,0.8402252
63,99.69695,3.345993
64,101.3895,1.69252
65,104.3708,2.981354
66,104.9854,0.6145325
67,106.1971,1.211716
68,106.9619,0.764801
69,107.8885,0.9266663
70,108.8047,0.9161835
71,109.8402,1.035461
72,110.8743,1.034088
73,115.2091,4.334869
74,116.6503,1.441132
75,117.8688,1.218521
76,118.8562,0.9874115
77,119.8581,1.001892
78,120.7365,0.8783722
79,121.6899,0.953476
80,122.9418,1.251831
81,123.9941,1.052292
82,124.834,0.83992
83,126.5121,1.678101
84,127.6627,1.15062
85,128.8046,1.141922
86,129.8949,1.09024
87,131.0976,1.202744
88,131.7885,0.6909027
89,135.7464,3.957901
90,136.8244,1.078003
91,137.802,0.9776001
92,138.6922,0.8901367
93,139.7071,1.014954
94,140.2948,0.5877075
95,143.5289,3.234055
96,144.8701,1.341187
97,147.7762,2.906128
98,149.206,1.429794
99,152.5256,3.319595
100,153.6521,1.126556
101,154.5798,0.9276428
