InteractionNumber,ElapsedTime,SplitTime
1,4.196369
2,8.619625,4.423256
3,10.68885,2.069229
4,11.97516,1.286304
5,14.90223,2.927074
6,18.6967,3.794472
7,19.94012,1.243416
8,21.75834,1.818218
9,22.17969,0.4213524
10,25.31952,3.139832
11,27.89984,2.580318
12,30.43591,2.536068
13,31.17476,0.7388458
14,34.14728,2.972527
15,34.29977,0.1524887
16,34.33704,0.03726959
17,37.29808,2.961037
18,41.31821,4.020134
19,42.50678,1.188568
20,44.29116,1.784378
21,46.37997,2.088814
22,48.12152,1.741554
23,50.73764,2.616112
24,52.56836,1.830719
25,53.41002,0.8416595
26,56.41793,3.007919
27,57.66265,1.24472
28,58.41903,0.7563782
29,60.75303,2.333992
30,62.03065,1.277626
31,64.30254,2.271885
32,65.03911,0.7365723
33,68.58717,3.548065
34,71.56833,2.981155
35,71.99266,0.4243317
36,76.02982,4.037155
37,77.42186,1.392044
38,79.97656,2.554703
39,81.25528,1.278717
40,83.09747,1.842194
41,85.74126,2.643784
42,87.73647,1.995209
43,89.5027,1.766235
44,92.03328,2.530579
45,95.19054,3.157257
46,96.35695,1.166412
47,97.58131,1.224365
48,99.85378,2.272461
49,100.9924,1.138672
50,103.6509,2.658447
51,105.3037,1.652847
