InteractionNumber,ElapsedTime,SplitTime
1,3.042511
2,4.395523,1.353012
3,6.00185,1.606327
4,7.188435,1.186584
5,8.742977,1.554543
6,10.13557,1.392593
7,11.6767,1.541126
8,14.53498,2.858284
9,15.67427,1.13929
10,16.26379,0.5895157
11,17.34093,1.077145
12,17.98385,0.6429176
13,19.08165,1.097797
14,23.21758,4.135937
15,25.42312,2.20554
16,26.01237,0.5892448
17,27.75642,1.744049
18,28.56923,0.8128128
19,30.19759,1.628357
20,31.42542,1.227837
21,32.9292,1.503777
22,34.07359,1.144394
23,35.61028,1.536682
24,36.6479,1.037628
25,37.82673,1.178825
26,39.33188,1.50515
27,40.38509,1.053207
28,42.4654,2.080315
29,43.96954,1.504143
30,45.12241,1.152863
31,47.81364,2.691238
32,49.60802,1.79438
33,51.2742,1.666176
34,52.87779,1.603592
35,54.31995,1.442162
36,55.57341,1.253456
37,57.78197,2.208565
38,59.14225,1.360275
39,59.70647,0.5642166
40,60.95965,1.253181
41,62.30192,1.34227
42,63.84271,1.540794
43,65.47256,1.629852
44,68.04089,2.568329
45,68.85538,0.8144836
46,70.70782,1.85244
47,72.25106,1.543243
48,73.32766,1.076599
49,74.79455,1.466888
50,76.31049,1.515945
51,79.19294,2.882446
52,80.72261,1.529671
53,82.25047,1.527863
54,82.94035,0.6898727
55,84.47087,1.530525
56,85.48408,1.013206
57,86.72263,1.238556
58,87.56252,0.8398895
59,89.743,2.180481
60,91.04616,1.303154
61,91.78673,0.7405701
62,92.71321,0.9264832
63,94.70688,1.993668
64,95.23299,0.5261078
65,96.27234,1.039352
66,97.30972,1.037384
67,98.42622,1.116501
68,99.31624,0.8900146
69,101.8482,2.531998
70,103.9788,2.130554
71,104.5182,0.5393677
72,105.5452,1.027008
73,106.0094,0.4642334
74,107.1744,1.165009
75,108.6031,1.428711
76,109.4057,0.802536
77,110.6325,1.226822
78,111.6976,1.065079
79,113.0137,1.316162
80,113.8781,0.8643799
81,114.457,0.5788727
82,115.7714,1.314453
83,116.7952,1.023758
84,117.5104,0.7151947
85,119.9673,2.45697
86,122.0474,2.080063
87,123.0394,0.9919586
88,123.8033,0.7639313
89,124.6551,0.8518219
90,127.6622,3.007095
91,128.7152,1.053024
92,130.2433,1.528107
93,132.2704,2.0271
94,133.199,0.9285889
95,134.7918,1.592728
96,135.6307,0.8389435
97,136.935,1.304291
98,139.916,2.981018
99,140.5801,0.6640778
100,142.5739,1.993851
101,143.4759,0.901947
102,146.2952,2.819351
103,147.9254,1.630127
104,148.7019,0.7765656
105,150.4441,1.742126
106,152.3477,1.903641
107,154.6539,2.306244
108,155.294,0.6400299
109,158.4115,3.117554
110,159.4274,1.015884
111,160.831,1.40361
112,161.4946,0.6635895
113,162.6863,1.191727
114,164.3398,1.653488
115,165.3055,0.9656219
116,167.067,1.761551
117,168.4241,1.357117
118,170.8803,2.456223
119,172.1217,1.241379
120,172.8347,0.7130127
121,173.5621,0.7273712
122,175.8932,2.3311
123,177.9197,2.026474
124,179.689,1.769287
125,180.3525,0.6635284
126,181.8193,1.466766
127,182.634,0.8146973
128,183.4488,0.8148651
129,185.679,2.230209
130,187.4583,1.779312
131,188.6439,1.185577
