InteractionNumber,ElapsedTime,SplitTime
1,0.9799461
2,1.996319,1.016373
3,3.726667,1.730349
4,4.67812,0.9514523
5,7.008553,2.330433
6,8.586023,1.577471
7,9.476374,0.8903503
8,10.49104,1.014671
9,11.68225,1.191204
10,12.09567,0.4134254
11,13.41202,1.316349
12,14.96516,1.553139
13,16.70915,1.743992
14,17.69557,0.9864197
15,18.33395,0.6383743
16,18.81167,0.4777222
17,19.24899,0.4373169
18,20.15106,0.9020767
19,21.35501,1.203945
20,22.2076,0.8525887
21,23.04991,0.842308
22,23.61172,0.5618095
23,24.62683,1.015114
24,25.57976,0.9529305
25,27.16226,1.582504
26,28.43484,1.272572
27,29.97779,1.542957
28,30.47971,0.5019188
29,31.4174,0.9376907
30,32.64685,1.229448
31,33.49632,0.8494644
32,35.52749,2.031174
33,36.70525,1.177765
34,37.34528,0.6400299
35,37.89684,0.5515518
36,38.38595,0.4891129
37,39.0128,0.6268539
38,39.48818,0.4753799
39,40.18936,0.7011795
40,41.51733,1.327972
41,42.82094,1.303604
42,43.85815,1.037209
43,44.81364,0.9554977
44,46.25401,1.440369
45,47.14516,0.8911514
46,47.87027,0.7251053
47,49.03515,1.164879
48,50.35176,1.316612
49,50.76542,0.4136581
50,51.32995,0.5645294
51,51.80463,0.4746857
52,52.29527,0.4906311
53,52.75797,0.4627075
54,54.18925,1.431282
55,55.58791,1.398659
56,56.42754,0.8396225
57,57.61913,1.191597
58,58.07008,0.450943
59,58.54692,0.4768448
60,59.61339,1.066467
61,60.4521,0.8387146
62,61.7044,1.252296
63,62.18186,0.4774628
64,62.8573,0.6754379
65,63.64726,0.7899628
66,64.52285,0.8755875
67,65.45105,0.9281998
68,67.36802,1.916969
69,69.31127,1.943253
70,70.33859,1.027321
71,71.96772,1.629128
72,73.05759,1.089867
73,73.53316,0.4755783
74,74.10938,0.57621
75,75.173,1.063629
76,75.78715,0.6141434
77,76.89074,1.103592
78,78.82548,1.934738
79,80.14985,1.324371
80,80.66397,0.514122
81,81.12865,0.4646759
82,82.14408,1.015434
83,83.47008,1.325996
84,83.85909,0.3890152
85,84.34953,0.4904404
86,85.97431,1.624779
87,87.65462,1.680305
88,89.61087,1.956253
89,90.21506,0.604187
90,91.33938,1.124321
91,93.29556,1.956177
92,93.79781,0.5022507
93,96.38909,2.591286
94,97.51846,1.129364
95,98.99713,1.478676
96,100.4013,1.404144
97,101.4122,1.010956
98,101.8149,0.4026871
99,102.3027,0.4878082
100,103.6699,1.367203
101,104.8108,1.140884
