InteractionNumber,ElapsedTime,SplitTime
1,0.9335428
1,1.635117,0.7015739
2,2.224302,0.5891854
3,3.302794,1.078492
4,4.255371,0.9525766
5,4.881674,0.6263027
6,5.595928,0.7142539
7,6.849242,1.253314
8,7.524964,0.6757216
9,8.189471,0.6645074
10,9.029863,0.8403921
11,9.681859,0.6519957
12,10.38311,0.7012482
13,11.36069,0.9775877
14,12.4755,1.11481
15,13.13957,0.6640625
16,13.86718,0.7276125
17,14.58219,0.7150078
18,15.23341,0.6512232
19,15.94641,0.7130013
20,16.88647,0.9400549
21,17.70135,0.8148861
22,18.28982,0.5884686
23,19.01727,0.7274494
24,19.86914,0.8518696
25,20.53426,0.6651173
26,21.4234,0.889143
27,22.09966,0.6762619
28,22.6766,0.5769348
29,23.52779,0.8511906
30,24.41903,0.8912468
31,25.12727,0.708231
32,25.95898,0.8317146
33,26.89902,0.9400349
34,27.48752,0.5885029
35,28.25307,0.7655525
36,29.00387,0.7507954
37,29.60657,0.6026993
38,30.33488,0.7283192
39,31.03517,0.700285
40,31.7494,0.7142296
41,32.45139,0.7019939
42,33.67947,1.228077
43,34.14293,0.4634552
44,34.71951,0.57658
45,35.43037,0.7108688
46,36.32135,0.8909798
47,36.94852,0.6271706
48,37.53784,0.5893173
49,38.22528,0.6874352
50,39.15411,0.9288368
51,40.00497,0.8508606
52,40.70699,0.7020149
53,41.47269,0.7656975
54,42.35077,0.8780785
55,42.98004,0.6292725
56,43.64127,0.661232
57,44.43178,0.7905083
58,45.08343,0.6516533
59,45.5589,0.4754639
