time,posX,posY,posZ,rotX,rotY,rotZ
0.1060794,0.004330024,-0.01281546,0.01221488,0.3839637,-2.360474,2.260123
0.2064951,0.004383271,-0.01191086,0.01196587,-0.05474854,-1.93927,2.90553
0.3185028,0.003538511,-0.01195574,0.01194602,-0.0362854,-2.0896,2.881577
0.4300435,0.002656434,-0.01216272,0.01234772,0.06588046,-2.630432,2.669651
0.5306717,0.002479837,-0.01324852,0.01245053,0.6546321,-2.754761,2.697949
0.6307091,0.003879327,-0.01765916,0.01171499,3.236551,-2.186554,2.885332
0.7313568,0.006529182,-0.02703878,0.01154504,9.253377,-0.8434753,2.893676
0.8314573,0.01050773,-0.03372657,0.01382102,13.12248,0.4589331,2.277405
0.931952,0.01629704,-0.0401402,0.01768424,16.58774,2.386861,1.562974
1.032142,0.02489198,-0.04515185,0.02194224,19.1151,4.588902,-0.03753662
1.132827,0.033661,-0.05231765,0.02379469,22.17105,7.162273,-0.8637695
1.233515,0.03615583,-0.05633484,0.02627877,24.65557,5.71767,-2.624359
1.333755,0.02909624,-0.05264437,0.02955298,22.15752,-0.3945313,-3.462128
1.445858,0.0170017,-0.04719683,0.02939931,19.34683,-7.68866,-4.701202
1.547339,0.01021289,-0.04507123,0.02520757,18.43701,-10.45428,-4.731384
1.660053,0.006917003,-0.04779273,0.02186728,19.92909,-10.26367,-4.530151
1.761006,0.006159463,-0.03825464,0.02811986,15.27492,-7.523468,-3.442017
1.872643,0.006258771,-0.02607028,0.03051836,8.643074,-5.002014,-1.843414
1.973656,0.003602468,-0.01774077,0.02625738,3.790334,-4.023315,-0.3651733
2.085233,-0.001782965,-0.01348845,0.01809909,1.787377,-4.725952,0.6048954
2.18567,-0.007757395,-0.01134853,0.01148366,0.3804134,-6.176727,1.440304
2.286771,-0.01027422,-0.01659214,0.01129077,3.395267,-6.275787,1.465928
2.394612,-0.01213137,-0.02177323,0.01830376,5.995721,-7.106506,0.3776103
2.499544,-0.01691904,-0.02255039,0.02553455,6.239119,-11.73395,-1.321869
2.599971,-0.02433377,-0.02091167,0.02794464,4.633639,-18.89023,-2.852753
2.700434,-0.029436,-0.02412868,0.02367732,6.104299,-24.85501,-4.05127
2.813003,-0.03065057,-0.02809276,0.02159883,8.30084,-26.95688,-4.766266
2.913258,-0.02527758,-0.03026471,0.02594292,9.496301,-23.44186,-3.944244
3.013736,-0.01322845,-0.03380567,0.03214543,11.38705,-14.7074,-2.082764
3.11378,0.001735532,-0.0406987,0.03363097,15.28697,-4.088074,0.9541549
3.215397,0.01382466,-0.04753316,0.03037895,19.44162,5.054839,3.360519
3.327033,0.02035421,-0.05181467,0.02786276,21.64248,9.699909,4.136808
3.440177,0.02386148,-0.05368565,0.02863568,22.53185,11.82626,4.940543
3.540431,0.02660557,-0.061004,0.02896525,25.76616,13.67038,4.923349
3.652995,0.03082989,-0.06888352,0.03229302,29.6797,16.26316,5.425701
3.753784,0.03345151,-0.07336129,0.0368031,31.30378,18.56032,7.197109
3.865488,0.03256433,-0.07530671,0.0402075,32.03598,18.2543,7.42859
3.96649,0.02964894,-0.06949595,0.04205368,29.48149,16.14744,6.610152
4.079774,0.02562727,-0.05625926,0.04111282,22.78165,13.69237,5.389346
4.192528,0.02093744,-0.03821841,0.03399287,14.48934,11.66003,4.382745
4.292644,0.01810778,-0.02626575,0.0222127,8.401597,11.28313,4.657268
4.405935,0.01605276,-0.02140118,0.0125603,5.908854,11.07115,4.595409
4.517497,0.01498405,-0.02348887,0.009675576,7.221192,10.73975,4.586035
4.619576,0.01539367,-0.0314724,0.01413961,11.57162,10.78896,4.987292
4.730064,0.01713937,-0.04225698,0.02276349,17.05239,11.34172,4.92101
4.830412,0.01868574,-0.05471418,0.0325623,22.55779,11.45026,4.790253
4.931081,0.01887221,-0.06667223,0.04133567,27.9286,10.82858,4.881539
5.043936,0.019657,-0.0716503,0.04869981,30.0601,10.82214,4.954164
5.144382,0.01976829,-0.06977545,0.05099843,28.66367,10.80911,5.074859
5.244456,0.01352032,-0.0641952,0.04934093,26.1703,7.011884,4.642574
5.344903,0.004775858,-0.05590868,0.04602594,22.28415,1.738384,2.838031
5.458693,-0.005853523,-0.0439203,0.04107339,17.38984,-4.5354,0.8022509
5.569527,-0.01347345,-0.02767099,0.03200531,8.827602,-8.729675,0.1982853
5.669925,-0.0170662,-0.01951851,0.01894785,4.752029,-10.38837,0.6493487
5.770209,-0.01760375,-0.01850078,0.008732584,4.54871,-10.31308,1.348732
5.870483,-0.01516332,-0.01968328,0.00856985,5.081573,-9.075745,2.032715
5.971332,-0.01063636,-0.02919601,0.01502633,10.0619,-6.157715,2.879171
6.071508,-0.007677668,-0.04047135,0.02396929,15.77225,-3.342712,3.311903
6.172493,-0.004191688,-0.05459467,0.03414309,22.11796,0.04538685,4.572876
6.284375,0.0008454854,-0.07104521,0.04630131,29.16279,4.735068,5.644357
6.385222,0.001713843,-0.07836895,0.05564542,31.94356,5.52086,5.498337
6.497848,0.0002552597,-0.08229177,0.05945648,33.20095,4.709861,5.400213
6.609984,-0.002516273,-0.08229961,0.05892071,33.15759,3.183785,4.805978
6.710224,-0.004571269,-0.0755023,0.05705195,29.97624,2.203785,4.796971
6.810433,-0.003391616,-0.06731794,0.05255122,26.53604,3.944326,6.33017
6.911714,0.001459739,-0.06086883,0.04639428,23.9874,8.440881,8.27164
7.02473,0.00745685,-0.0539679,0.04056514,20.81859,12.8664,9.532857
7.125358,0.01209219,-0.04906353,0.03560453,18.6514,15.53428,9.607788
7.236443,0.01150533,-0.04461341,0.03408673,16.92656,13.22773,7.558845
7.336735,0.003921392,-0.04110837,0.03262929,15.52945,5.426365,3.769675
7.437892,-0.005402204,-0.03601957,0.03018822,13.20151,-2.995209,0.7722135
7.549995,-0.01449286,-0.03286168,0.02526756,11.53189,-10.6951,-1.060913
7.662684,-0.02162303,-0.03408507,0.02118737,12.31467,-16.37509,-2.362671
7.763364,-0.02529687,-0.03543971,0.02150129,12.95738,-18.58032,-2.480164
7.863976,-0.02388223,-0.03868593,0.02485255,14.69794,-16.60333,-1.879761
7.976834,-0.01625063,-0.03933176,0.03005728,15.043,-9.679871,0.009316214
8.077066,-0.001687158,-0.03552045,0.03240058,12.67471,1.838361,3.863601
8.189127,0.009565163,-0.03112186,0.02895737,10.28406,10.70153,6.290151
8.301895,0.01508433,-0.02754273,0.02380061,8.413122,15.48722,6.676175
8.40232,0.01829417,-0.02347424,0.0191666,6.363895,18.28459,6.492147
8.514792,0.02047139,-0.01956969,0.01577827,4.129735,20.57612,5.890676
8.615388,0.02093904,-0.02011582,0.01333239,4.227648,21.64687,6.041498
8.715446,0.01732823,-0.02553798,0.01492342,7.239742,18.84998,6.060338
8.816185,0.01089661,-0.03081506,0.02080437,10.34546,13.09636,4.76404
8.928591,0.002367463,-0.03479195,0.02784124,12.51069,3.941173,1.890815
9.029009,-0.004876249,-0.04053688,0.03210744,15.25955,-5.59848,-0.8808289
9.12989,-0.006594866,-0.04500486,0.03554537,17.14435,-10.772,-3.138123
9.233171,-0.005999094,-0.04773451,0.03892251,18.21213,-12.67703,-4.481689
9.340024,-0.00384658,-0.05078238,0.04195755,19.57768,-12.09677,-4.729156
9.441676,-0.001650595,-0.04868408,0.04514957,18.44986,-9.862915,-4.23761
9.542012,-0.002312363,-0.03856559,0.04506788,13.34895,-8.49588,-2.340302
9.643198,-0.004191944,-0.02792582,0.03775917,7.992158,-8.144592,-0.9310608
9.743558,-0.007793984,-0.02349305,0.02544183,6.396247,-9.817993,-1.407715
9.855754,-0.01148254,-0.01762629,0.01691418,3.707917,-12.5477,-2.269409
9.956687,-0.01375096,-0.01229242,0.01182352,0.9006663,-14.71484,-1.945374
10.06797,-0.01492264,-0.01024971,0.009746838,-0.008728027,-16.54474,-2.089966
10.16816,-0.01264929,-0.01689287,0.01085746,3.274904,-15.91678,-2.182068
10.26841,-0.0105175,-0.02444979,0.01633985,7.561329,-13.7865,-1.94165
10.36841,-0.007943714,-0.03476623,0.02450918,12.6643,-10.11584,-0.6172791
10.46889,-0.007293835,-0.04569256,0.03200507,17.88716,-6.807404,0.5118961
10.56914,-0.01070863,-0.05474745,0.03917766,21.82784,-5.489319,2.687002
10.66946,-0.01703283,-0.0611264,0.04583219,24.18297,-5.402191,4.271356
10.76989,-0.0239664,-0.06726857,0.04979594,26.52304,-6.26651,4.728627
10.87036,-0.03090834,-0.07043409,0.0520743,27.67208,-7.27713,5.757801
10.9834,-0.03162676,-0.06831102,0.05277307,26.13344,-5.331726,7.620071
11.09677,-0.02503403,-0.06474603,0.05160478,24.35139,0.04227686,9.752383
11.20882,-0.01437999,-0.06153493,0.04835396,22.93712,5.946178,11.46294
11.30945,-0.005554969,-0.06051028,0.04582967,22.96837,9.31208,11.2451
11.42196,0.007389026,-0.05738866,0.0441982,21.70885,14.82638,11.87067
11.52335,0.02345262,-0.05197119,0.04148174,19.16879,22.76939,12.35262
11.62358,0.03507778,-0.0451556,0.03709091,15.64042,28.14102,12.39442
11.73475,0.04333649,-0.03525326,0.03061793,10.7539,31.308,11.19191
11.83583,0.04676912,-0.02920952,0.02417592,7.877114,32.52473,10.22366
11.93648,0.04484165,-0.03056706,0.02083446,9.131374,30.12837,9.029732
12.04827,0.03813248,-0.03673366,0.0236622,13.01935,23.56088,6.747562
12.16122,0.02923885,-0.04489385,0.03044941,17.44352,15.63635,4.553068
12.26141,0.01915468,-0.05335767,0.04048598,20.9574,6.877109,0.9183078
