InteractionNumber,ElapsedTime,SplitTime
0,2.519534
1,3.22086,0.7013261
2,4.611929,1.391069
3,6.929233,2.317303
4,8.250249,1.321016
5,9.647119,1.39687
6,12.31817,2.67105
7,13.97289,1.65472
8,14.6505,0.6776104
9,15.42752,0.7770214
10,18.07252,2.645
11,19.13776,1.065237
12,19.82588,0.6881199
13,21.59396,1.76808
14,23.51021,1.916256
15,25.00303,1.492821
16,26.6563,1.653267
17,28.2729,1.616602
18,29.27524,1.002337
19,31.2176,1.942362
20,32.34459,1.126987
21,35.62822,3.283627
22,36.29311,0.6648979
23,37.09515,0.8020325
24,38.92146,1.826317
25,40.26259,1.341125
26,41.76789,1.505306
27,42.50768,0.7397881
28,43.78691,1.279224
29,45.72884,1.941933
30,46.9069,1.178062
31,47.77187,0.8649673
32,48.81168,1.03981
33,50.7543,1.942616
34,51.4175,0.663208
35,51.99444,0.5769348
36,52.77228,0.7778397
37,53.38615,0.6138725
38,54.3879,1.001751
39,55.23031,0.842411
40,56.69372,1.463409
41,57.33348,0.6397591
42,58.82467,1.491188
43,59.4016,0.5769348
44,60.52818,1.126572
45,61.48138,0.9532089
46,62.05819,0.5768089
47,63.27453,1.216339
48,63.90106,0.6265259
49,65.17838,1.277325
50,66.15675,0.978363
