time,posX,posY,posZ,rotX,rotY,rotZ
0.1070942,-0.009929892,-0.0287337,-0.004351834,0.5266873,-5.567352,3.869219
0.207806,-0.009906985,-0.02876559,-0.004501529,0.5475413,-5.553802,3.854697
0.3189719,-0.00978129,-0.02866397,-0.004489583,0.4628507,-5.524811,3.870688
0.4301353,-0.009504471,-0.02927099,-0.004314128,0.7989433,-5.433868,3.856741
0.5306935,-0.007595554,-0.03195888,-0.003559402,2.404205,-4.30368,3.837226
0.6436097,-0.002554558,-0.03217134,-0.001681398,2.523685,-0.7791748,3.712566
0.7443348,0.004562702,-0.03212038,-0.001210351,2.487021,4.054519,3.782134
0.8571812,0.0108283,-0.03173231,-0.001793233,2.217348,7.642647,3.962353
0.9695119,0.01846523,-0.031398,-0.003691693,2.239792,11.88906,3.553062
1.070063,0.02751973,-0.0309619,-0.0065447,2.116016,17.46814,4.246251
1.171233,0.030528,-0.0322944,-0.007387213,2.739561,19.01399,4.913402
1.284077,0.02190069,-0.03809112,-0.004994682,6.36869,12.85294,4.784165
1.38558,0.002776183,-0.04365363,-0.0009880986,9.760698,0.1603176,3.256449
1.496632,-0.01882948,-0.04788567,0.001016613,12.07763,-13.1669,1.5346
1.596805,-0.03810953,-0.05142761,0.000944945,13.90816,-23.38895,-0.07104492
1.697057,-0.05146728,-0.05077938,0.0004098322,12.90308,-28.42252,-0.6228027
1.797534,-0.06215686,-0.04970248,-0.002815528,12.00313,-32.8118,-1.35611
1.897604,-0.06774656,-0.04922124,-0.005710462,11.53334,-34.6308,-1.258789
2.000417,-0.0664173,-0.04766062,-0.005324928,11.36663,-32.32617,-0.3248901
2.110297,-0.06330291,-0.03601026,-0.004457138,5.118247,-29.34268,-0.07366943
2.211153,-0.05894081,-0.02039815,-0.008322936,-3.111115,-27.17978,-0.3171997
2.324191,-0.05296767,-0.008845556,-0.01672412,-9.676605,-25.26382,0.000813481
2.424553,-0.04607807,0.0008643611,-0.0240401,-14.93088,-23.31665,0.7382411
2.537869,-0.03845738,0.01055385,-0.03010053,-20.80728,-21.07922,0.6094856
2.63807,-0.03213511,0.01600865,-0.03549672,-24.60245,-19.87491,0.2413536
2.749721,-0.02892841,0.01648279,-0.03945959,-24.68848,-19.87262,-0.008239746
2.853055,-0.03065857,0.01508843,-0.04046887,-23.65933,-21.99689,0.4091769
2.963612,-0.03532714,0.00830381,-0.0384823,-18.95782,-25.09006,0.4361714
3.076334,-0.03883716,0.002718355,-0.03095371,-15.54886,-25.39697,0.3979199
