time,posX,posY,posZ,rotX,rotY,rotZ
0.1060794,0.1119493,0.02505127,-0.005452279,-2.119354,-4.400726,3.721672
0.2064951,0.111222,0.02493229,-0.004092349,-2.348206,-4.016418,3.308918
0.3185028,0.1110987,0.0242867,-0.002950546,-2.033356,-3.494354,3.526256
0.4300435,0.1129349,0.02064059,-0.002536521,0.3849136,-2.182556,3.097537
0.5306717,0.1153263,0.0125407,-0.001415047,5.612999,-0.6711121,2.39811
0.6307091,0.1149063,-5.281472E-05,0.001276539,13.30487,-0.2010803,2.036082
0.7313568,0.114475,-0.008255879,0.007874982,17.27142,0.5969605,2.55258
0.8314573,0.1162105,-0.01164965,0.01570812,18.43517,2.788691,2.886772
0.931952,0.1167462,-0.01153767,0.02183871,17.90449,3.818308,2.272446
1.032142,0.1156644,-0.005474832,0.02443962,14.94942,3.166278,1.765052
1.132827,0.1152672,0.01130977,0.02410486,5.652255,2.904178,1.829298
1.233515,0.1162093,0.0251421,0.01558026,-2.706451,3.433779,2.504595
1.333755,0.1171437,0.02970278,0.006351982,-4.990875,3.697713,2.415794
1.445858,0.1176835,0.01968464,-0.002081053,1.364371,2.918248,1.112856
1.547339,0.1149085,0.01501975,0.001461627,4.777484,-0.06414795,-1.958923
1.660053,0.1058774,0.01302459,0.008585059,5.199785,-7.295624,-3.596252
1.761006,0.09756134,0.01060165,0.01298512,6.006419,-12.8645,-3.958466
1.872643,0.09647775,0.01031462,0.01556719,5.958347,-12.85828,-2.736511
1.973656,0.1082484,0.01185872,0.01735132,5.075725,-3.714447,0.3923238
2.085233,0.1264412,0.01620668,0.01486514,2.809945,8.948606,2.577233
2.18567,0.1435084,0.02114167,0.007403572,0.4494878,19.79181,2.942978
2.286771,0.1577656,0.02698326,-0.00211775,-2.865631,29.03652,2.206966
2.394612,0.164164,0.02507718,-0.01083625,-1.473175,32.60713,1.291957
2.499544,0.1680432,0.01763681,-0.01472025,3.007388,32.75976,0.9408292
2.599971,0.1694912,0.01083289,-0.0127312,7.034205,31.19357,0.3346539
2.700434,0.1697082,0.006125604,-0.00683766,9.34178,29.13603,-0.3767395
2.813003,0.1692969,0.001984441,0.001357454,11.27022,27.22878,0.03129406
2.913258,0.1647172,0.0005469214,0.006486059,11.92855,24.37508,0.5952443
3.013736,0.1602448,-0.004130158,0.006151021,14.55118,23.65061,2.524393
3.11378,0.1591713,-0.01103001,0.002945288,18.367,26.27563,4.985847
3.215397,0.1612637,-0.01616033,-0.0001925472,21.12554,30.97227,6.349114
3.327033,0.1682437,-0.01626806,-0.004229205,20.68906,38.80527,8.313604
3.440177,0.1697315,-0.01499624,-0.005511159,19.6489,41.13334,8.692341
3.540431,0.1581568,-0.01256253,0.001164051,18.55861,33.56168,5.907971
3.652995,0.1399839,-0.008600334,0.009541038,16.75438,20.48326,2.220879
3.753784,0.1190182,-0.001543491,0.01578974,12.94061,6.750155,-1.456116
3.865488,0.1013872,0.002045081,0.01827604,10.76139,-3.529114,-4.171997
3.96649,0.09174605,-0.000846413,0.01665068,12.51326,-9.043945,-4.583771
4.079774,0.09271614,-0.007798683,0.01575379,16.19524,-6.911865,-3.193298
4.192528,0.09822926,-0.01326268,0.01740407,19.06157,-1.706116,-1.263885
4.292644,0.101448,-0.01978346,0.01989559,21.67884,1.097742,0.1121233
4.405935,0.1004279,-0.02406095,0.02487008,23.02205,0.6906474,-0.2466125
4.517497,0.09744442,-0.02426769,0.02961203,22.95805,-1.030792,-0.8609009
4.619576,0.09577874,-0.02188399,0.0323612,21.27733,-1.517181,-0.9315186
4.730064,0.0951883,-0.008998844,0.03444566,15.08838,-1.348114,-0.5290222
4.830412,0.09517787,0.009813384,0.03170165,5.31479,-0.7885132,0.4887862
4.931081,0.09604472,0.02065345,0.02221516,-0.02151489,0.4954576,1.53262
5.043936,0.09507094,0.01982193,0.01164532,0.779952,0.1133797,0.9166642
5.144382,0.09163007,0.01584985,0.00729124,3.258404,-2.881622,-0.1715088
5.244456,0.08995635,0.01456172,0.01079936,4.026744,-3.823608,-0.2043152
5.344903,0.09918477,0.01389188,0.01687577,4.21175,2.622078,2.168484
5.458693,0.1140833,0.0135646,0.01925773,3.790909,12.13992,3.623243
5.569527,0.1249688,0.01254345,0.0159032,4.511148,19.41631,4.354454
5.669925,0.1205153,0.01195708,0.01368233,5.051389,16.03825,2.107507
5.770209,0.1023964,0.01419253,0.01206772,4.489069,3.986484,-0.5281677
5.870483,0.07261769,0.01994852,0.005907592,1.278382,-13.7655,-3.144653
5.971332,0.04665111,0.02515064,-0.006070594,-1.880615,-29.88577,-3.398712
6.071508,0.0394932,0.02413742,-0.01102314,-1.241638,-31.80487,-1.25061
6.172493,0.04188586,0.01622567,-0.008139318,3.241165,-26.72131,0.1373511
6.284375,0.04730008,0.003426676,-8.411892E-05,9.93979,-20.53549,0.5584773
6.385222,0.05552576,-0.01499112,0.008732946,19.32168,-14.28677,1.511425
6.497848,0.05937736,-0.02062163,0.02055225,21.95551,-11.81393,0.4246395
6.609984,0.05968247,-0.01919486,0.02517258,20.66669,-13.23798,-0.651123
6.710224,0.06580052,-0.01775466,0.027102,19.76816,-10.82715,-1.243744
6.810433,0.09087825,-0.008424282,0.02891191,15.08823,1.927992,0.7874284
6.911714,0.1188392,-0.001774906,0.022948,12.02125,14.99739,1.98103
7.02473,0.1418009,0.003810919,0.01439873,9.032833,25.32645,2.052779
7.125358,0.1535473,0.000726965,0.003494698,10.91425,29.09063,0.8254846
7.236443,0.1544922,-0.0133911,-0.001776826,18.99987,27.02033,0.5745117
7.336735,0.1533235,-0.02595364,0.001006501,25.24384,25.02197,1.521898
7.437892,0.1538642,-0.03275483,0.008408267,28.08602,24.92633,2.29724
7.549995,0.1536451,-0.03414475,0.01551259,28.37723,24.64352,2.367655
7.662684,0.148481,-0.02729975,0.01902561,25.08645,21.14649,0.7564066
7.763364,0.1457375,-0.01255641,0.01110668,19.54967,22.03083,-1.24762
7.863976,0.144311,0.006504323,-0.002316348,9.406235,23.64198,-2.061554
7.976834,0.1391383,0.02083187,-0.01919411,1.811945,23.45598,-2.489899
8.077066,0.1312903,0.02135898,-0.02868153,1.958487,21.04513,-2.165314
8.189127,0.1273421,0.01891029,-0.02565583,3.440575,20.14994,-1.440796
8.301895,0.12432,0.01241779,-0.01685381,7.37182,19.91147,-0.1843872
8.40232,0.1191218,0.005441913,-0.0083971,10.94387,17.31533,0.9707074
8.514792,0.1098533,-0.002120069,-0.002691131,14.77694,11.85657,0.4737918
8.615388,0.1020419,-0.005758734,0.00201814,16.29075,6.695114,-0.06277466
8.715446,0.09944272,-0.01060776,0.006792541,18.17842,4.973362,0.7200161
8.816185,0.1026283,-0.01254349,0.01258315,18.59069,7.01411,1.696138
8.928591,0.1077189,-0.01495984,0.01888737,18.79156,8.765142,1.124709
9.029009,0.1111447,-0.02702528,0.02217194,23.83062,8.867458,-0.2654724
9.12989,0.1136554,-0.03992136,0.02588425,29.76155,7.844374,-2.158234
9.233171,0.1168776,-0.04617585,0.03075159,32.45388,7.522039,-3.044067
9.340024,0.1144542,-0.04473642,0.03399352,31.39832,4.383016,-4.227386
9.441676,0.107065,-0.03648359,0.0321243,27.97625,-0.6264038,-5.624023
9.542012,0.1058934,-0.01873512,0.02726703,20.51563,0.6246181,-4.261505
9.643198,0.1040292,0.005102517,0.01552656,9.308134,3.013125,-1.820404
9.743558,0.09559237,0.01811239,-0.0001996632,3.199041,1.668737,-1.786774
9.855754,0.08564705,0.02172055,-0.009027858,1.83266,-1.394073,-1.595398
9.956687,0.07227591,0.01994513,-0.009926181,2.973768,-5.995728,-1.323975
10.06797,0.06330567,0.01479619,-0.002634681,5.044227,-8.731293,-0.7530823
10.16816,0.05621535,0.006282643,0.00836863,8.715113,-10.88266,-0.9332581
10.26841,0.04848869,-0.002000199,0.01889338,11.72251,-14.02188,-2.08902
10.36841,0.03919875,-0.00636919,0.02589582,13.24558,-19.23703,-3.89151
