InteractionNumber,ElapsedTime,SplitTime
0,1.671816
1,2.347715,0.6758989
2,3.21339,0.8656752
3,4.442071,1.228682
4,5.895844,1.453772
5,6.497874,0.6020308
6,6.998951,0.5010772
7,8.176169,1.177218
8,8.603098,0.4269285
9,9.104461,0.5013628
10,10.99599,1.891527
11,12.14927,1.153286
12,12.61257,0.4633007
13,13.67855,1.065977
14,14.85604,1.17749
15,15.57074,0.7147007
16,16.77346,1.202722
17,17.82532,1.051851
18,18.42667,0.6013527
19,18.99064,0.5639725
20,19.66712,0.6764832
21,20.45702,0.7898998
22,20.80796,0.3509369
23,21.78512,0.9771614
24,22.63827,0.8531437
25,23.30491,0.666647
26,23.95425,0.6493416
27,24.63028,0.6760235
28,25.23192,0.6016464
29,26.09626,0.864336
30,27.04937,0.9531059
31,27.72534,0.6759758
32,28.77857,1.053228
33,30.19396,1.415388
34,30.79588,0.601923
35,31.42294,0.6270618
36,33.07624,1.653294
37,34.3425,1.266262
38,35.05794,0.7154427
39,35.99699,0.9390526
40,36.7237,0.7267036
41,37.33821,0.6145134
42,37.90205,0.5638351
43,38.59151,0.6894684
44,39.24293,0.651413
45,39.83173,0.5888023
46,40.53368,0.7019463
47,41.26043,0.726757
48,41.68804,0.4276047
49,42.7886,1.100567
50,44.26772,1.479115
