time,posX,posY,posZ,rotX,rotY,rotZ
0.1070942,-0.02104666,-0.03437059,-0.01995176,4.6175,-12.22693,5.441075
0.207806,-0.02120692,-0.03438092,-0.0200016,4.637142,-12.24203,5.496501
0.3189719,-0.02116669,-0.03448262,-0.01993387,4.710114,-12.23267,5.42513
0.4301353,-0.02110634,-0.03442501,-0.01973301,4.68098,-12.14288,5.41855
0.5306935,-0.02099706,-0.03477086,-0.01992705,4.910785,-12.05859,5.268204
0.6436097,-0.02029782,-0.03469813,-0.01878772,4.677571,-11.57825,5.427047
0.7443348,-0.01621655,-0.02360966,-0.01691338,-1.232666,-8.847107,5.885831
0.8571812,-0.005762741,-0.01411035,-0.02048859,-6.927246,-2.354584,6.507359
0.9695119,0.006633013,-0.0002759586,-0.02792673,-14.96378,4.653447,5.778715
1.070063,0.01510954,0.007600863,-0.03831864,-20.49478,9.331802,4.160755
1.171233,0.01371985,0.008892694,-0.04341442,-20.55371,7.157372,4.338648
1.284077,0.006890081,0.009341367,-0.04401809,-20.85727,2.7434,5.458423
1.38558,-0.00142654,0.01012525,-0.04432437,-21.48795,-1.085938,6.159054
1.496632,-0.01403992,0.01193123,-0.04655248,-23.15881,-6.829376,7.242685
1.596805,-0.03218064,0.01176005,-0.05289597,-22.71533,-17.02252,8.934994
1.697057,-0.04963844,0.01201531,-0.06081066,-23.49234,-27.11234,11.12163
1.797534,-0.06040064,0.01047854,-0.06750545,-22.45346,-32.66129,11.45942
1.897604,-0.06346148,0.007374094,-0.06785277,-20.07516,-33.04144,10.37286
2.000417,-0.06306619,0.003281296,-0.06352119,-16.99634,-31.5069,8.006714
2.110297,-0.06011938,0.0003142927,-0.05492131,-14.69809,-30.95837,5.399696
2.211153,-0.04499294,-0.0009080222,-0.03968169,-13.95444,-22.19913,3.606423
2.324191,-0.02024619,0.0006365911,-0.02689387,-15.21466,-8.953491,1.993757
2.424553,0.006338444,0.00258546,-0.02155056,-16.91714,3.589249,-0.3322754
2.537869,0.02800975,0.002267048,-0.02162172,-17.10602,12.08892,-2.225952
2.63807,0.04467637,-0.000583556,-0.02263428,-15.50079,17.50282,-3.746979
2.749721,0.05255121,-0.003144126,-0.02161895,-13.69983,19.12506,-4.286713
2.853055,0.04556547,-0.003696274,-0.01779729,-13.28604,13.31078,-4.066925
2.963612,0.02768955,-0.004744675,-0.01501162,-12.62994,2.94201,-3.341125
3.076334,0.005403878,-0.003722548,-0.01553954,-13.38129,-7.804321,-1.40271
3.177205,-0.01693019,-0.003119944,-0.01946095,-13.97098,-17.07642,1.32658
3.280478,-0.03472367,-0.001018347,-0.02516996,-15.45486,-23.54822,3.432595
3.388987,-0.04724726,0.001904783,-0.03213003,-17.44211,-27.49341,5.749203
3.502132,-0.04989013,0.004215146,-0.0363602,-18.7215,-27.54193,6.288497
3.612655,-0.04710317,0.004964867,-0.03748281,-18.8363,-26.4325,5.824937
3.712774,-0.04238507,0.004217084,-0.03533079,-18.30734,-25.41998,5.301545
3.81403,-0.03795917,0.003163801,-0.03152997,-16.70135,-24.68082,3.851392
3.91464,-0.03317216,0.0009745705,-0.02740302,-14.83826,-23.36307,2.193088
4.025832,-0.02720948,0.00639881,-0.02565547,-18.60403,-21.12003,1.662177
4.127001,-0.02256633,0.01267513,-0.02990903,-22.53912,-19.34296,1.749944
4.239959,-0.01878629,0.01574249,-0.03698042,-24.57291,-18.62164,1.998766
4.340569,-0.01410199,0.01513994,-0.0432718,-23.82266,-17.30884,1.486027
4.453022,-0.003763271,0.0158833,-0.04250335,-24.23621,-12.02048,-0.2428589
4.553527,0.01405317,0.01633034,-0.03807369,-24.87491,-1.007477,-3.193695
4.653953,0.03437241,0.01405687,-0.03575409,-23.45541,10.31864,-5.550659
4.754158,0.05280152,0.009736725,-0.0354863,-20.56308,19.27049,-7.011078
4.854961,0.06705032,0.004953062,-0.03488931,-18.02344,24.85291,-8.332123
4.9671,0.07099395,0.002642268,-0.03114825,-16.56891,24.22558,-8.345398
5.080365,0.06105914,0.003229802,-0.02621112,-16.75565,16.63768,-7.325409
5.181643,0.04573769,0.00481182,-0.02351436,-17.44763,8.283605,-6.044312
5.293325,0.02672257,0.006314426,-0.02205292,-17.76013,-0.777771,-4.645996
5.40558,0.003928601,0.006631391,-0.02228723,-18.12079,-11.33493,-2.634369
5.506261,-0.01765771,0.004004713,-0.02354632,-16.8222,-20.89203,-0.4794312
5.606447,-0.02996866,0.001207131,-0.02249636,-15.3309,-24.90741,0.8222415
5.706712,-0.02875445,-0.0008167713,-0.01772932,-14.27841,-21.18323,0.5303732
5.807,-0.0143976,-0.002252357,-0.01151775,-13.48709,-10.95395,0.2273455
5.907517,0.008538324,-0.003010466,-0.008259437,-13.12625,2.180002,-0.2391052
6.020515,0.03373552,-0.003919949,-0.00958042,-12.97943,14.54633,-1.168762
6.121058,0.05625121,-0.005872649,-0.01365792,-12.17804,23.63651,-2.250183
6.221107,0.07530269,-0.009860523,-0.01881366,-10.14761,29.97933,-3.796112
6.32149,0.08428103,-0.01121063,-0.02148218,-9.599213,32.27061,-4.878174
6.433794,0.08202618,-0.01104758,-0.02038375,-9.557983,29.35486,-4.82196
6.534339,0.06657973,-0.009269599,-0.01502822,-10.33917,20.37019,-4.386108
6.635438,0.04368265,-0.006079019,-0.01094836,-11.74313,9.51864,-2.845673
6.746617,0.01971849,0.002659536,-0.0109413,-16.91568,-0.3583984,-1.194244
0.09855843,-0.0001722472,0.009912455,-0.01736757,-21.6225,-7.018616,0.8612887
0.1997371,-0.01015976,0.01382114,-0.02483007,-24.02798,-9.496826,1.830522
0.3106861,-0.0149059,0.01644172,-0.03251629,-25.88376,-10.33844,2.680613
0.410738,-0.01400323,0.01622877,-0.03583898,-25.56186,-9.225769,2.987735
0.5109067,-0.01067993,0.0126457,-0.03487741,-22.51068,-7.565887,2.37745
0.6115494,-0.006603104,0.00762736,-0.0295126,-19.38052,-6.244354,1.511365
0.724175,-0.002055392,0.001016603,-0.02066975,-15.36328,-5.217621,0.5119357
0.8242497,0.002715483,-0.009954836,-0.01064302,-8.286285,-3.943604,-0.4380798
0.9246254,0.008535486,-0.02358906,0.002700949,-1.623627,-2.148193,-0.9341431
1.025239,0.01249909,-0.03164079,0.01645079,1.406345,-0.7849426,-1.470428
1.12552,0.01389437,-0.03633484,0.02453758,3.144908,-0.6450806,-1.93396
1.226007,0.01336788,-0.03719268,0.02708872,3.265458,-1.558807,-2.324341
1.327765,0.01256203,-0.03420523,0.02443697,1.844228,-1.865082,-2.227905
1.438543,0.01219598,-0.02813403,0.01928907,-0.7761536,-1.066467,-1.711578
1.538903,0.01126624,-0.02016298,0.01188448,-4.450195,-0.1332703,-0.9643555
1.640834,0.008975622,-0.01387871,0.002994547,-7.515625,0.1294471,-0.2719421
1.751657,0.004472986,-0.01146577,-0.003698574,-8.425812,-1.088379,0.2176181
1.852201,-0.002869651,-0.01090039,-0.006022841,-8.344299,-4.014038,0.38968
1.952792,-0.01463862,-0.0111727,-0.005886784,-8.14444,-8.905182,0.5010181
2.053595,-0.03256124,-0.01146066,-0.007919471,-8.390503,-18.29688,0.1462001
2.154065,-0.04883339,-0.0114654,-0.01294128,-8.693359,-26.6803,0.4838526
2.267676,-0.05909306,-0.01247948,-0.01740627,-8.328827,-30.9346,1.00894
2.37816,-0.05873785,-0.01429806,-0.0157619,-7.167603,-27.97275,1.992845
2.479231,-0.04457646,-0.01441634,-0.008191825,-7.03244,-17.14319,2.692748
2.57948,-0.02431176,-0.01133464,-0.001583849,-8.752899,-5.182281,2.757715
2.687669,-0.001435026,-0.005861726,-0.0002084256,-12.46613,5.58182,2.13683
2.792853,0.01729376,-0.00010763,-0.005430973,-16.01443,12.28213,1.244652
2.893126,0.03021257,0.004230069,-0.01328292,-18.3501,15.61303,-0.7026367
3.006499,0.04211896,0.007109242,-0.02171669,-19.72781,19.47149,-2.949127
3.118017,0.0491228,0.01078755,-0.02915891,-21.96417,21.79376,-4.596436
3.21872,0.05062192,0.01522755,-0.03743833,-25.14941,22.41335,-5.744507
3.319556,0.04802405,0.01577647,-0.04235495,-25.0325,21.34876,-5.231964
3.431579,0.04262422,0.01144603,-0.04235343,-22.47131,18.94683,-4.727997
3.531818,0.04174712,0.003364038,-0.03722709,-16.61047,18.76259,-5.012329
3.63253,0.04167879,-0.003173415,-0.02836743,-12.63303,19.35426,-3.271576
3.745609,0.04140647,-0.009915367,-0.01627539,-9.028992,18.78718,-1.886169
3.857452,0.03991471,-0.01159914,-0.008389337,-8.34491,17.20559,-1.720245
3.95812,0.03913831,-0.009398818,-0.00701976,-9.859344,16.2935,-1.763794
4.07149,0.03874158,-0.002449182,-0.01258685,-13.86771,16.35241,-1.886475
4.171586,0.03708437,0.00624316,-0.02336617,-19.10361,16.73954,-2.220703
4.271884,0.03332274,0.01456926,-0.0361359,-24.31836,16.57283,-2.828766
4.372348,0.02844287,0.01855214,-0.04706818,-26.85468,15.39311,-2.678436
4.472899,0.02342955,0.01885604,-0.05243905,-26.97214,14.14215,-1.972107
4.584629,0.01864861,0.01731604,-0.05192115,-25.56964,12.40358,-1.02179
4.684642,0.02275392,0.01513978,-0.04916031,-23.86411,15.87143,-0.9779358
4.785139,0.03882025,0.01123219,-0.04766816,-21.49442,26.17452,-2.218933
4.886543,0.05417083,0.005848511,-0.04693219,-18.20676,33.4953,-2.82663
4.997775,0.06838645,0.0001750716,-0.04583189,-14.8927,38.93431,-2.886322
5.09783,0.07148197,-0.001969067,-0.03828542,-13.54208,36.99086,-2.776764
5.198651,0.05478665,-0.001904558,-0.02665243,-13.70746,23.28659,-2.467529
5.298795,0.02819003,-0.001239832,-0.01904581,-13.69269,6.08881,-1.935486
5.399383,0.001515802,0.00106701,-0.01696034,-15.3739,-7.927032,-1.242828
5.511497,-0.02397437,-1.590778E-05,-0.01754847,-15.21863,-18.64859,0.8104784
5.612681,-0.04068186,-0.002759879,-0.0182104,-13.73145,-24.64124,2.253364
5.725221,-0.05016337,-0.005726139,-0.0178619,-12.21332,-26.79105,2.778397
5.825731,-0.05631934,-0.007288331,-0.01740265,-11.4769,-28.24997,2.968424
5.925856,-0.05691275,-0.008722039,-0.01522957,-10.78375,-27.52429,3.024327
6.038119,-0.04741734,-0.006048492,-0.009533289,-12.33026,-20.71506,3.105402
6.13835,-0.03498339,-0.002296952,-0.007326848,-14.84293,-13.96701,3.272838
6.239179,-0.02884095,-0.001152007,-0.00886962,-15.45374,-12.00555,3.121481
6.339316,-0.0277148,-0.005486463,-0.01093034,-12.30685,-13.17163,2.556121
6.439739,-0.02885379,-0.01063242,-0.008829306,-9.276978,-14.46646,2.214409
6.539771,-0.02866586,-0.01435117,-0.001967724,-7.517029,-13.7572,1.469694
6.640359,-0.03168808,-0.01640253,0.003361613,-6.937164,-14.85007,0.4783197
6.740642,-0.03883826,-0.0166379,0.004223861,-6.811371,-18.78656,-0.2920227
6.852541,-0.03917656,-0.007979761,0.001391151,-12.35788,-19.20422,0.3689831
6.955505,-0.0290742,-0.002020067,-0.003891377,-15.39474,-13.52148,1.422654
7.066132,-0.01267202,0.0001610487,-0.009987131,-16.12833,-4.700165,1.303226
7.17794,0.009377035,-0.0001178998,-0.01455302,-15.37854,6.246775,0.5470702
7.27816,0.02815373,0.001129144,-0.01590113,-16.33716,15.05212,-1.701263
7.378944,0.04218788,-0.001151774,-0.01434087,-15.11649,19.64621,-2.800385
7.479206,0.04386114,-0.001836155,-0.01171156,-14.8688,18.2229,-3.628265
7.579359,0.03761603,-0.0004931053,-0.01064303,-15.44922,13.73731,-3.900452
7.692541,0.03028424,0.005692056,-0.01496426,-19.26712,11.34232,-3.82785
7.792689,0.02485881,0.01278354,-0.02542036,-23.67474,11.24532,-3.645996
7.9054,0.018391,0.01603617,-0.03694775,-25.37262,10.12608,-3.127747
8.005594,0.01145046,0.01510038,-0.04371367,-24.25653,7.749338,-2.061951
8.10592,0.004376064,0.01360595,-0.04311586,-22.87146,4.773498,-0.7775574
8.206315,-0.005365563,0.01122939,-0.03730577,-21.23837,0.1022561,0.3101799
8.318247,-0.02188043,0.009030772,-0.03165441,-19.98599,-9.609619,1.786843
8.418568,-0.04007803,0.006621393,-0.03173061,-18.93845,-20.86746,3.03819
8.53161,-0.05244239,0.00402439,-0.03421389,-17.58539,-27.73102,4.119067
8.631724,-0.05348715,0.003493809,-0.03316791,-17.29236,-26.04391,4.373784
8.731799,-0.04184432,0.004196655,-0.02834819,-17.44812,-18.34164,3.58815
8.845341,-0.0247233,0.004401475,-0.02331654,-17.20685,-8.184875,2.231108
8.945418,-0.003585136,0.005448276,-0.02002997,-17.87109,3.007209,0.7763414
9.04565,0.01960558,0.006009462,-0.0211708,-18.4696,14.39195,-0.7580566
9.146062,0.0373109,0.002401673,-0.0250369,-16.21466,22.62865,-1.796661
9.246202,0.04895519,-0.00193936,-0.02688836,-13.84448,27.38443,-2.570557
9.346404,0.05514937,-0.005924772,-0.02459131,-11.74686,29.16284,-3.282806
9.446681,0.05913744,-0.009395497,-0.0205498,-10.17633,30.75967,-3.374451
9.558936,0.05979787,-0.01206091,-0.01603274,-8.97995,31.10017,-2.70993
9.660077,0.05429983,-0.01251439,-0.01073656,-9.081055,28.1379,-2.530609
9.77193,0.04684352,-0.01449537,-0.007284191,-8.033112,24.51939,-1.817078
9.87209,0.04083597,-0.01779542,-0.004111912,-6.287567,22.61208,-1.173553
9.972302,0.03271672,-0.02127881,0.001118783,-4.041962,19.01067,-1.32486
10.07264,0.01925812,-0.02115985,0.006705928,-4.464691,11.21851,-1.470581
10.17273,0.003987792,-0.01755728,0.009059596,-6.271332,3.06754,-1.082825
10.27358,-0.01220577,-0.008485246,0.004307604,-11.41718,-4.869232,-0.3719788
10.38579,-0.02425285,-4.148288E-05,-0.006375836,-15.83459,-10.96124,0.5114933
10.48643,-0.03642555,0.006523529,-0.02182016,-19.36954,-18.05783,1.869266
10.58644,-0.0458678,0.009240065,-0.03342638,-20.79974,-23.85138,3.724073
10.68782,-0.05074733,0.008280082,-0.03788744,-20.01065,-25.65417,5.032362
10.78897,-0.05223447,0.001179988,-0.03402819,-15.79013,-24.04443,5.645643
10.90111,-0.05386286,-0.008768024,-0.02528158,-9.666779,-22.07074,5.252456
11.00113,-0.0562113,-0.01837152,-0.0115908,-4.985565,-20.45923,4.499507
11.10593,-0.05670391,-0.0250863,0.001539007,-2.327454,-18.61591,4.180936
11.21348,-0.05616086,-0.02807174,0.0103276,-1.603607,-17.32642,3.871257
11.32648,-0.05482367,-0.02538951,0.01176146,-3.154572,-17.07657,3.839025
11.4278,-0.05198705,-0.01877889,0.005899737,-6.225891,-17.03702,3.959386
11.53817,-0.04709163,-0.008669976,-0.004119639,-11.13474,-16.51755,3.883145
