time,posX,posY,posZ,rotX,rotY,rotZ
0.1070942,-0.01676973,-0.01234584,-0.05356314,1.979874,-5.664185,3.168081
0.207806,-0.01696559,-0.01305624,-0.05372427,2.254576,-5.640411,3.158472
0.3189719,-0.01735226,-0.01276459,-0.05376435,2.182385,-5.678741,3.225947
0.4301353,-0.01808389,-0.01328125,-0.05370305,2.402424,-6.005829,3.181469
0.5306935,-0.02486129,-0.01128581,-0.0533017,1.481025,-9.545746,2.387838
0.6436097,-0.03874204,-0.009861212,-0.0564312,0.6219414,-18.02072,1.836962
0.7443348,-0.04163057,-0.01160841,-0.05725265,1.679243,-18.30014,2.280335
0.8571812,-0.02858095,-0.01152289,-0.05256735,1.573701,-7.367706,4.040964
0.9695119,-0.01220589,-0.01258298,-0.05012758,2.110146,3.880025,5.145662
1.070063,0.001270649,-0.01298285,-0.04763453,2.22384,10.89402,4.810071
1.171233,0.008444568,-0.01460997,-0.04604213,2.961686,12.95505,4.255504
1.284077,0.009955978,-0.01553188,-0.04433247,3.548683,11.04314,3.362092
1.38558,0.01309531,-0.01666669,-0.04512591,4.502431,11.36192,2.03415
1.496632,0.02165955,-0.01655982,-0.04931227,4.38198,16.82133,2.249207
1.596805,0.02891099,-0.01654535,-0.05528503,3.785701,22.02962,3.277497
1.697057,0.03047035,-0.02347961,-0.05832756,7.5877,23.28185,3.739501
1.797534,0.02848516,-0.03203098,-0.0544712,12.28036,22.14972,4.093424
1.897604,0.02695493,-0.03749908,-0.04567389,15.50949,21.13769,5.002246
2.000417,0.02940447,-0.03350542,-0.03781518,13.14702,22.43226,5.396145
2.110297,0.03727828,-0.02292045,-0.0362993,6.640181,26.65607,5.060612
2.211153,0.04833996,-0.01524871,-0.04400731,2.284731,33.52605,5.274843
2.324191,0.05651571,-0.006341181,-0.05351359,-2.864716,38.42614,4.446622
2.424553,0.05963437,-0.0006027205,-0.06033302,-5.912109,39.71844,3.481031
2.537869,0.0582216,-0.0002675835,-0.06261656,-6.025909,37.5481,2.438267
2.63807,0.05445832,-0.001096324,-0.06003372,-5.422577,33.80399,1.566207
2.749721,0.04945728,-0.001998521,-0.05509421,-4.632172,29.27921,0.5805504
2.853055,0.04631831,-0.001701643,-0.0513895,-4.863251,27.19383,0.7081741
2.963612,0.04292932,-0.003924265,-0.04889129,-3.646667,26.05342,0.9537477
3.076334,0.03812118,-0.006154147,-0.04649809,-2.383881,23.1959,0.07918407
3.177205,0.03492793,-0.008566686,-0.04431228,-1.02475,21.53184,-0.182251
3.280478,0.03318886,-0.00347971,-0.04233212,-3.661041,21.79451,0.6444307
3.388987,0.03291867,0.004991737,-0.04532013,-8.890106,24.167,1.589768
3.502132,0.0322455,0.01127052,-0.05289957,-12.97668,26.85689,2.423127
3.612655,0.03242949,0.008072465,-0.06135589,-11.22586,30.27422,3.839219
3.712774,0.03321664,0.00241528,-0.06229402,-7.730072,32.27165,3.851802
3.81403,0.03143181,-0.002634886,-0.05455019,-4.274628,30.51484,3.345692
3.91464,0.02078599,-0.00417526,-0.04131892,-3.546356,21.58274,2.837259
4.025832,0.001946754,-0.00604467,-0.0317234,-2.555573,8.257068,2.208445
4.127001,-0.0161291,-0.01030143,-0.02849111,-0.7458191,-2.938507,0.6829324
4.239959,-0.02676663,-0.01500302,-0.02955678,2.476619,-8.922119,-0.3304138
4.340569,-0.03589683,-0.00562259,-0.02845481,-2.746765,-12.35791,-1.879486
4.453022,-0.04066622,0.007663033,-0.03107336,-11.07571,-13.40747,-1.905334
4.553527,-0.04311571,0.01489307,-0.03719666,-15.06516,-13.4263,-1.233734
4.653953,-0.0457561,0.02150873,-0.04495229,-19.36426,-14.76755,-0.7001648
4.754158,-0.05014041,0.02370086,-0.05162703,-20.51703,-19.24103,-1.318298
