InteractionNumber,ElapsedTime,SplitTime
0,1.090088
1,2.39539,1.305302
2,2.946293,0.5509033
3,4.226059,1.279766
4,4.675751,0.4496918
5,5.352283,0.6765327
6,5.942032,0.5897484
7,6.517601,0.5755692
8,7.01836,0.5007591
9,7.608021,0.5896606
10,8.172352,0.5643311
11,8.598461,0.4261093
12,9.09893,0.5004692
13,9.638893,0.5399628
14,10.07666,0.4377708
15,10.89192,0.815258
16,12.0447,1.152782
17,12.4582,0.4134979
18,12.95012,0.4919167
19,13.37251,0.4223938
20,13.79816,0.4256477
21,14.33741,0.5392456
22,14.78936,0.4519501
23,15.76626,0.976902
24,16.26747,0.5012093
25,16.731,0.4635277
26,17.219,0.4880028
27,17.69492,0.4759178
28,18.64844,0.9535217
29,19.19881,0.5503693
30,19.77077,0.5719604
31,20.30179,0.5310211
32,20.79157,0.4897842
33,21.41726,0.6256866
34,21.94403,0.5267715
35,22.43182,0.487793
36,22.92123,0.4894104
37,23.52308,0.6018448
38,23.99881,0.4757309
39,24.57613,0.5773163
40,25.11443,0.5382996
41,25.55325,0.4388275
42,26.0676,0.5143509
43,26.46841,0.4008102
44,26.94192,0.4735031
45,27.35724,0.4153214
46,27.82033,0.463089
47,28.33191,0.5115814
48,28.68578,0.3538666
49,29.09954,0.413765
50,29.6636,0.5640564
51,30.1776,0.5139999
