time,posX,posY,posZ,rotX,rotY,rotZ
0.1070942,-0.03004096,-0.01349089,-0.03921196,0.9596602,-10.41122,3.506512
0.207806,-0.03006708,-0.01376825,-0.0389493,1.107234,-10.35345,3.506595
0.3189719,-0.03011462,-0.01382114,-0.0388397,1.197587,-10.38074,3.550008
0.4301353,-0.03032147,-0.01418055,-0.03878139,1.360009,-10.49411,3.549631
0.5306935,-0.03015544,-0.01496741,-0.0382402,1.835316,-10.3139,3.437724
0.6436097,-0.02957302,-0.01981954,-0.03683383,4.376445,-9.656036,3.466481
0.7443348,-0.0318745,-0.03207198,-0.0327266,11.25574,-9.899689,3.870388
0.8571812,-0.03659381,-0.04446997,-0.02519516,17.62197,-10.85211,4.38004
0.9695119,-0.04153661,-0.05716994,-0.01419626,23.67231,-10.96951,5.06489
1.070063,-0.04563304,-0.06568071,-0.005030045,26.98328,-10.38373,5.1666
1.171233,-0.04912483,-0.06888883,-0.0007693558,28.65751,-10.42224,4.875778
1.284077,-0.04706877,-0.0650695,-0.001277799,26.55732,-8.345093,5.481709
1.38558,-0.04314574,-0.05868802,-0.004669283,23.7014,-7.204285,4.516384
1.496632,-0.0466744,-0.05164743,-0.01046557,21.14205,-12.77094,0.7294174
1.596805,-0.05963115,-0.04682335,-0.02061782,18.83656,-27.58704,-4.263367
1.697057,-0.06291213,-0.04643251,-0.02493265,18.01257,-33.90683,-5.097687
1.797534,-0.04514329,-0.04809569,-0.0152811,18.84169,-22.08826,-0.8158569
1.897604,-0.01422728,-0.04753639,-0.004883193,18.2322,-2.355408,4.103222
2.000417,0.02122046,-0.04719281,-0.00408712,17.28076,19.09128,8.506393
2.110297,0.03933115,-0.0494865,-0.007701997,17.87896,28.86697,9.600036
2.211153,0.04138158,-0.05167442,-0.006799388,19.00641,27.50243,8.101881
2.324191,0.02772237,-0.05427527,-0.002647953,20.90788,17.36092,4.973888
2.424553,0.0008311039,-0.05772649,-0.0008007716,23.11559,0.6795805,-0.2891846
2.537869,-0.02940434,-0.05797342,-0.001919402,23.10666,-14.89066,-3.555634
2.63807,-0.05817034,-0.0593915,-0.005907384,23.11582,-26.02737,-3.838715
2.749721,-0.07423867,-0.06233107,-0.009751665,24.41216,-30.70776,-3.183868
2.853055,-0.07617568,-0.0628738,-0.008815203,24.50857,-28.02838,-2.076874
2.963612,-0.06276253,-0.06120197,-0.003260816,23.84584,-17.74387,1.486745
3.076334,-0.03207163,-0.05670509,0.002313027,21.51605,0.1752789,6.750152
3.177205,2.50861E-05,-0.05272693,0.001997164,19.08919,15.98455,9.886822
3.280478,0.02743358,-0.05163823,-0.003896147,18.02276,28.3778,11.14197
3.388987,0.04091175,-0.05242935,-0.007372713,18.45024,32.27602,10.76537
3.502132,0.03843284,-0.05238619,-0.004547004,18.89441,26.4633,7.949039
3.612655,0.02482262,-0.05019146,0.000296738,18.35882,16.78045,4.701519
3.712774,-0.002439689,-0.04632382,0.00383079,16.83893,1.440854,-0.1336365
