InteractionNumber,ElapsedTime,SplitTime
0,3.561694
1,4.501946,0.9402516
2,5.165332,0.6633863
3,6.005474,0.8401413
4,6.558134,0.55266
5,7.108309,0.5501752
6,8.399715,1.291407
7,8.875471,0.4757557
8,9.515224,0.6397533
9,9.966425,0.4512005
10,10.49202,0.5255976
11,11.08131,0.5892897
12,11.69635,0.615037
13,12.20958,0.5132322
14,13.36251,1.152925
15,13.88796,0.5254498
16,14.34025,0.4522972
17,14.9271,0.5868483
18,15.45474,0.5276423
19,15.97011,0.5153704
20,16.46897,0.4988575
21,17.03421,0.565239
22,17.62308,0.5888653
23,18.01123,0.388155
24,18.72558,0.7143459
25,19.18892,0.4633465
26,19.75205,0.5631256
27,20.76718,1.015135
28,21.30657,0.5393829
29,22.24659,0.9400196
30,22.69876,0.4521751
31,23.25033,0.5515671
32,23.83916,0.5888348
33,24.3272,0.488039
34,24.79093,0.4637299
35,25.32089,0.5299568
36,25.86774,0.5468483
37,26.49231,0.6245689
38,27.19526,0.7029572
39,27.79799,0.602726
40,28.31076,0.5127697
41,28.9131,0.6023426
42,29.43966,0.5265617
43,30.06636,0.6266994
44,30.51788,0.4515133
45,31.10661,0.5887299
46,31.66914,0.5625343
47,32.47176,0.8026161
48,32.93589,0.4641342
49,33.51202,0.5761261
50,33.91331,0.4012985
