InteractionNumber,ElapsedTime,SplitTime
0,0.940252,0.9402516
1,1.603638,0.6633863
2,2.44378,0.8401413
3,2.99644,0.55266
4,3.546615,0.5501752
5,4.838021,1.291407
6,5.313777,0.4757557
7,5.95353,0.6397533
8,6.404731,0.4512005
9,6.930326,0.5255976
10,7.519616,0.5892897
11,8.134656,0.615037
12,8.647886,0.5132322
13,9.800816,1.152925
14,10.326266,0.5254498
15,10.778556,0.4522972
16,11.365406,0.5868483
17,11.893046,0.5276423
18,12.408416,0.5153704
19,12.907276,0.4988575
20,13.472516,0.565239
21,14.061386,0.5888653
22,14.449536,0.388155
23,15.163886,0.7143459
24,15.627226,0.4633465
25,16.190356,0.5631256
26,17.205486,1.015135
27,17.744876,0.5393829
28,18.684896,0.9400196
29,19.137066,0.4521751
30,19.688636,0.5515671
31,20.277466,0.5888348
32,20.765506,0.488039
33,21.229236,0.4637299
34,21.759196,0.5299568
35,22.306046,0.5468483
36,22.930616,0.6245689
37,23.633566,0.7029572
38,24.236296,0.602726
39,24.749066,0.5127697
40,25.351406,0.6023426
41,25.877966,0.5265617
42,26.504666,0.6266994
43,26.956186,0.4515133
44,27.544916,0.5887299
45,28.107446,0.5625343
46,28.910066,0.8026161
47,29.374196,0.4641342
48,29.950326,0.5761261
49,30.351616,0.4012985
50,,
