time,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,angle,miss,out,outf
0.01031494,0.09287763,1.515667,4.6638,-10.34314,-2.544098,-0.8020935,-0.04366705,0.1795429,0.9827805,4.148976,0,0,19997
0.03030396,0.09297085,1.515675,4.664021,-10.34222,-2.518036,-0.8273621,-0.04322013,0.179527,0.9828032,0.9495632,0,0,19997
0.05029297,0.0930264,1.515736,4.664265,-10.36719,-2.514099,-0.8226624,-0.04314936,0.1799559,0.9827278,0.9217481,0,0,19997
0.0703125,0.09303331,1.515769,4.664383,-10.36719,-2.519287,-0.8117065,-0.04323822,0.1799561,0.9827239,0.916639,0,0,19997
0.09030151,0.0930022,1.515765,4.664493,-10.37012,-2.522278,-0.8055725,-0.04328908,0.1800063,0.9827124,0.9215358,0,0,19997
0.1102905,0.09296966,1.515755,4.664604,-10.37,-2.53125,-0.7976379,-0.04344286,0.1800043,0.9827061,0.9251386,0,0,19997
0.1303101,0.092875,1.515746,4.665019,-10.36658,-2.561584,-0.7868652,-0.04396387,0.1799456,0.9826936,0.9343988,0,0,19997
0.1502991,0.09281647,1.515711,4.665168,-10.36505,-2.590332,-0.7563477,-0.04445712,0.1799193,0.9826763,0.9661109,0,0,19997
0.1702881,0.09276879,1.515744,4.665345,-10.39145,-2.629547,-0.7263489,-0.04512594,0.1803726,0.9825627,0.9960293,0,0,19997
0.1903076,0.09272885,1.515835,4.665538,-10.44809,-2.644684,-0.7507935,-0.04537693,0.1813445,0.9823722,1.035899,0,0,19997
0.2102966,0.09269619,1.515876,4.665731,-10.46149,-2.655365,-0.769928,-0.0455581,0.1815745,0.9823213,1.051461,0,0,19997
0.2302856,0.09269726,1.515794,4.666164,-10.38998,-2.685638,-0.7492371,-0.04608756,0.1803471,0.9825227,1.062568,0,0,19997
0.2503052,0.09269142,1.515736,4.666346,-10.36664,-2.680511,-0.752594,-0.04600316,0.1799466,0.9826001,1.09289,0,0,19997
0.2702942,0.0926863,1.515691,4.666536,-10.34451,-2.666595,-0.7463989,-0.04576761,0.1795666,0.9826806,1.087865,0,0,19997
0.2903137,0.09270597,1.515669,4.666722,-10.33307,-2.651306,-0.747406,-0.04550743,0.1793701,0.9827285,1.074108,0,0,19997
0.3103027,0.09276009,1.515648,4.667363,-10.35187,-2.637512,-0.7105103,-0.04526819,0.179693,0.9826806,1.058324,0,0,19997
0.3302917,0.09277523,1.515645,4.667603,-10.32452,-2.64328,-0.7152405,-0.04537083,0.1792234,0.9827617,1.04324,0,0,19997
0.3503113,0.09280562,1.51557,4.667844,-10.26004,-2.662598,-0.7008057,-0.04571137,0.178116,0.9829472,1.048479,0,0,19997
0.3703003,0.09285057,1.515509,4.668096,-10.24521,-2.668488,-0.7115784,-0.04581481,0.1778613,0.9829885,1.067346,0,0,19997
0.3902893,0.09295475,1.515326,4.668899,-10.13721,-2.68576,-0.747406,-0.04612667,0.1760061,0.9833078,1.072284,0,0,19997
0.4103088,0.09304786,1.515216,4.66918,-10.05362,-2.657318,-0.7507019,-0.04565046,0.17457,0.983586,1.087146,0,0,19997
0.4302979,0.09316123,1.515016,4.669546,-10.00998,-2.626099,-0.7428284,-0.04512069,0.1738198,0.9837433,1.057029,0,0,19997
0.4502869,0.09328902,1.514933,4.669912,-9.944672,-2.613922,-0.7449646,-0.04492025,0.1726973,0.9839501,1.02412,0,0,19997
0.4703064,0.09336412,1.514868,4.670208,-9.870026,-2.586884,-0.7319641,-0.04446615,0.1714135,0.9841952,1.0093,0,0,19997
0.4902954,0.09352636,1.514697,4.670907,-9.762177,-2.554749,-0.7289734,-0.0439286,0.1695587,0.9845406,0.9805858,0,0,19997
0.5103149,0.09373164,1.514419,4.671677,-9.632111,-2.562103,-0.7174072,-0.0440718,0.1673211,0.9849169,0.9454328,0,0,19997
0.530304,0.09379327,1.514385,4.672132,-9.546539,-2.563721,-0.740387,-0.04411094,0.1658488,0.9851642,0.949151,0,0,19997
0.550293,0.09398866,1.514294,4.672466,-9.468628,-2.602478,-0.7428284,-0.04478776,0.1645076,0.9853585,0.9495632,0,0,19997
0.5703125,0.09407258,1.514165,4.67294,-9.413361,-2.581177,-0.7750854,-0.04442839,0.1635561,0.9855331,0.9845687,0,0,19997
0.5903015,0.09469223,1.513775,4.674218,-9.224396,-2.546753,-0.8153381,-0.04386003,0.1603016,0.9860932,0.9614412,0,0,19997
0.6102905,0.0948503,1.513653,4.674713,-9.176453,-2.477814,-0.8329468,-0.04267927,0.1594756,0.9862789,0.9155711,0,0,19997
0.6303101,0.09513962,1.513524,4.675059,-9.097504,-2.430725,-0.8329163,-0.04187798,0.1581151,0.9865322,0.844183,0,0,19997
0.6502991,0.09536731,1.513469,4.675564,-9.036407,-2.382355,-0.8520813,-0.04105202,0.1570622,0.9867351,0.7912999,0,0,19997
0.6702881,0.09591985,1.513365,4.676472,-8.913635,-2.327423,-0.85849,-0.04011944,0.1549452,0.9871081,0.7393991,0,0,19997
0.6903076,0.09652233,1.513511,4.677593,-8.856049,-2.306915,-0.8840332,-0.03977237,0.1539527,0.9872774,0.6743467,0,0,19997
0.7102966,0.09685385,1.513544,4.678199,-8.884949,-2.32309,-0.9277344,-0.04004804,0.1544509,0.9871885,0.6425489,0,0,19997
0.7302856,0.09727609,1.513625,4.678901,-8.903809,-2.335907,-0.9237061,-0.04026675,0.1547761,0.9871286,0.6528208,0,0,19997
0.7503052,0.09767914,1.513712,4.679677,-8.941833,-2.318604,-0.9110718,-0.03996435,0.1554319,0.9870379,0.6584912,0,0,19997
0.7702942,0.09851599,1.513774,4.681236,-9.01593,-2.337189,-0.8899536,-0.04027662,0.1567088,0.9868233,0.633656,0,0,19997
0.7903137,0.09973967,1.513689,4.682866,-8.936584,-2.366211,-0.7857666,-0.04078512,0.1553414,0.9870185,0.6367366,0,0,19997
0.8103027,0.1004134,1.513619,4.683864,-8.904327,-2.396698,-0.7368774,-0.04131386,0.1547852,0.9870839,0.6437659,0,0,19997
0.8302917,0.10118,1.513572,4.684902,-8.90683,-2.418243,-0.6867981,-0.04168494,0.1548281,0.9870616,0.6620474,0,0,19997
0.8503113,0.1028056,1.513505,4.687031,-8.875763,-2.455231,-0.6003113,-0.04232587,0.1542924,0.9871182,0.6705639,0,0,19997
0.8703003,0.1038325,1.513359,4.688291,-8.871582,-2.476044,-0.5220642,-0.04268459,0.1542205,0.987114,0.6778198,0,0,19997
0.8902893,0.1061472,1.512882,4.690828,-8.749054,-2.532532,-0.3821411,-0.04367238,0.1521069,0.9873987,0.680413,0,0,19997
0.9103088,0.1074483,1.51272,4.692105,-8.655396,-2.562408,-0.3386536,-0.0441984,0.1504914,0.9876228,0.6952065,0,0,19997
0.9302979,0.1088383,1.512581,4.693449,-8.554474,-2.603241,-0.2599792,-0.04491432,0.1487494,0.9878544,0.7016503,0,0,19997
0.9502869,0.1116619,1.512218,4.696179,-8.37207,-2.718536,-0.1301575,-0.04692437,0.1456009,0.98823,0.7181882,0,0,19997
0.9703064,0.1150278,1.511768,4.699005,-8.134125,-2.984528,-0.01147461,-0.05154243,0.1414909,0.9885969,0.7828471,0,0,19997
0.9902954,0.116802,1.511685,4.700453,-8.044891,-3.158539,0.01199998,-0.05455659,0.1399491,0.9886546,0.9889315,0,0,19997
1.010315,0.1187068,1.511564,4.701917,-7.974823,-3.292389,0.08837263,-0.05687618,0.138738,0.9886945,1.131077,0,0,19997
1.030304,0.1225682,1.511366,4.704853,-7.825439,-3.555756,0.2107721,-0.06144207,0.1361556,0.9887803,1.231306,0,0,19997
1.050293,0.1246929,1.511102,4.706302,-7.789551,-3.699005,0.2978681,-0.06391992,0.1355348,0.9887086,1.425464,0,0,19997
1.070313,0.1291007,1.510676,4.709257,-7.719238,-3.964783,0.4997797,-0.06851678,0.134319,0.9885666,1.531102,0,0,19997
1.090302,0.1312956,1.510269,4.710737,-7.70929,-4.12262,0.6401021,-0.07124151,0.1341466,0.9883974,1.71817,0,0,19997
1.110291,0.1334639,1.510059,4.712125,-7.668976,-4.36142,0.7568638,-0.0753674,0.1334498,0.9881856,1.83675,0,0,19997
1.13031,0.1378915,1.509687,4.714966,-7.649719,-4.814484,0.9183323,-0.08318275,0.1331166,0.9876035,2.03692,0,0,19997
1.150299,0.1421419,1.50964,4.717803,-7.645447,-5.421692,0.9295406,-0.0936455,0.1330427,0.9866763,2.410946,0,0,19997
1.170288,0.1441641,1.510604,4.719347,-7.664948,-5.755219,0.9253631,-0.09938264,0.13338,0.9860694,2.941911,0,0,19997
1.190308,0.146089,1.511164,4.720961,-7.819672,-6.055939,0.9884197,-0.1045182,0.1360557,0.9851725,3.239001,0,0,19997
1.210297,0.1481164,1.5114,4.722602,-7.947723,-6.347778,1.066419,-0.109501,0.1382694,0.9843227,3.504925,0,0,19997
1.230286,0.152148,1.511584,4.72582,-8.13858,-6.884827,1.23901,-0.1186668,0.1415678,0.9827903,3.760152,0,0,19997
1.250305,0.1559602,1.511211,4.729217,-8.279297,-7.352417,1.420994,-0.1266382,0.1439986,0.9814414,4.224243,0,0,19997
1.270294,0.157686,1.511451,4.73111,-8.386475,-7.49762,1.467603,-0.1290896,0.1458493,0.9808486,4.622368,0,0,19997
1.290314,0.1593666,1.511101,4.733049,-8.544159,-7.619995,1.445241,-0.1311309,0.1485718,0.9801689,4.735862,0,0,19997
1.310303,0.1626266,1.510319,4.736858,-8.675598,-7.835175,1.384046,-0.1347638,0.15084,0.9793293,4.827224,0,0,19997
1.330292,0.1640151,1.510415,4.738889,-8.634033,-7.807953,1.344833,-0.1343135,0.1501226,0.9795015,4.982046,0,0,19997
1.350311,0.1663657,1.510989,4.743427,-8.665619,-7.73938,1.174417,-0.1331299,0.1506675,0.9795794,4.928792,0,0,19997
1.3703,0.1674062,1.51064,4.745657,-8.616882,-7.634003,1.125485,-0.1313452,0.1498265,0.9799492,4.814871,0,0,19997
